image_path,label,source_session,ad_source,icon_family,candidate_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_042353_roi_0.png,close,20260606_042353_roi,unknown_ad_source,ad_issue_20260606_042353,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_042429_roi_0.png,close,20260606_042429_roi,unknown_ad_source,ad_issue_20260606_042429,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_043419_roi_0.png,close,20260606_043419_roi,unknown_ad_source,ad_issue_20260606_043419,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_044653_roi_0.png,close,20260606_044653_roi,unknown_ad_source,ad_issue_20260606_044653,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_044717_roi_0.png,close,20260606_044717_roi,unknown_ad_source,ad_issue_20260606_044717,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_052002_roi_15.png,close,20260606_052002_roi,unknown_ad_source,ad_issue_20260606_052002,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\ad_issue_20260606_052302_roi_0.png,close,20260606_052302_roi,unknown_ad_source,ad_issue_20260606_052302,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_12.png,close,unknown_session,unknown_ad_source,close_12,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_14.png,close,unknown_session,unknown_ad_source,close_14,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_17.png,close,unknown_session,unknown_ad_source,close_17,
