source_screen,source_session,candidate_count,bbox,geometry_score,p_close,classifier_rank,is_top1,candidate_patch
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1799.PNG,unknown_session,1,"596,147,44,44",0.987,0.993535,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000010.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1800.PNG,unknown_session,2,"49,41,18,18",1.000,0.976310,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000007.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1800.PNG,unknown_session,2,"2108,274,12,10",0.869,0.819371,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000043.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1801.PNG,unknown_session,1,"650,472,19,25",0.918,0.951705,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000023.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1802.PNG,unknown_session,2,"2197,47,18,18",0.986,0.867836,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000012.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1802.PNG,unknown_session,2,"187,192,13,15",0.920,0.771872,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000022.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1803.PNG,unknown_session,2,"2177,55,36,36",1.000,0.993829,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000009.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1803.PNG,unknown_session,2,"2017,75,15,13",0.896,0.917375,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000029.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1804.PNG,unknown_session,1,"49,41,18,18",1.000,0.973736,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000008.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\IMG_1805.PNG,unknown_session,1,"49,41,18,18",0.986,0.961882,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000011.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_close_20260605_071601.png,20260605_071601,1,"916,26,22,21",0.985,0.799938,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000013.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_042353.png,20260606_042353,2,"489,255,20,18",1.000,0.985188,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000004.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_042353.png,20260606_042353,2,"346,714,10,13",0.907,0.964505,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000025.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_042429.png,20260606_042429,2,"305,785,11,11",0.943,0.898230,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000017.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_042429.png,20260606_042429,2,"488,35,13,13",0.982,0.889867,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000014.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_043419.png,20260606_043419,2,"916,28,18,18",1.000,0.957989,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000001.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_043419.png,20260606_043419,2,"863,27,16,16",0.884,0.509565,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000038.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_043707.png,20260606_043707,2,"909,171,20,18",1.000,0.985188,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000002.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_043707.png,20260606_043707,2,"69,261,14,17",0.925,0.965971,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000019.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_044156.png,20260606_044156,2,"135,261,11,12",0.901,0.945349,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000027.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_044156.png,20260606_044156,2,"562,513,16,17",0.865,0.085420,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000044.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_044653.png,20260606_044653,2,"489,255,20,18",1.000,0.985188,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000003.png
