group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
20260710_125824_2204,4,0,4,0,0,4,0,0.0,0.0,0.0
20260711_015138_after,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_083159_41740,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_084610_10484,5,0,5,0,2,3,0,0.0,0.0,0.4
20260711_085840_33128,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_085849_37020,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_093806_46808,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_095223_69352,19,0,19,0,0,19,0,0.0,0.0,0.0
20260711_100541_44936,5,0,5,0,0,5,0,0.0,0.0,0.0
20260711_104622_54288,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_105305_54776,2,0,2,0,0,2,0,0.0,0.0,0.0
20260711_111910_56400,1,0,1,0,1,0,0,0.0,0.0,1.0
positive_object::000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,1,1,0,1,0,0,0,1.0,1.0,0.0
