image_path,label,review_status,source_screen,source_session,ad_source,icon_family,reject_type,candidate_score,geometry_score,bbox,source_type,original_name,split
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00001_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,positive_object::000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,unknown_ad_source,000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png,,,,,legacy_tight_positive,000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00002_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_042353_roi_0.png,positive_object::ad_issue_20260606_042353_roi_0.png,unknown_ad_source,ad_issue_20260606_042353_roi_0,,,,,legacy_tight_positive,ad_issue_20260606_042353_roi_0.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00003_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_042429_roi_0.png,positive_object::ad_issue_20260606_042429_roi_0.png,unknown_ad_source,ad_issue_20260606_042429_roi_0,,,,,legacy_tight_positive,ad_issue_20260606_042429_roi_0.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00004_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_043419_roi_0.png,positive_object::ad_issue_20260606_043419_roi_0.png,unknown_ad_source,ad_issue_20260606_043419_roi_0,,,,,legacy_tight_positive,ad_issue_20260606_043419_roi_0.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00005_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_044653_roi_0.png,positive_object::ad_issue_20260606_044653_roi_0.png,unknown_ad_source,ad_issue_20260606_044653_roi_0,,,,,legacy_tight_positive,ad_issue_20260606_044653_roi_0.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00006_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_044717_roi_0.png,positive_object::ad_issue_20260606_044717_roi_0.png,unknown_ad_source,ad_issue_20260606_044717_roi_0,,,,,legacy_tight_positive,ad_issue_20260606_044717_roi_0.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00007_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_052002_roi_15.png,positive_object::ad_issue_20260606_052002_roi_15.png,unknown_ad_source,ad_issue_20260606_052002_roi_15,,,,,legacy_tight_positive,ad_issue_20260606_052002_roi_15.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00008_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\ad_issue_20260606_052302_roi_0.png,positive_object::ad_issue_20260606_052302_roi_0.png,unknown_ad_source,ad_issue_20260606_052302_roi_0,,,,,legacy_tight_positive,ad_issue_20260606_052302_roi_0.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00009_close.png,close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,positive_object::cand_000001.png,unknown_ad_source,unknown_family,,0.978000,0.978000,"48,25,22,22",manifest_bbox_positive,cand_000001.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00010_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_12.png,positive_object::close_12.png,unknown_ad_source,close_12,,,,,legacy_tight_positive,close_12.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00011_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_14.png,positive_object::close_14.png,unknown_ad_source,close_14,,,,,legacy_tight_positive,close_14.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00012_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_17.png,positive_object::close_17.png,unknown_ad_source,close_17,,,,,legacy_tight_positive,close_17.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00013_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_2.png,positive_object::close_2.png,unknown_ad_source,close_2,,,,,legacy_tight_positive,close_2.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00014_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_24.png,positive_object::close_24.png,unknown_ad_source,close_24,,,,,legacy_tight_positive,close_24.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00015_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_25.png,positive_object::close_25.png,unknown_ad_source,close_25,,,,,legacy_tight_positive,close_25.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00016_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_7.png,positive_object::close_7.png,unknown_ad_source,close_7,,,,,legacy_tight_positive,close_7.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00017_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\close_x_end.png,positive_object::close_x_end.png,unknown_ad_source,close_x_end,,,,,legacy_tight_positive,close_x_end.png,train
