fold,heldout_original_name,heldout_p_close,heldout_pass,negative_tn,negative_fp,false_positive_count,false_positive_original_names
1,000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,0.861322,1,41,3,3,stage0_00055_not_close.png;stage0_00071_not_close.png;stage0_00222_not_close.png
2,ad_issue_20260606_042353_roi_0.png,0.999519,1,43,1,1,stage0_00055_not_close.png
3,ad_issue_20260606_042429_roi_0.png,0.999999,1,43,1,1,stage0_00055_not_close.png
4,ad_issue_20260606_043419_roi_0.png,0.999566,1,38,6,6,stage0_00050_not_close.png;stage0_00051_not_close.png;stage0_00052_not_close.png;stage0_00053_not_close.png;stage0_00055_not_close.png;stage0_00071_not_close.png
5,ad_issue_20260606_044653_roi_0.png,0.999984,1,43,1,1,stage0_00071_not_close.png
6,ad_issue_20260606_044717_roi_0.png,0.999995,1,44,0,0,
7,ad_issue_20260606_052002_roi_15.png,0.973714,1,43,1,1,stage0_00123_not_close.png
8,ad_issue_20260606_052302_roi_0.png,0.999996,1,41,3,3,stage0_00055_not_close.png;stage0_00071_not_close.png;stage0_00222_not_close.png
9,cand_000001.png,0.912006,1,43,1,1,stage0_00071_not_close.png
10,close_12.png,0.991500,1,44,0,0,
11,close_14.png,0.999778,1,42,2,2,stage0_00042_not_close.png;stage0_00071_not_close.png
12,close_17.png,0.979287,1,44,0,0,
13,close_2.png,0.999713,1,42,2,2,stage0_00071_not_close.png;stage0_00222_not_close.png
14,close_24.png,0.997173,1,42,2,2,stage0_00042_not_close.png;stage0_00123_not_close.png
15,close_25.png,0.999810,1,43,1,1,stage0_00055_not_close.png
16,close_7.png,0.998264,1,44,0,0,
17,close_x_end.png,0.999650,1,37,7,7,stage0_00028_not_close.png;stage0_00029_not_close.png;stage0_00050_not_close.png;stage0_00051_not_close.png;stage0_00052_not_close.png;stage0_00053_not_close.png;stage0_00055_not_close.png
18,current入口_20260711_082942.png,0.999845,1,39,5,5,stage0_00050_not_close.png;stage0_00051_not_close.png;stage0_00052_not_close.png;stage0_00053_not_close.png;stage0_00222_not_close.png
