source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000301_score_0.920_x377_y404_w16_h17_log__20260711_093821_38292_afk_20260711_093821_14_勇者角逐廣告_route_enter__000003_20260711_093827_before_swipe_84_405_84_135_700.png.png,20260711_093821_38292,1,0,not_close,0.011944,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00033_not_close.png,"48,48,16,17",0.92
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000343_score_0.918_x46_y123_w16_h17_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000002_20260711_101506_after_swipe_86_430_86_130_420.png.png,20260711_101501_60008,1,0,not_close,0.000001,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00040_not_close.png,"46,48,16,17",0.918
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000369_score_0.915_x45_y218_w17_h16_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000004_20260711_101511_after_swipe_86_130_86_430_420.png.png,20260711_101501_60008,1,0,not_close,0.014007,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00049_not_close.png,"45,48,17,16",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000444_score_0.913_x118_y243_w16_h17_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000002_20260711_101506_after_swipe_86_430_86_130_420.png.png,20260711_101501_60008,1,0,not_close,0.000364,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00058_not_close.png,"48,48,16,17",0.913
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000974_score_0.909_x46_y126_w16_h17_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000003_20260711_101509_before_swipe_86_130_86_430_420.png.png,20260711_101501_60008,1,0,not_close,0.000001,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00068_not_close.png,"46,48,16,17",0.909
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001010_score_0.908_x532_y175_w18_h17_log__20260711_104207_50836_afk_20260711_104153_311_每日簽到_route_exit__000002_20260711_104209_after_tap_51_22.png.png,20260711_104207_50836,1,0,not_close,0.000525,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00073_not_close.png,"48,48,18,17",0.908
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001596_score_0.898_x472_y261_w18_h18_log__20260711_011142_36488_afk_20260711_011124_em3_廣告時間沙漏_task__000032_20260711_011602_after_tap_42_42.png.png,20260711_011142_36488,1,0,not_close,0.008603,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00099_not_close.png,"48,48,18,18",0.898
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001597_score_0.898_x82_y312_w49_h51_log__20260711_095500_69352_afk_20260711_095203_em3_深淵_route_exit_fail_route_exit_after_task_success__000002_20260711_095502_after_tap_57_19.png.png,20260711_095500_69352,1,0,not_close,0.040791,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00196_not_close.png,"133,49,12,13",0.866
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001698_score_0.896_x82_y276_w16_h17_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000006_20260711_101515_after_tap_80_164.png.png,20260711_101501_60008,1,0,not_close,0.000389,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00105_not_close.png,"48,48,16,17",0.896
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001718_score_0.893_x424_y265_w23_h23_log__20260711_010520_33712_afk_20260711_010506_em3_廣告探寶鏟_task__000028_20260711_011003_after_tap_67_40.png.png,20260711_010520_33712,1,0,not_close,0.019792,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00187_not_close.png,"48,48,23,23",0.868
