source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000139_score_0.938_x395_y183_w14_h14_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000008_20260711_095241_after_swipe_455_430_455_170_520.png.png,20260711_095223_69352,2,0,not_close,0.000304,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00115_not_close.png,"33,48,14,14",0.894
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000140_score_0.938_x395_y378_w14_h14_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000008_20260711_095241_after_swipe_455_430_455_170_520.png.png,20260711_095223_69352,2,0,not_close,0.000304,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00116_not_close.png,"33,48,14,14",0.894
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000293_score_0.921_x453_y147_w16_h17_log__20260710_125824_2204__000504_20260711_145942_before_tap_51_22.png.png,20260710_125824_2204,2,0,not_close,0.718605,1,1,0,0,0,1,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00028_not_close.png,"48,48,16,17",0.921
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000294_score_0.921_x453_y147_w16_h17_log__20260710_125824_2204__000505_20260711_145944_after_tap_51_22.png.png,20260710_125824_2204,2,0,not_close,0.718605,1,1,0,0,0,1,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00029_not_close.png,"48,48,16,17",0.921
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000345_score_0.917_x482_y147_w18_h18_log__20260711_084610_10484_afk_20260711_083942_14_每日任務_task__000013_20260711_084636_after_tap_255_414.png.png,20260711_084610_10484,1,0,not_close,0.000000,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00042_not_close.png,"48,48,18,18",0.917
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000375_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000006_20260711_095239_abyss_rental_scan_01.png.png,20260711_095223_69352,2,0,not_close,0.000066,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00050_not_close.png,"48,48,14,13",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000376_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000004_20260711_095228_before_tap_507_466.png.png,20260711_095223_69352,2,0,not_close,0.000066,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00051_not_close.png,"48,48,14,13",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000377_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000005_20260711_095229_after_tap_507_466.png.png,20260711_095223_69352,2,0,not_close,0.000066,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00052_not_close.png,"48,48,14,13",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000378_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000007_20260711_095239_before_swipe_455_430_455_170_520.png.png,20260711_095223_69352,2,0,not_close,0.000066,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00053_not_close.png,"48,48,14,13",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000398_score_0.914_x175_y456_w18_h18_log__20260711_084610_10484_afk_20260711_083942_14_每日任務_task__000027_20260711_084708_after_tap_49_172.png.png,20260711_084610_10484,1,0,not_close,0.004202,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00055_not_close.png,"48,48,18,18",0.914
