fold,heldout_original_name,heldout_p_close,heldout_pass,negative_tn,negative_fp,false_positive_count,false_positive_original_names
1,000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,0.386685,0,40,4,4,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00190_not_close.png;stage0_6_00222_not_close.png
2,ad_issue_20260606_042353_roi_0.png,0.999663,1,43,1,1,stage0_6_00222_not_close.png
3,ad_issue_20260606_042429_roi_0.png,0.982543,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
4,ad_issue_20260606_043419_roi_0.png,0.973687,1,39,5,5,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00071_not_close.png;stage0_6_00096_not_close.png;stage0_6_00222_not_close.png
5,ad_issue_20260606_044653_roi_0.png,0.997814,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
6,ad_issue_20260606_044717_roi_0.png,0.981108,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
7,ad_issue_20260606_052002_roi_15.png,0.963876,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
8,ad_issue_20260606_052302_roi_0.png,0.971440,1,43,1,1,stage0_6_00222_not_close.png
9,cand_000001.png,0.059642,0,40,4,4,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00125_not_close.png;stage0_6_00222_not_close.png
10,close_12.png,0.876963,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
11,close_14.png,0.005111,0,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
12,close_17.png,0.997779,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
13,close_2.png,0.017024,0,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
14,close_24.png,0.997123,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
15,close_25.png,0.989761,1,40,4,4,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00071_not_close.png;stage0_6_00222_not_close.png
16,close_7.png,0.985854,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
17,close_x_end.png,0.895881,1,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
18,current入口_20260711_082942.png,0.019105,0,41,3,3,stage0_6_00028_not_close.png;stage0_6_00029_not_close.png;stage0_6_00222_not_close.png
