group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
20260710_125824_2204,4,0,4,0,0,4,0,0.0,0.0,0.0
20260711_012512_50192,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_014423_after,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_014904_after,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_081443_41084,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_085410_10484,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_093821_38292,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_104153_50836,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_104613_15440,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_110821_25824,7,0,7,0,0,7,0,0.0,0.0,0.0
20260711_111953_39056,11,0,11,0,0,11,0,0.0,0.0,0.0
20260711_114715_58348,1,0,1,0,0,1,0,0.0,0.0,0.0
20260711_114928_30096,2,2,0,2,0,0,0,1.0,1.0,0.0
20260711_154545_35900,16,0,16,0,0,16,0,0.0,0.0,0.0
