source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000178_score_0.938_x395_y393_w14_h14_log__20260711_111953_39056_afk_20260711_111931_tiger_深淵_task__000024_20260711_112036_after_tap_746_135.png.png,20260711_111953_39056,2,0,not_close,0.106309,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00117_not_close.png,"33,48,14,14",0.894
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000296_score_0.921_x300_y489_w13_h14_log__20260711_094400_67140_afk_20260711_094338_em3_每日任務_task__000053_20260711_094602_after_swipe_360_430_360_230_700.png.png,20260711_094400_67140,1,0,not_close,0.083939,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00030_not_close.png,"48,48,13,14",0.921
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000322_score_0.919_x45_y138_w17_h16_log__20260711_155245_32320_kingdom_vault__000004_20260711_155251_after_swipe_86_130_86_430_420.png.png,20260711_155245_32320,1,0,not_close,0.002534,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00039_not_close.png,"45,48,17,16",0.919
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000344_score_0.917_x45_y177_w17_h16_log__20260711_155245_32320_kingdom_vault__000001_20260711_155246_before_swipe_86_430_86_130_420.png.png,20260711_155245_32320,1,0,not_close,0.006259,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00041_not_close.png,"45,48,17,16",0.917
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000362_score_0.915_x45_y79_w17_h16_log__20260711_155245_32320_kingdom_vault__000003_20260711_155250_before_swipe_86_130_86_430_420.png.png,20260711_155245_32320,1,0,not_close,0.024957,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00127_not_close.png,"45,48,17,16",0.89
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000370_score_0.915_x45_y80_w17_h16_log__20260711_155245_32320_kingdom_vault__000002_20260711_155248_after_swipe_86_430_86_130_420.png.png,20260711_155245_32320,1,0,not_close,0.012484,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00048_not_close.png,"45,48,17,16",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000392_score_0.915_x395_y421_w14_h13_log__20260711_111953_39056_afk_20260711_111931_tiger_深淵_task__000027_20260711_112042_before_tap_809_65.png.png,20260711_111953_39056,2,0,not_close,0.477953,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00054_not_close.png,"48,48,14,13",0.915
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000445_score_0.913_x118_y243_w16_h17_log__20260711_153753_50456_kingdom_vault__000014_20260711_153834_after_swipe_86_430_86_130_420.png.png,20260711_153753_50456,1,0,not_close,0.000096,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00057_not_close.png,"48,48,16,17",0.913
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000807_score_0.912_x82_y276_w16_h17_log__20260711_153753_50456_kingdom_vault__000052_20260711_153946_after_tap_80_164.png.png,20260711_153753_50456,1,0,not_close,0.000078,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00061_not_close.png,"48,48,16,17",0.912
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000814_score_0.910_x45_y215_w17_h16_log__20260711_153753_50456_kingdom_vault__000054_20260711_153950_after_tap_80_164.png.png,20260711_153753_50456,1,0,not_close,0.001913,0,0,0,0,1,0,D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00065_not_close.png,"45,48,17,16",0.91
