instance_id,content_id,original_path,relative_path,suspect_reason,current_annotation,suggested_check,model_run
file_6aff7e0fb40ebf65,asset_4961e66205fe51a1,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260613_145852_edit_roi.png,ads2\assets\2_communication\manual_rescue_20260613_145852_edit_roi.png,annotated_training_source_without_clean_pair,domain=ads; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=non_action_target; sub_role=; status=reviewed,這張可能是人工標記版本，且找不到 clean pair；不應直接進 training,
file_23dbc443cbd6ea9b,asset_55e9f3cfdc5f3ed6,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260613_145852_edit_mask.png,ads2\assets\2_communication\manual_rescue_20260613_145852_edit_mask.png,annotated_training_source_without_clean_pair,domain=ads; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=non_action_target; sub_role=; status=reviewed,這張可能是人工標記版本，且找不到 clean pair；不應直接進 training,
file_cdc457e25027dc3f,asset_77c118324b1195ea,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\contact_sheet.png,close_x_classifier\data\stage0_6_canonical_object_poc\contact_sheet.png,missing_or_unknown_domain,domain=unknown; asset_type=sheet; scope=sheet_or_composite; repr=raw; screen_state=uncertain; sample_role=uncertain; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_6b681fe18bac3f12,asset_8e734d5365dfe0c9,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review_sheet.png,close_x_classifier\data\review_batch_001\review_sheet.png,missing_or_unknown_domain,domain=unknown; asset_type=sheet; scope=sheet_or_composite; repr=raw; screen_state=uncertain; sample_role=uncertain; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_645424f09de2cac1,asset_001ec8700d46fbf9,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_test_positive_twostroke\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_test_positive_twostroke\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_23dd50b3833eecda,asset_1a346533147fc890,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_test_positive_twostroke\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_test_positive_twostroke\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_c90a6fb2649198d9,asset_0dd7ae05c02024f7,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_efd0886ac58b8c36,asset_b3cbb3c7006963ff,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_78b4b65349efe7ce,asset_4390c6dab15c5d2e,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_reject_twostroke_filtered\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_reject_twostroke_filtered\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_4b060f1aa57bff03,asset_4a156f926f00f080,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_reject_twostroke_filtered\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_reject_twostroke_filtered\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_87be3c01961f3b2a,asset_0c5f6c4d3bddb6d4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_reject_baseline_twostroke\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_reject_baseline_twostroke\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_d48930819477bf43,asset_50943c4abbf4dfa4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_reject_baseline_twostroke\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_reject_baseline_twostroke\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_dd864289d8743a40,asset_1344f265a75f820d,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v3\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v3\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_fe5e165dcddd7352,asset_bb249d3ba15e82b3,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v3\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v3\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_3a950fe163845b90,asset_204a97f539443405,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v2\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v2\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_decce46858469ca5,asset_996e9091b87bfe91,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v2\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered_v2\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_7a4a8fc3733b4a58,asset_f677a6b0772b2d90,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
