instance_id,content_id,original_path,relative_path,sample_role,score,label
file_c67d8401d09d7918,asset_44c737edef3fcbb0,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_150413_0.png,ads2\assets\2_communication\crop_20260607_150413_0.png,action_target,dist_to_label_centroid=1.000,outlier:action_target
file_d7dc1ef0c0b6e77f,asset_fa3d7fef15779703,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00001_close.png,close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00001_close.png,action_target,dist_to_label_centroid=0.694,outlier:action_target
file_6683231809f6e890,asset_c3fea2567743cc49,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,close_x_classifier\data\review_batch_001\review\close\000042_score_0.978_x916_y25_w22_h22_log__20260711_114928_30096_afk_20260711_114738_14_廣告時間沙漏_task__000014_20260711_115034_after_tap_301_350.png.png,action_target,dist_to_label_centroid=0.680,outlier:action_target
file_92cf3b71956857b4,asset_b9a7f7d2743d3ea0,D:\Projects\adb_vl\ads2\assets\1_templates\scene_anchors\scene_1.png,ads2\assets\1_templates\scene_anchors\scene_1.png,action_target,dist_to_label_centroid=0.500,outlier:action_target
file_23b67a9f5474e726,asset_b9a7f7d2743d3ea0,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260613_154446.png,ads2\assets\2_communication\crop_20260613_154446.png,action_target,dist_to_label_centroid=0.500,outlier:action_target
file_690699e287bbe47a,asset_42aad7e6f678b513,D:\Projects\adb_vl\close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00013_close.png,close_x_classifier\data\stage0_6_canonical_object_poc\images\stage0_6_00013_close.png,action_target,dist_to_label_centroid=0.490,outlier:action_target
file_39c21fa7d94cb2a7,asset_4fbcd7df4f1e9032,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_white.png,ads2\assets\1_templates\備份\close_x_white.png,action_target,dist_to_label_centroid=0.457,outlier:action_target
file_ed7ecf2d8c86d633,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,action_target,dist_to_label_centroid=0.452,outlier:action_target
file_5f34bb9564706fee,asset_98e1db61d8ee29c9,D:\Projects\adb_vl\ads2\assets\review_crops\ad_issue_20260606_043419_roi_0.png,ads2\assets\review_crops\ad_issue_20260606_043419_roi_0.png,action_target,dist_to_label_centroid=0.452,outlier:action_target
file_e16e35dc922172f8,asset_565f2f8c61c441ed,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,action_target,dist_to_label_centroid=0.448,outlier:action_target
file_1c5b15d1afc22538,asset_af58ae44a4d53219,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000976_score_0.909_x359_y317_w13_h13_log__20260711_095142_4644_afk_20260711_095142_em3_每日簽到_route_enter__000007_20260711_095153_before_tap_480_158.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000976_score_0.909_x359_y317_w13_h13_log__20260711_095142_4644_afk_20260711_095142_em3_每日簽到_route_enter__000007_20260711_095153_before_tap_480_158.png.png,non_action_target,dist_to_label_centroid=0.868,outlier:non_action_target
