instance_id,content_id,relative_path,candidate_id,parent_screen_id,proposal_sources,proposal_score_max,suggestion_family,top_probability,raw_bbox_crop_path
file_0d280a200f7125e9,asset_3ed9b22450b0b389,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_001_bbox.png,cxp_s0001_001,screen_0001,geometry_x,0.901446,x_mark,0.55120,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_001_bbox.png
file_ca9cc5c2f916393f,asset_8241c2a0a6437fb0,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_002_bbox.png,cxp_s0001_002,screen_0001,geometry_x,0.884426,negative,0.48231,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_002_bbox.png
file_0bb53a894c0407be,asset_89c9eaf0e86764d3,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_003_bbox.png,cxp_s0001_003,screen_0001,geometry_x,0.855596,x_mark,0.77226,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_003_bbox.png
file_accba869920985f2,asset_c2ae47c8039fb6d7,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_004_bbox.png,cxp_s0001_004,screen_0001,geometry_x,0.818824,negative,0.41686,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_004_bbox.png
file_c6266d0e63b79b8b,asset_c214253615559e10,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_005_bbox.png,cxp_s0001_005,screen_0001,geometry_x,0.810386,negative,0.39790,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_005_bbox.png
file_375e35a5917578ed,asset_c0a2597efbcc86af,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_006_bbox.png,cxp_s0001_006,screen_0001,geometry_x,0.804688,x_mark,0.57580,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_006_bbox.png
file_95836ad8f01ad2c9,asset_1c15db447481be43,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_007_bbox.png,cxp_s0001_007,screen_0001,geometry_x,0.775111,arrow,0.72292,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_007_bbox.png
file_8943774ddc0fdaec,asset_fe12f6f9b1e68fd6,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_001_bbox.png,cxp_s0002_001,screen_0002,close_template,0.968971,arrow,0.61171,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_001_bbox.png
file_91d8d6ae074bb204,asset_453e9b2ff9102640,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_002_bbox.png,cxp_s0002_002,screen_0002,geometry_x,0.924219,x_mark,0.66744,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_002_bbox.png
file_74c7639e1a5e244b,asset_f529b84826211e05,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_003_bbox.png,cxp_s0002_003,screen_0002,geometry_x,0.884352,x_mark,0.66234,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_003_bbox.png
