candidate_id,parent_screen_id,parent_screen_path,source_screen_path,source_session,timestamp,creative_id_or_group,bbox,bbox_x,bbox_y,bbox_w,bbox_h,raw_bbox_crop_path,context_crop_path,canonical_crop_path,overlay_path,proposal_sources,proposal_types,proposal_scores,proposal_score_max,raw_proposal_ids,nms_group_id,raw_proposal_count,overflow,review_status,visual_families,is_holdout,split_group,classifier_x_mark,classifier_play_triangle,classifier_google_play,classifier_next,classifier_free,classifier_got,classifier_arrow
cxp_s0001_001,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[512,147,28,27]",512,147,28,27,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_001_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_001_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_001_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.901446,0.901446,raw_s0001_0001,nms_s0001_001,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.5512,0.00039,0.002,0.01408,0.0323,0.00271,0.18531
cxp_s0001_002,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[677,132,23,22]",677,132,23,22,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_002_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_002_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_002_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.884426,0.884426,raw_s0001_0002,nms_s0001_002,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.48231,0.00308,0.00557,0.06294,0.03288,0.01865,0.10608
cxp_s0001_003,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[863,106,14,14]",863,106,14,14,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_003_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_003_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_003_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.855596,0.855596,raw_s0001_0003,nms_s0001_003,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.77226,0.01214,0.05917,0.04311,0.08227,0.00482,0.41003
cxp_s0001_004,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[332,117,8,10]",332,117,8,10,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_004_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_004_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_004_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.818824,0.818824,raw_s0001_0004,nms_s0001_004,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.41686,0.06018,0.01974,0.09483,0.02037,0.03544,0.06167
cxp_s0001_005,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[593,105,27,27]",593,105,27,27,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_005_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_005_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_005_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.810386,0.810386,raw_s0001_0005,nms_s0001_005,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.3979,0.00324,0.00113,0.01462,0.01725,0.01216,0.01661
cxp_s0001_006,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[867,131,9,9]",867,131,9,9,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_006_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_006_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_006_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.804688,0.804688,raw_s0001_0006,nms_s0001_006,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.5758,0.01609,0.01919,0.01206,0.00901,0.00285,0.51306
cxp_s0001_007,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[924,17,16,12]",924,17,16,12,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0001_007_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0001_007_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0001_007_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,geometry_x,x_geometry,0.775111,0.775111,raw_s0001_0007,nms_s0001_007,1,0,pending,,0,input_preclick_latest30_20260720:screen_0001,0.51017,0.08134,0.1996,0.1048,0.3084,0.01535,0.72292
cxp_s0002_001,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[21,24,87,33]",21,24,87,33,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_001_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0002_001_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0002_001_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0002_overlay.png,close_template,template_match,0.968971|0.847566,0.968971,raw_s0002_0003|raw_s0002_0004,nms_s0002_001,2,0,pending,,0,input_preclick_latest30_20260720:screen_0002,0.05479,0.16975,0.0472,0.50196,0.0309,0.48583,0.61171
cxp_s0002_002,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[76,34,16,18]",76,34,16,18,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_002_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0002_002_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0002_002_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0002_overlay.png,geometry_x,x_geometry,0.924219,0.924219,raw_s0002_0010,nms_s0002_002,1,0,pending,,0,input_preclick_latest30_20260720:screen_0002,0.66744,0.00101,0.00037,0.00608,0.01394,0.00339,0.24209
cxp_s0002_003,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,input_preclick_latest30_20260720,20260720_165706,input_preclick_latest30_20260720,"[905,28,28,30]",905,28,28,30,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_003_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\context_1_5x\cxp_s0002_003_context.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\canonical_96\cxp_s0002_003_canonical.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0002_overlay.png,geometry_x,x_geometry,0.884352,0.884352,raw_s0002_0011,nms_s0002_003,1,0,pending,,0,input_preclick_latest30_20260720:screen_0002,0.66234,0.00202,0.00066,0.0212,0.02396,0.00522,0.38177
