raw_proposal_id,parent_screen_id,parent_screen_path,source_screen_path,bbox,bbox_x,bbox_y,bbox_w,bbox_h,proposal_source,proposal_type,proposal_score,template_name,raw_proposal_crop_path,raw_payload
raw_s0001_0001,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[512,147,28,27]",512,147,28,27,geometry_x,x_geometry,0.901446,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0001.png,"{""score"":0.9014463539151262,""method"":""axis"",""line_down"":[512,147,538,173],""line_up"":[513,173,538,147],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.993464045373835,""center_offset"":0.02079656347632408,""fill"":0.533068783068783,""axis_union"":0.771712158808933,""axis_balance"":0.9079754601226994,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":27.04683494567871,""axis_span_up_px"":26.870058059692383,""min_arm_pixels"":61,""min_arm_extent_px"":9.468582153320312,""min_arm_coverage"":1.0,""center_pixels"":48,""center_thickness_ratio"":0.689878481116234,""arm_down_neg_px"":61,""arm_down_pos_px"":77,""arm_up_neg_px"":61,""arm_up_pos_px"":74,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.4317617866004963,""axis_core_balance"":0.8913043478260869,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_strict"",""mode"":""white""}"
raw_s0001_0002,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[677,132,23,22]",677,132,23,22,geometry_x,x_geometry,0.884426,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0002.png,"{""score"":0.8844258913190504,""method"":""axis"",""line_down"":[677,132,699,153],""line_up"":[678,153,699,132],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.9200000215791865,""center_offset"":0.014859193004667759,""fill"":0.5355731225296443,""axis_union"":0.7970479704797048,""axis_balance"":0.8620689655172413,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":17.677669525146484,""axis_span_up_px"":16.263456344604492,""min_arm_pixels"":35,""min_arm_extent_px"":4.8238606452941895,""min_arm_coverage"":1.0,""center_pixels"":60,""center_thickness_ratio"":1.0805663860057635,""arm_down_neg_px"":43,""arm_down_pos_px"":43,""arm_up_neg_px"":35,""arm_up_pos_px"":45,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.34317343173431736,""axis_core_balance"":0.86,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""black_soft"",""mode"":""black""}"
raw_s0001_0003,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[863,106,14,14]",863,106,14,14,geometry_x,x_geometry,0.855596,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0003.png,"{""score"":0.8555960855096536,""method"":""axis"",""line_down"":[863,106,876,119],""line_up"":[863,119,876,106],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.9084745307075486,""center_offset"":0.07325443625450134,""fill"":0.3826530612244898,""axis_union"":0.8933333333333333,""axis_balance"":0.717948717948718,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":9.47523021697998,""axis_span_up_px"":10.429824829101562,""min_arm_pixels"":0,""min_arm_extent_px"":0.0,""min_arm_coverage"":0.0,""center_pixels"":16,""center_thickness_ratio"":0.8496981250996491,""arm_down_neg_px"":0,""arm_down_pos_px"":21,""arm_up_neg_px"":11,""arm_up_pos_px"":19,""arm_down_neg_cov"":0.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.48,""axis_core_balance"":1.0,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""black_soft"",""mode"":""black""}"
raw_s0001_0004,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[332,117,8,10]",332,117,8,10,geometry_x,x_geometry,0.818824,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0004.png,"{""score"":0.8188239171193021,""method"":""axis"",""line_down"":[332,118,339,125],""line_up"":[332,125,339,118],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.9148935697038558,""center_offset"":0.05794340372085571,""fill"":0.55,""axis_union"":0.6363636363636364,""axis_balance"":0.8666666666666667,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":6.646803855895996,""axis_span_up_px"":6.081118106842041,""min_arm_pixels"":1,""min_arm_extent_px"":0.6213202476501465,""min_arm_coverage"":0.25,""center_pixels"":12,""center_thickness_ratio"":1.6989218571182132,""arm_down_neg_px"":1,""arm_down_pos_px"":8,""arm_up_neg_px"":2,""arm_up_pos_px"":5,""arm_down_neg_cov"":0.25,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":0.5,""arm_up_pos_cov"":0.75,""axis_core_union"":0.6363636363636364,""axis_core_balance"":0.8666666666666667,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""black_strict"",""mode"":""black""}"
raw_s0001_0005,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[593,105,27,27]",593,105,27,27,geometry_x,x_geometry,0.810386,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0005.png,"{""score"":0.8103855736651702,""method"":""axis"",""line_down"":[593,105,619,131],""line_up"":[593,131,619,105],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.730337134110669,""center_offset"":0.032134272158145905,""fill"":0.40054869684499317,""axis_union"":0.7157534246575342,""axis_balance"":0.8660714285714286,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":16.086679458618164,""axis_span_up_px"":22.02637481689453,""min_arm_pixels"":16,""min_arm_extent_px"":3.634951114654541,""min_arm_coverage"":1.0,""center_pixels"":82,""center_thickness_ratio"":1.6143790469388482,""arm_down_neg_px"":16,""arm_down_pos_px"":35,""arm_up_neg_px"":55,""arm_up_pos_px"":28,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.4623287671232877,""axis_core_balance"":0.9565217391304348,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""black_strict"",""mode"":""black""}"
raw_s0001_0006,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[867,131,9,9]",867,131,9,9,geometry_x,x_geometry,0.804688,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0006.png,"{""score"":0.8046879873877786,""method"":""axis"",""line_down"":[867,131,875,139],""line_up"":[867,139,875,131],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.8368421755001261,""center_offset"":0.04863094910979271,""fill"":0.49382716049382713,""axis_union"":0.875,""axis_balance"":0.5416666666666666,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":6.7175140380859375,""axis_span_up_px"":5.621499061584473,""min_arm_pixels"":2,""min_arm_extent_px"":0.6213202476501465,""min_arm_coverage"":0.25,""center_pixels"":13,""center_thickness_ratio"":1.101078242494115,""arm_down_neg_px"":11,""arm_down_pos_px"":2,""arm_up_neg_px"":4,""arm_up_pos_px"":5,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":0.25,""arm_up_neg_cov"":0.5,""arm_up_pos_cov"":0.75,""axis_core_union"":0.65,""axis_core_balance"":0.5294117647058824,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""black_strict"",""mode"":""black""}"
raw_s0001_0007,screen_0001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,"[924,17,16,12]",924,17,16,12,geometry_x,x_geometry,0.775111,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0001_0007.png,"{""score"":0.7751105260680419,""method"":""axis"",""line_down"":[926,17,937,28],""line_up"":[926,28,937,17],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.857692274174342,""center_offset"":0.11298602819442749,""fill"":0.25,""axis_union"":0.5625,""axis_balance"":0.9285714285714286,""continuity"":0.5102040816326531,""max_gap_ratio"":0.2857142857142857,""continuity_coverage"":0.7142857142857143,""axis_span_down_px"":9.192388534545898,""axis_span_up_px"":7.884240627288818,""min_arm_pixels"":0,""min_arm_extent_px"":0.0,""min_arm_coverage"":0.0,""center_pixels"":12,""center_thickness_ratio"":1.548703246646457,""arm_down_neg_px"":7,""arm_down_pos_px"":2,""arm_up_neg_px"":0,""arm_up_pos_px"":9,""arm_down_neg_cov"":0.75,""arm_down_pos_cov"":0.25,""arm_up_neg_cov"":0.0,""arm_up_pos_cov"":0.75,""axis_core_union"":0.4166666666666667,""axis_core_balance"":0.8181818181818182,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""black_strict"",""mode"":""black""}"
raw_s0002_0001,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[909,58,43,46]",909,58,43,46,close_template,template_match,0.819788,ad_issue_20260606_045316_roi_0.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0001.png,"{""brightness_ratio"":1.0074487692456426}"
raw_s0002_0002,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[580,11,43,46]",580,11,43,46,close_template,template_match,0.780801,ad_issue_20260606_045316_roi_0.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0002.png,"{""brightness_ratio"":0.7813192913299881}"
raw_s0002_0003,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[30,29,74,23]",30,29,74,23,close_template,template_match,0.968971,close_11.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0003.png,"{""brightness_ratio"":1.3939277293080696}"
