parent_screen_id,source_screen_path,copied_screen_path,source_session,width,height,raw_proposals,candidates_kept,candidates_overflow,overlay_path,split_group
screen_0001,vision_platform\ads\collections\input_preclick_latest30_20260720\001_click_success_20260720_131754_150_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0001.png,input_preclick_latest30_20260720,960,540,7,7,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0001_overlay.png,input_preclick_latest30_20260720:screen_0001
screen_0002,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,input_preclick_latest30_20260720,960,540,11,10,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0002_overlay.png,input_preclick_latest30_20260720:screen_0002
screen_0003,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,input_preclick_latest30_20260720,960,540,14,13,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0003_overlay.png,input_preclick_latest30_20260720:screen_0003
screen_0004,vision_platform\ads\collections\input_preclick_latest30_20260720\004_click_success_20260720_131706_194_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0004.png,input_preclick_latest30_20260720,960,540,9,9,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0004_overlay.png,input_preclick_latest30_20260720:screen_0004
screen_0005,vision_platform\ads\collections\input_preclick_latest30_20260720\005_click_success_20260720_131658_019_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0005.png,input_preclick_latest30_20260720,960,540,8,8,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0005_overlay.png,input_preclick_latest30_20260720:screen_0005
screen_0006,vision_platform\ads\collections\input_preclick_latest30_20260720\006_click_success_20260720_131651_761_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0006.png,input_preclick_latest30_20260720,960,540,18,15,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0006_overlay.png,input_preclick_latest30_20260720:screen_0006
screen_0007,vision_platform\ads\collections\input_preclick_latest30_20260720\007_click_success_20260720_131608_694_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0007.png,input_preclick_latest30_20260720,960,540,8,8,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0007_overlay.png,input_preclick_latest30_20260720:screen_0007
screen_0008,vision_platform\ads\collections\input_preclick_latest30_20260720\008_click_success_20260720_131602_373_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0008.png,input_preclick_latest30_20260720,960,540,11,7,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0008_overlay.png,input_preclick_latest30_20260720:screen_0008
screen_0009,vision_platform\ads\collections\input_preclick_latest30_20260720\009_click_success_20260720_131542_386_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0009.png,input_preclick_latest30_20260720,960,540,9,9,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0009_overlay.png,input_preclick_latest30_20260720:screen_0009
screen_0010,vision_platform\ads\collections\input_preclick_latest30_20260720\010_click_success_20260720_131153_058_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0010.png,input_preclick_latest30_20260720,960,540,5,5,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0010_overlay.png,input_preclick_latest30_20260720:screen_0010
