annotation_id,screen_id,image_path,instance_id,content_id,bbox_id,bbox_x,bbox_y,bbox_w,bbox_h,category,label,source_class,screen_state,split_group,split
ann_000001,ads_det_000001,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000001.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,1,908.755,17.762,36.923,31.385,action_candidate,positive,action_target,actionable,content:asset_1cbbbee4c4d36bef,
ann_000002,ads_det_000003,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000003.png,file_d5b98b055872b01a,asset_750d55c7609ca258,4,268.178,338.138,110.121,22.024,action_candidate,positive,action_target,actionable,content:asset_750d55c7609ca258,
ann_000003,ads_det_000004,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000004.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,5,283.725,340.729,89.393,20.729,action_candidate,positive,action_target,actionable,content:asset_ab05d9f4b4d29489,
ann_000004,ads_det_000005,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000005.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,6,282.429,338.138,90.688,23.320,action_candidate,positive,action_target,actionable,content:asset_b867455dd1ee49b4,
ann_000005,ads_det_000006,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000006.png,file_b7ee94d02191862f,asset_636cdeb26ca95f12,7,434.008,145.101,103.644,29.798,action_candidate,positive,action_target,actionable,content:asset_636cdeb26ca95f12,
ann_000006,ads_det_000007,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000007.png,file_a38025dbb89180ef,asset_18251ebb4fbe0ec2,8,430.121,147.692,99.757,23.320,action_candidate,positive,action_target,actionable,content:asset_18251ebb4fbe0ec2,
ann_000007,ads_det_000008,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000008.png,file_d212015305644917,asset_36d0173a1ee8f012,9,909.873,18.228,36.456,30.380,action_candidate,positive,action_target,actionable,content:asset_36d0173a1ee8f012,
ann_000008,ads_det_000009,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000009.png,file_dd3404a95461a35b,asset_a8624d3b6b62bbd3,10,909.873,18.228,36.456,30.380,action_candidate,positive,action_target,actionable,content:asset_a8624d3b6b62bbd3,
ann_000009,ads_det_000010,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000010.png,file_b83f222024e4dce3,asset_aa6d0cc26c800a10,12,420.561,131.215,122.243,39.252,action_candidate,positive,action_target,actionable,content:asset_aa6d0cc26c800a10,
ann_000010,ads_det_000011,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000011.png,file_1d66d77457cb8524,asset_012e1c6083b7edb3,13,420.561,131.215,122.243,39.252,action_candidate,positive,action_target,actionable,content:asset_012e1c6083b7edb3,
ann_000011,ads_det_000012,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000012.png,file_4302c7d9cabc3a27,asset_42d55640f5e0078b,15,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_42d55640f5e0078b,
ann_000012,ads_det_000013,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000013.png,file_884882948f49225e,asset_db91c1f09cec9eb8,16,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_db91c1f09cec9eb8,
ann_000013,ads_det_000014,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000014.png,file_36e3a5114617b811,asset_9747d2b044514da5,17,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_9747d2b044514da5,
ann_000014,ads_det_000015,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000015.png,file_7e8dc83206c303ea,asset_cdbc112f29c50c6a,18,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_cdbc112f29c50c6a,
ann_000015,ads_det_000016,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000016.png,file_a3ae38fcad2f22f2,asset_fa172a2f563a6c00,19,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_fa172a2f563a6c00,
ann_000016,ads_det_000017,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000017.png,file_243b7b7509dbd3e4,asset_ae18f7ee593c2fee,20,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_ae18f7ee593c2fee,
ann_000017,ads_det_000018,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000018.png,file_921bc8370c557d92,asset_952d77d5dade7206,21,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_952d77d5dade7206,
ann_000018,ads_det_000019,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000019.png,file_fdb8b473ec271a1b,asset_105b675b3aaac632,22,428.141,143.518,97.688,31.357,action_candidate,positive,action_target,actionable,content:asset_105b675b3aaac632,
ann_000019,ads_det_000020,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000020.png,file_0cc3b419504e6c6d,asset_31248d6ed529be48,24,900.905,24.121,44.623,24.121,action_candidate,positive,action_target,actionable,content:asset_31248d6ed529be48,
ann_000020,ads_det_000021,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000021.png,file_f006c768e3968916,asset_0bdebd9b5f09c39e,25,900.905,24.121,44.623,24.121,action_candidate,positive,action_target,actionable,content:asset_0bdebd9b5f09c39e,
ann_000021,ads_det_000022,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000022.png,file_930ab51f7142d475,asset_278755527ca1a3e5,27,911.759,21.709,31.357,21.709,action_candidate,positive,action_target,actionable,content:asset_278755527ca1a3e5,
ann_000022,ads_det_000023,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000023.png,file_e0303f06c1dea025,asset_517dffb127e8e353,28,911.759,21.709,31.357,21.709,action_candidate,positive,action_target,actionable,content:asset_517dffb127e8e353,
ann_000023,ads_det_000024,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000024.png,file_f79203642ccdd8a7,asset_54284dbf33086654,29,911.759,21.709,31.357,21.709,action_candidate,positive,action_target,actionable,content:asset_54284dbf33086654,
ann_000024,ads_det_000025,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000025.png,file_e277a86da364ce73,asset_7711801e12745d2a,30,911.759,21.709,31.357,21.709,action_candidate,positive,action_target,actionable,content:asset_7711801e12745d2a,
ann_000025,ads_det_000026,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000026.png,file_c888bac3e43fdb07,asset_cdf3bcbb678fb092,33,916.583,24.121,20.261,18.332,action_candidate,positive,action_target,actionable,content:asset_cdf3bcbb678fb092,
ann_000026,ads_det_000027,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000027.png,file_836b44de324f1b1a,asset_88d4e00731bb83a4,34,916.583,24.121,20.261,18.332,action_candidate,positive,action_target,actionable,content:asset_88d4e00731bb83a4,
ann_000027,ads_det_000028,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000028.png,file_6dac895af9d30ef2,asset_ee7c08a720254382,35,916.583,24.121,20.261,18.332,action_candidate,positive,action_target,actionable,content:asset_ee7c08a720254382,
ann_000028,ads_det_000029,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000029.png,file_36c42bd7e00afcdc,asset_003a3c06113bbe55,36,916.583,24.121,20.261,18.332,action_candidate,positive,action_target,actionable,content:asset_003a3c06113bbe55,
ann_000029,ads_det_000030,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000030.png,file_8a31e0f727b3b9cb,asset_36bc47380f8b1aa2,37,916.583,24.121,20.261,18.332,action_candidate,positive,action_target,actionable,content:asset_36bc47380f8b1aa2,
ann_000030,ads_det_000031,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000031.png,file_6498acc37b738765,asset_e944939861a0d57c,38,916.583,24.121,20.261,18.332,action_candidate,positive,action_target,actionable,content:asset_e944939861a0d57c,
ann_000031,ads_det_000032,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000032.png,file_1922bb97a02f78e7,asset_0ef85ef6c3008061,40,908.141,24.121,34.975,20.503,action_candidate,positive,action_target,actionable,content:asset_0ef85ef6c3008061,
ann_000032,ads_det_000033,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000033.png,file_44d80f437474f51b,asset_84c479c28cc73674,41,908.141,24.121,34.975,20.503,action_candidate,positive,action_target,actionable,content:asset_84c479c28cc73674,
ann_000033,ads_det_000034,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000034.png,file_ec7b16077fbaef43,asset_452c73fab94708e2,42,908.141,24.121,34.975,20.503,action_candidate,positive,action_target,actionable,content:asset_452c73fab94708e2,
ann_000034,ads_det_000035,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000035.png,file_1f61fa69df283b55,asset_6b5f8cdfb057831b,43,908.141,24.121,34.975,20.503,action_candidate,positive,action_target,actionable,content:asset_6b5f8cdfb057831b,
ann_000035,ads_det_000036,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000036.png,file_596fe48bf09caa19,asset_6cb8dabf6719aa9f,44,908.141,24.121,34.975,20.503,action_candidate,positive,action_target,actionable,content:asset_6cb8dabf6719aa9f,
ann_000036,ads_det_000037,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000037.png,file_7bf7eaa14bb5cddc,asset_979a7f289e8b2244,45,908.141,24.121,34.975,20.503,action_candidate,positive,action_target,actionable,content:asset_979a7f289e8b2244,
ann_000037,ads_det_000038,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000038.png,file_e7bee6618f781e5d,asset_db6a9540a21dfe61,47,300.302,476.382,34.975,31.357,action_candidate,positive,action_target,actionable,content:asset_db6a9540a21dfe61,
ann_000038,ads_det_000039,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000039.png,file_70f4558ba79f206e,asset_b26970a43dfdf0e2,48,300.302,476.382,34.975,31.357,action_candidate,positive,action_target,actionable,content:asset_b26970a43dfdf0e2,
ann_000039,ads_det_000040,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000040.png,file_50e3a7f3bec0e370,asset_148fb06adfea06f2,50,297.889,475.176,48.241,32.563,action_candidate,positive,action_target,actionable,content:asset_148fb06adfea06f2,
ann_000040,ads_det_000041,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000041.png,file_958cead94d8e1841,asset_3205a944e419dafa,57,912.965,21.709,26.533,21.709,action_candidate,positive,action_target,actionable,content:asset_3205a944e419dafa,
ann_000041,ads_det_000042,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000042.png,file_fb0a9f57a7a57a2c,asset_9a48f187dd79d17e,58,912.965,21.709,26.533,21.709,action_candidate,positive,action_target,actionable,content:asset_9a48f187dd79d17e,
ann_000042,ads_det_000043,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000043.png,file_9e466ed58c8c5e3f,asset_419b00ac3f9e1f40,59,912.965,21.709,26.533,21.709,action_candidate,positive,action_target,actionable,content:asset_419b00ac3f9e1f40,
ann_000043,ads_det_000044,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000044.png,file_cd7e7dc9299374b5,asset_256291946681e495,61,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_256291946681e495,
ann_000044,ads_det_000045,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000045.png,file_d81dd31cef471171,asset_e7315be7635cfbe4,62,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_e7315be7635cfbe4,
ann_000045,ads_det_000046,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000046.png,file_3d0482656b66a8c7,asset_5522d341e2105ef8,63,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_5522d341e2105ef8,
ann_000046,ads_det_000047,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000047.png,file_29cd8a9b6ed552f6,asset_84d107a9ad22d8c6,64,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_84d107a9ad22d8c6,
ann_000047,ads_det_000048,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000048.png,file_bed48f9ad2be2f33,asset_8ba1bdf15ecbae79,65,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_8ba1bdf15ecbae79,
ann_000048,ads_det_000049,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000049.png,file_7b1e49249bd69d55,asset_8cc868336d8add69,66,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_8cc868336d8add69,
ann_000049,ads_det_000050,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000050.png,file_e75ab06843e8ce99,asset_391384dd5e30726d,67,911.411,25.934,29.639,18.525,action_candidate,positive,action_target,actionable,content:asset_391384dd5e30726d,
ann_000050,ads_det_000052,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000052.png,file_964499e8c824d89b,asset_0400fa765d75f34b,69,418.492,352.161,78.392,24.121,action_candidate,positive,action_target,actionable,content:asset_0400fa765d75f34b,
