screen_id,image_path,original_path,event_json,event_id,source_session,timestamp,proposal_source,template_name,screen_change_score,width,height,positive_bbox_count,dataset_role,split_group,split
click_det_000001,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000001.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093751_311\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093751_311\event.json,20260719_093751_311,ads2_click_success_20260719_093751_311,2026-07-19T09:37:51+0800,free_ad_template,close_26.png,66.34340277777778,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093751_311,
click_det_000002,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000002.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093814_574\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093814_574\event.json,20260719_093814_574,ads2_click_success_20260719_093814_574,2026-07-19T09:38:14+0800,close_template,close_24.png,93.55388888888889,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093814_574,
click_det_000003,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000003.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093819_308\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093819_308\event.json,20260719_093819_308,ads2_click_success_20260719_093819_308,2026-07-19T09:38:19+0800,got_template,got2.png,44.613680555555554,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093819_308,
click_det_000004,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000004.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093855_744\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093855_744\event.json,20260719_093855_744,ads2_click_success_20260719_093855_744,2026-07-19T09:38:55+0800,close_template,ad_issue_20260606_052002_roi_15.png,122.278125,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093855_744,
click_det_000005,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000005.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093900_785\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093900_785\event.json,20260719_093900_785,ads2_click_success_20260719_093900_785,2026-07-19T09:39:00+0800,got_template,got2.png,42.24701388888889,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093900_785,
click_det_000006,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000006.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093925_477\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093925_477\event.json,20260719_093925_477,ads2_click_success_20260719_093925_477,2026-07-19T09:39:25+0800,close_template,close_11.png,44.16506944444444,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093925_477,
click_det_000007,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000007.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093942_272\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093942_272\event.json,20260719_093942_272,ads2_click_success_20260719_093942_272,2026-07-19T09:39:42+0800,close_template,close_11.png,113.2161111111111,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093942_272,
click_det_000008,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000008.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093947_006\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093947_006\event.json,20260719_093947_006,ads2_click_success_20260719_093947_006,2026-07-19T09:39:47+0800,got_template,got2.png,41.42208333333333,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093947_006,
click_det_000009,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000009.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093953_788\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093953_788\event.json,20260719_093953_788,ads2_click_success_20260719_093953_788,2026-07-19T09:39:53+0800,free_ad_template,free_ad_3.png,57.657986111111114,960,540,1,weak_positive,click_success:ads2_click_success_20260719_093953_788,
click_det_000010,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000010.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094035_435\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094035_435\event.json,20260719_094035_435,ads2_click_success_20260719_094035_435,2026-07-19T09:40:35+0800,got_template,got2.png,38.32284722222222,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094035_435,
click_det_000011,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000011.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094100_229\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094100_229\event.json,20260719_094100_229,ads2_click_success_20260719_094100_229,2026-07-19T09:41:00+0800,close_template,close_11.png,44.855555555555554,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094100_229,
click_det_000012,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000012.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094116_897\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094116_897\event.json,20260719_094116_897,ads2_click_success_20260719_094116_897,2026-07-19T09:41:16+0800,close_template,close_11.png,116.28236111111111,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094116_897,
click_det_000013,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000013.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094121_626\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094121_626\event.json,20260719_094121_626,ads2_click_success_20260719_094121_626,2026-07-19T09:41:21+0800,got_template,got2.png,38.53395833333333,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094121_626,
click_det_000014,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000014.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094128_479\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094128_479\event.json,20260719_094128_479,ads2_click_success_20260719_094128_479,2026-07-19T09:41:28+0800,free_ad_template,free_ad_3.png,54.33215277777778,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094128_479,
click_det_000015,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000015.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094146_147\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094146_147\event.json,20260719_094146_147,ads2_click_success_20260719_094146_147,2026-07-19T09:41:46+0800,close_template,close_11.png,44.50548611111111,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094146_147,
click_det_000016,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000016.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094202_771\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094202_771\event.json,20260719_094202_771,ads2_click_success_20260719_094202_771,2026-07-19T09:42:02+0800,close_template,close_11.png,115.07145833333334,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094202_771,
click_det_000017,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000017.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094207_685\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094207_685\event.json,20260719_094207_685,ads2_click_success_20260719_094207_685,2026-07-19T09:42:07+0800,got_template,got2.png,35.291111111111114,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094207_685,
click_det_000018,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000018.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094357_107\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094357_107\event.json,20260719_094357_107,ads2_click_success_20260719_094357_107,2026-07-19T09:43:57+0800,free_ad_template,close_26.png,84.3776388888889,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094357_107,
click_det_000019,vision_platform\ads\datasets\detector\click_success_weak_20260719\images\click_det_000019.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094415_443\pre_click.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094415_443\event.json,20260719_094415_443,ads2_click_success_20260719_094415_443,2026-07-19T09:44:15+0800,got_template,got2.png,83.86902777777777,960,540,1,weak_positive,click_success:ads2_click_success_20260719_094415_443,
