instance_id,content_id,original_path,relative_path,vision_domain,families,trace_status,parent_instance_id,parent_content_id,parent_path,bbox_id,bbox,bbox_x,bbox_y,bbox_w,bbox_h
file_095d6322a813c6b4,asset_6d53b8801d29cfb7,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135103_925\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135103_925\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135103_925\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_475f74fc1f507182,asset_f469d877decb6ba4,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135838_244\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135838_244\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135838_244\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_336863d2e06088df,asset_cd2eb5e6a77d8f9f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135808_322\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135808_322\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135808_322\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_b5ceb53f6363eb00,asset_1bcb39cc4cf3bcf4,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135907_953\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135907_953\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135907_953\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_ed775e73f24dae53,asset_57705cc7f11a2a7f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_163051_076\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_163051_076\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_163051_076\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_4a79ba7a94cfeb5a,asset_f4267fd43f7332c6,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_162923_454\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_162923_454\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_162923_454\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_dddc8918627d32c5,asset_fbc8aa9f5506c36f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_163205_424\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_163205_424\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_163205_424\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_60bac38a55997464,asset_c9fd61a5d932e963,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135139_606\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135139_606\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135139_606\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_f1e86606970a4098,asset_6f98cd8786ef6aa9,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135109_301\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135109_301\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135109_301\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_e1800e087389adce,asset_4d6685ea797b7292,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135039_335\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135039_335\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135039_335\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
