screen_id,image_path,original_path,relative_path,instance_id,content_id,vision_domain,legacy_screen_state,asset_type,representation,source_root,source_session,width,height,dataset_role,annotation_completeness,proposal_source,template_name,event_json,event_id,timestamp,screen_change_score,positive_bbox_count,split_group,split,annotation_id,bbox_id,bbox_x,bbox_y,bbox_w,bbox_h,category,label_kind,label_source,legacy_bbox_class,legacy_bbox_label
vis_det_v2_000001,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000001.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_capture_20260606,train,v2_ann_000001,1,908.755,17.762,36.923,31.385,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000002,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000002.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_225520.png,ads2\assets\2_communication\manual_rescue_20260606_225520.png,file_d5b98b055872b01a,asset_750d55c7609ca258,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000002,4,268.178,338.138,110.121,22.024,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000003,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000003.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000003,5,283.725,340.729,89.393,20.729,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000004,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000004.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000004,6,282.429,338.138,90.688,23.320,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000005,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000005.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,file_b7ee94d02191862f,asset_636cdeb26ca95f12,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000005,7,434.008,145.101,103.644,29.798,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000006,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000006.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_original.png,ads2\assets\2_communication\manual_rescue_20260606_232156_original.png,file_a38025dbb89180ef,asset_18251ebb4fbe0ec2,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000006,8,430.121,147.692,99.757,23.320,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000007,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000007.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082421_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082421_edit.png,file_d212015305644917,asset_36d0173a1ee8f012,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000007,9,909.873,18.228,36.456,30.380,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000008,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000008.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082421_original.png,ads2\assets\2_communication\manual_rescue_20260607_082421_original.png,file_dd3404a95461a35b,asset_a8624d3b6b62bbd3,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000008,10,909.873,18.228,36.456,30.380,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000009,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000009.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082726_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082726_edit.png,file_b83f222024e4dce3,asset_aa6d0cc26c800a10,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000009,12,420.561,131.215,122.243,39.252,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000010,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000010.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082726_original.png,ads2\assets\2_communication\manual_rescue_20260607_082726_original.png,file_1d66d77457cb8524,asset_012e1c6083b7edb3,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000010,13,420.561,131.215,122.243,39.252,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000011,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000011.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082949_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082949_edit.png,file_4302c7d9cabc3a27,asset_42d55640f5e0078b,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000011,15,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000012,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000012.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082949_original.png,ads2\assets\2_communication\manual_rescue_20260607_082949_original.png,file_884882948f49225e,asset_db91c1f09cec9eb8,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000012,16,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000013,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000013.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_084044_edit.png,ads2\assets\2_communication\manual_rescue_20260607_084044_edit.png,file_36e3a5114617b811,asset_9747d2b044514da5,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000013,17,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000014,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000014.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_084044_original.png,ads2\assets\2_communication\manual_rescue_20260607_084044_original.png,file_7e8dc83206c303ea,asset_cdbc112f29c50c6a,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000014,18,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000015,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000015.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085221_edit.png,ads2\assets\2_communication\manual_rescue_20260607_085221_edit.png,file_a3ae38fcad2f22f2,asset_fa172a2f563a6c00,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000015,19,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000016,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000016.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085221_original.png,ads2\assets\2_communication\manual_rescue_20260607_085221_original.png,file_243b7b7509dbd3e4,asset_ae18f7ee593c2fee,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000016,20,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000017,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000017.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085540_edit.png,ads2\assets\2_communication\manual_rescue_20260607_085540_edit.png,file_921bc8370c557d92,asset_952d77d5dade7206,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000017,21,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000018,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000018.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_085540_original.png,ads2\assets\2_communication\manual_rescue_20260607_085540_original.png,file_fdb8b473ec271a1b,asset_105b675b3aaac632,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000018,22,428.141,143.518,97.688,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000019,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000019.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_101333_edit.png,ads2\assets\2_communication\manual_rescue_20260607_101333_edit.png,file_0cc3b419504e6c6d,asset_31248d6ed529be48,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000019,24,900.905,24.121,44.623,24.121,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000020,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000020.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_101333_original.png,ads2\assets\2_communication\manual_rescue_20260607_101333_original.png,file_f006c768e3968916,asset_0bdebd9b5f09c39e,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000020,25,900.905,24.121,44.623,24.121,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000021,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000021.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_144904_edit.png,ads2\assets\2_communication\manual_rescue_20260607_144904_edit.png,file_930ab51f7142d475,asset_278755527ca1a3e5,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000021,27,911.759,21.709,31.357,21.709,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000022,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000022.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_144904_original.png,ads2\assets\2_communication\manual_rescue_20260607_144904_original.png,file_e0303f06c1dea025,asset_517dffb127e8e353,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000022,28,911.759,21.709,31.357,21.709,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000023,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000023.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145346_edit.png,ads2\assets\2_communication\manual_rescue_20260607_145346_edit.png,file_f79203642ccdd8a7,asset_54284dbf33086654,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000023,29,911.759,21.709,31.357,21.709,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000024,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000024.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145346_original.png,ads2\assets\2_communication\manual_rescue_20260607_145346_original.png,file_e277a86da364ce73,asset_7711801e12745d2a,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000024,30,911.759,21.709,31.357,21.709,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000025,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000025.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145608_edit.png,ads2\assets\2_communication\manual_rescue_20260607_145608_edit.png,file_c888bac3e43fdb07,asset_cdf3bcbb678fb092,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000025,33,916.583,24.121,20.261,18.332,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000026,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000026.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_145608_original.png,ads2\assets\2_communication\manual_rescue_20260607_145608_original.png,file_836b44de324f1b1a,asset_88d4e00731bb83a4,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000026,34,916.583,24.121,20.261,18.332,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000027,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000027.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_150413_edit.png,ads2\assets\2_communication\manual_rescue_20260607_150413_edit.png,file_6dac895af9d30ef2,asset_ee7c08a720254382,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000027,35,916.583,24.121,20.261,18.332,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000028,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000028.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_150413_original.png,ads2\assets\2_communication\manual_rescue_20260607_150413_original.png,file_36c42bd7e00afcdc,asset_003a3c06113bbe55,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000028,36,916.583,24.121,20.261,18.332,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000029,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000029.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_150759_edit.png,ads2\assets\2_communication\manual_rescue_20260607_150759_edit.png,file_8a31e0f727b3b9cb,asset_36bc47380f8b1aa2,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000029,37,916.583,24.121,20.261,18.332,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000030,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000030.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_150759_original.png,ads2\assets\2_communication\manual_rescue_20260607_150759_original.png,file_6498acc37b738765,asset_e944939861a0d57c,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000030,38,916.583,24.121,20.261,18.332,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000031,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000031.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_151902_edit.png,ads2\assets\2_communication\manual_rescue_20260607_151902_edit.png,file_1922bb97a02f78e7,asset_0ef85ef6c3008061,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000031,40,908.141,24.121,34.975,20.503,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000032,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000032.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_151902_original.png,ads2\assets\2_communication\manual_rescue_20260607_151902_original.png,file_44d80f437474f51b,asset_84c479c28cc73674,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000032,41,908.141,24.121,34.975,20.503,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000033,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000033.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_153732_edit.png,ads2\assets\2_communication\manual_rescue_20260607_153732_edit.png,file_ec7b16077fbaef43,asset_452c73fab94708e2,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000033,42,908.141,24.121,34.975,20.503,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000034,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000034.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_153732_original.png,ads2\assets\2_communication\manual_rescue_20260607_153732_original.png,file_1f61fa69df283b55,asset_6b5f8cdfb057831b,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000034,43,908.141,24.121,34.975,20.503,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000035,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000035.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_154252_edit.png,ads2\assets\2_communication\manual_rescue_20260607_154252_edit.png,file_596fe48bf09caa19,asset_6cb8dabf6719aa9f,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000035,44,908.141,24.121,34.975,20.503,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000036,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000036.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_154252_original.png,ads2\assets\2_communication\manual_rescue_20260607_154252_original.png,file_7bf7eaa14bb5cddc,asset_979a7f289e8b2244,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000036,45,908.141,24.121,34.975,20.503,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000037,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000037.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_161122_edit.png,ads2\assets\2_communication\manual_rescue_20260607_161122_edit.png,file_e7bee6618f781e5d,asset_db6a9540a21dfe61,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000037,47,300.302,476.382,34.975,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000038,vision_platform\ads\datasets\detector\visual_candidate_v2_20260721_after_click_success_review\images\vis_det_v2_000038.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_161122_original.png,ads2\assets\2_communication\manual_rescue_20260607_161122_original.png,file_70f4558ba79f206e,asset_b26970a43dfdf0e2,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,test,v2_ann_000038,48,300.302,476.382,34.975,31.357,visual_candidate,manual_positive,manual_bbox,action_target,positive
