screen_id,image_path,original_path,relative_path,instance_id,content_id,vision_domain,legacy_screen_state,asset_type,representation,source_root,source_session,width,height,dataset_role,annotation_completeness,proposal_source,template_name,event_json,event_id,timestamp,screen_change_score,positive_bbox_count,split_group,split,annotation_id,bbox_id,bbox_x,bbox_y,bbox_w,bbox_h,category,label_kind,label_source,legacy_bbox_class,legacy_bbox_label
vis_det_v2_000001,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000001.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_capture_20260606,train,v2_ann_000001,1,908.755,17.762,36.923,31.385,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000002,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000002.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_225520.png,ads2\assets\2_communication\manual_rescue_20260606_225520.png,file_d5b98b055872b01a,asset_750d55c7609ca258,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000002,4,268.178,338.138,110.121,22.024,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000003,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000003.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000003,5,283.725,340.729,89.393,20.729,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000004,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000004.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000004,6,282.429,338.138,90.688,23.320,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000005,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000005.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,file_b7ee94d02191862f,asset_636cdeb26ca95f12,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000005,7,434.008,145.101,103.644,29.798,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000006,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000006.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_original.png,ads2\assets\2_communication\manual_rescue_20260606_232156_original.png,file_a38025dbb89180ef,asset_18251ebb4fbe0ec2,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260606,train,v2_ann_000006,8,430.121,147.692,99.757,23.320,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000007,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000007.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082421_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082421_edit.png,file_d212015305644917,asset_36d0173a1ee8f012,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,train,v2_ann_000007,9,909.873,18.228,36.456,30.380,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000008,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000008.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082421_original.png,ads2\assets\2_communication\manual_rescue_20260607_082421_original.png,file_dd3404a95461a35b,asset_a8624d3b6b62bbd3,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,train,v2_ann_000008,10,909.873,18.228,36.456,30.380,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000009,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000009.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082726_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082726_edit.png,file_b83f222024e4dce3,asset_aa6d0cc26c800a10,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,train,v2_ann_000009,12,420.561,131.215,122.243,39.252,visual_candidate,manual_positive,manual_bbox,action_target,positive
vis_det_v2_000010,vision_platform\ads\datasets\detector\visual_candidate_v2_20260722_after_click_review\images\vis_det_v2_000010.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082726_original.png,ads2\assets\2_communication\manual_rescue_20260607_082726_original.png,file_1d66d77457cb8524,asset_012e1c6083b7edb3,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,,960,540,manual_positive,partial_annotation,,,,,,,1,creative:ads2\assets\2_communication:ads2/assets/2_communication:manual_rescue_20260607,train,v2_ann_000010,13,420.561,131.215,122.243,39.252,visual_candidate,manual_positive,manual_bbox,action_target,positive
