candidate_id,crop_path,source_screen,source_instance_id,source_content_id,source_session,bbox,bbox_x,bbox_y,bbox_w,bbox_h,proposal_source,proposal_score,initial_label,review_status,max_iou_positive
hn_000001,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000001.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads2\assets\2_communication,"[720, 314, 14, 11]",720,314,14,11,geometry_close_hard_negative,0.9545842445826852,pending_non_action_candidate,pending,0.0000
hn_000008,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000008.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_225520.png,file_d5b98b055872b01a,asset_750d55c7609ca258,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9244731871870149,pending_non_action_candidate,pending,0.0000
hn_000015,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000015.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9244731871870149,pending_non_action_candidate,pending,0.0000
hn_000022,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000022.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,ads2\assets\2_communication,"[317, 223, 11, 14]",317,223,11,14,geometry_close_hard_negative,0.9244731871870149,pending_non_action_candidate,pending,0.0000
hn_000002,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000002.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads2\assets\2_communication,"[297, 0, 11, 14]",297,0,11,14,geometry_close_hard_negative,0.911818663786672,pending_non_action_candidate,pending,0.0000
hn_000029,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000029.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,file_b7ee94d02191862f,asset_636cdeb26ca95f12,ads2\assets\2_communication,"[23, 246, 11, 14]",23,246,11,14,geometry_close_hard_negative,0.9058741537605776,pending_non_action_candidate,pending,0.0000
hn_000003,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000003.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads2\assets\2_communication,"[863, 34, 17, 26]",863,34,17,26,geometry_close_hard_negative,0.8885725009043657,pending_non_action_candidate,pending,0.0000
hn_000004,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000004.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads2\assets\2_communication,"[523, 100, 11, 11]",523,100,11,11,geometry_close_hard_negative,0.8726318682890696,pending_non_action_candidate,pending,0.0000
hn_000030,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000030.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,file_b7ee94d02191862f,asset_636cdeb26ca95f12,ads2\assets\2_communication,"[317, 194, 14, 11]",317,194,14,11,geometry_close_hard_negative,0.8707332214247935,pending_non_action_candidate,pending,0.0000
hn_000009,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000009.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_225520.png,file_d5b98b055872b01a,asset_750d55c7609ca258,ads2\assets\2_communication,"[897, 17, 17, 11]",897,17,17,11,geometry_close_hard_negative,0.8659053648337167,pending_non_action_candidate,pending,0.0000
hn_000016,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000016.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,ads2\assets\2_communication,"[897, 17, 17, 11]",897,17,17,11,geometry_close_hard_negative,0.8659053648337167,pending_non_action_candidate,pending,0.0000
hn_000023,D:\Projects\adb_vl\vision_platform\ads\hard_negative_mining\batch_quick_5\crops\hn_000023.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,ads2\assets\2_communication,"[897, 17, 17, 11]",897,17,17,11,geometry_close_hard_negative,0.8659053648337167,pending_non_action_candidate,pending,0.0000
