source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,asset_0038b293d3fef86c,1,1,close,0.167389,0,0,0,1,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00783_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_back_gp.png,asset_fc192034daaaf1b7,1,1,close,0.999317,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00780_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_momo.png,asset_172ddc86ac086eee,1,1,close,0.981837,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00769_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_valor.png,asset_6802a78b1f5efa66,1,1,close,0.887055,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00768_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_3.png,asset_60d2812156135339,1,1,close,0.767938,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00767_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_7.png,asset_365caeff8fffb5c6,1,1,close,0.970986,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00010_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_1.png,asset_799dbc67f3bfef79,1,1,close,0.978424,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00756_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\備份\free_ad_1.png,asset_48f6dabf3e612bc9,1,1,close,0.990218,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00009_close.png,,
D:\Projects\adb_vl\ads2\assets\1_templates\備份\got1.png,asset_72c839c107ebef49,1,1,close,0.066966,0,0,0,1,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00752_close.png,,
D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260606_232156.png,asset_0f6a8219657a3273,1,1,close,0.948152,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00748_close.png,,
D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_082949.png,asset_0cf037e096857467,1,1,close,0.954438,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00745_close.png,,
D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_154252_0.png,asset_59b134576fd486a2,1,1,close,0.989984,1,1,1,0,0,0,D:\Projects\adb_vl\vision_platform\ads\pilot\action_classifier_dataset\images\ads_action_00006_close.png,,
