group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
asset_0038b293d3fef86c,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_004df9f1a69d9be8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_00f02ef77adb18c4,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_058552ebbb3d5a1b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_058d38681e45d169,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0aa476d5b7120603,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0cf037e096857467,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_0db3aa10d25f2d41,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_0ee9d32784c8bd75,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0f6a8219657a3273,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_1163f5ea95d063a8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1297033b5d371aa8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_13bd7cf2bbf2abdf,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1519803abe129e00,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_172ddc86ac086eee,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_18e8ba0348ebe540,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1ac388c6a4e5dda8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1e6538c5c6f9e8f7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1f22fce00e63a28d,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_2326f561c7868924,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_243cc7545167d4b9,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_26a2dcf7412aebb4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_2c0f1d3486bfd22c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3032498fab095886,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_304c42213805e3ee,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_30af04fbe1f593ca,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_30d04dde11da54fc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_324d64920bce152a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_354ac35fb539e988,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_365caeff8fffb5c6,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_375e7ce207ad622b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_382e2dfa36f0b27f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_386451f3310668d1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3a2cb213268fa6ee,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_3f3c200aac73e244,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_40053312ffb0e735,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_408028055d97ac58,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_42aad7e6f678b513,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_478cdcc8d265c268,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_48f6dabf3e612bc9,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_4cc73248215ffca2,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_4f041e6f80ff25ee,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5185285eadcd18c4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_535fcaf786999ed7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5395ee86bea4f636,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5542cac0894cfc41,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_554fb5bb2bb8c2c7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5559f27f5896de0b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_570f2a62b087fc92,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_59b134576fd486a2,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_5b3fbaac886e6b1c,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_5b8147528e0d6858,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_5c6d076a9a21278e,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_5d31488c0d2f0e01,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_60d2812156135339,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_649eac88c9285fb0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_652b47f8422b502f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_65885cfba98a53c1,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_65b07531441c999d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_66beed10e1cf9992,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_67278f6c90140a17,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_677508292f27ca92,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_67f638e9c40b3b4e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_68017aac18164e18,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6802a78b1f5efa66,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_68ed4ca03da58afd,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6c1c389ccb299d87,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6c6e85a1c2b6af88,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6ccbdd66b93bf61e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6d2d0fc07120b38c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_6fdbe422d2a68d81,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7048eb0232135294,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_72c839c107ebef49,1,1,0,0,0,0,1,0.0,0.0,0.0
asset_732f825176ff671f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_766213a4706f6512,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_781a510f3a857316,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_799dbc67f3bfef79,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_7b53c52848e87479,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7f1142a90bc11b36,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_7fe07f6d486b69ea,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_832711dbd218c139,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_83e8448e165253c5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_84759960ef7863b0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_868795824afcde6f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_87527911cd249275,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8947ecd7070c25e2,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8bd247d663d0b342,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_8fc9feafb2e8fdbd,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_927b02d71a0d5e87,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_934b246a992d2240,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_95226a64515df17e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_961c20766842fdbc,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_979a18de8234a2d4,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_98e1db61d8ee29c9,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_998b73fc2323cc1c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9d8c9e3be696bd74,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9dbff90d19654513,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_9e5678d3de44482f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a1dc42c183e30516,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a2d77598d0693c89,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a30f9cd36342a38c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a36e4db8a2fb189c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a4fe4da33abcc6f0,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a530bc5f48522270,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_a93ae39cee636960,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_aebc821f3ab849ed,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_b1e08b7c14d07245,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_b2c2279a78b7a46c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_b3d2dc810356b37f,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_b99f8cf07f5b1384,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ba122ebcde3b79b0,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_ba2f8f094f7f6a74,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_bafa07a8590b3576,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_bb3d55b08738c82c,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c33adde92825a846,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c38d57a6776bde0b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c41d245fb4c84db3,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c59fb7313437b413,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c6509a75fe6bfda5,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c889af42d3e373fc,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_c92c57313866e757,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c9ae165139bb479e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_c9c80861f0d8d742,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_cada2ef3fd481717,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_cc11bec0d73b7955,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_cc523cdee2bd5e8d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_ccbc4de77f983ef0,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_cf7d7ec3dfa1bc6b,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d0037e3a2d056477,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d152dd6629c1de4d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d1a679a138c080fd,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d20a125da4881367,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d2e791eadb5decbb,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d7325b503fd4b488,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_d80eb857c7f7d6fc,1,0,1,0,0,1,0,0.0,0.0,0.0
