image_path,label,review_status,source_screen,source_session,ad_source,icon_family,reject_type,candidate_score,geometry_score,bbox,split,instance_id,content_id,original_path,relative_path,vision_domain,asset_type,asset_role,representation,sample_role,sub_role
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00001_close_asset_7dbc3094aa7539f0.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_7dbc3094aa7539f0,ads2\assets\1_templates,template,action_target,,,,,file_245ef374f6c4268c,asset_7dbc3094aa7539f0,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00002_close_asset_d94a12829e570c5c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_d94a12829e570c5c,ads2\assets\1_templates,template,action_target,,,,,file_c1b82b89ebab2308,asset_d94a12829e570c5c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00003_close_asset_62c0598db37c8764.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_62c0598db37c8764,ads2\assets\1_templates,template,action_target,,,,,file_0796700f3e89b234,asset_62c0598db37c8764,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00004_close_asset_643bd48faa917df4.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_643bd48faa917df4,ads2\assets\1_templates,template,action_target,,,,,file_ed7ecf2d8c86d633,asset_643bd48faa917df4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00005_close_asset_759712a0fa58d9bb.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_759712a0fa58d9bb,ads2\assets\1_templates,template,action_target,,,,,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00006_close_asset_811965ed2f4bf3fe.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_811965ed2f4bf3fe,ads2\assets\1_templates,template,action_target,,,,,file_ff68673e47bf2194,asset_811965ed2f4bf3fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00007_close_asset_ef19a71539533c38.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_ef19a71539533c38,ads2\assets\1_templates,template,action_target,,,,,file_0c54c714e6e4e54c,asset_ef19a71539533c38,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00008_close_asset_f05a7a52f60d291b.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_f05a7a52f60d291b,ads2\assets\1_templates,template,action_target,,,,,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00009_close_asset_ee02f730b82612e5.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_ee02f730b82612e5,ads2\assets\1_templates,template,action_target,,,,,file_01fce48c5f827243,asset_ee02f730b82612e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00010_close_asset_ca994ca16a3dcd00.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_ca994ca16a3dcd00,ads2\assets\1_templates,template,action_target,,,,,file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads,template,template,raw,action_target,
