times,image_path,label,source_session,source_screen,ad_source,icon_family,reject_type
2,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01126_close_asset_53debd4fe80fc84a.png,close,asset_53debd4fe80fc84a,click_success_20260713_095859_772,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00029_close_asset_927b02d71a0d5e87.png,close,asset_927b02d71a0d5e87,ads2/assets/1_templates/close_icons,ads2\assets\1_templates,template,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00082_close_asset_927b02d71a0d5e87.png,close,asset_927b02d71a0d5e87,ads2/assets/2_communication,ads2\assets\2_communication,review_asset,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00034_close_asset_649d289a08c9fe33.png,close,asset_649d289a08c9fe33,ads2/assets/1_templates/close_icons,ads2\assets\1_templates,template,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00062_close_asset_649d289a08c9fe33.png,close,asset_649d289a08c9fe33,ads2/assets/2_communication,ads2\assets\2_communication,review_asset,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00138_close_asset_30c8ee229aa044f4.png,close,asset_30c8ee229aa044f4,click_success_20260713_081645_261,vision_platform\ads\runtime_collection,runtime_collection,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01047_close_asset_72c839c107ebef49.png,close,asset_72c839c107ebef49,ads2/assets/1_templates/備份,ads2\assets\1_templates,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01089_close_asset_5c41eb2044704344.png,close,asset_5c41eb2044704344,click_success_20260713_085616_610,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01100_close_asset_dea8ae9d91e5e666.png,close,asset_dea8ae9d91e5e666,click_success_20260713_090213_965,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01102_close_asset_3911db3a08d8407c.png,close,asset_3911db3a08d8407c,click_success_20260713_090311_972,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01112_close_asset_5d48d448576b133c.png,close,asset_5d48d448576b133c,click_success_20260713_092651_933,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01159_close_asset_25a22f5df74ffae1.png,close,asset_25a22f5df74ffae1,click_success_20260713_132613_620,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00022_close_asset_b7e64faadd9ca7c4.png,close,asset_b7e64faadd9ca7c4,ads2/assets/1_templates/close_icons,ads2\assets\1_templates,template,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00076_close_asset_b7e64faadd9ca7c4.png,close,asset_b7e64faadd9ca7c4,ads2/assets/2_communication,ads2\assets\2_communication,review_asset,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00105_close_asset_d7e63da6bce07de7.png,close,asset_d7e63da6bce07de7,ads2/assets/review_crops/close_glyph_candidates/sample/x_rule_calibration/samples,ads2\assets\review_crops,candidate_crop,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00171_close_asset_7e28f00f839fce1f.png,close,asset_7e28f00f839fce1f,click_success_20260713_100332_771,vision_platform\ads\runtime_collection,runtime_collection,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01098_close_asset_a91cc48870a330e4.png,close,asset_a91cc48870a330e4,click_success_20260713_085930_193,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01145_close_asset_673e1ce09b1c7183.png,close,asset_673e1ce09b1c7183,click_success_20260713_102831_533,vision_platform\ads\runtime_collection,got,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00107_close_asset_c3fea2567743cc49.png,close,asset_c3fea2567743cc49,close_x_classifier/data/review_batch_001/review/close,close_x_classifier\data\review_batch_001,review_asset,action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00125_close_asset_3de81cdd6f81f932.png,close,asset_3de81cdd6f81f932,close_x_classifier/data/stage0_6_canonical_object_poc/images,close_x_classifier\data\stage0_6_canonical_object_poc,candidate_crop,action_target
