times,image_path,label,source_session,source_screen,ad_source,icon_family,reject_type
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00440_not_close_asset_a8d5814c47c4ff46.png,not_close,asset_a8d5814c47c4ff46,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00658_not_close_asset_46d33340a95faf89.png,not_close,asset_46d33340a95faf89,close_x_classifier/data/review_batch_001/patches,close_x_classifier\data\review_batch_001,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00663_not_close_asset_9181230632ec3bda.png,not_close,asset_9181230632ec3bda,close_x_classifier/data/review_batch_001/patches,close_x_classifier\data\review_batch_001,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00258_not_close_asset_af58ae44a4d53219.png,not_close,asset_af58ae44a4d53219,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00697_not_close_asset_0617e092e34e98e0.png,not_close,asset_0617e092e34e98e0,close_x_classifier/data/review_batch_001/patches,close_x_classifier\data\review_batch_001,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00703_not_close_asset_fb82d16aeb73e169.png,not_close,asset_fb82d16aeb73e169,close_x_classifier/data/review_batch_001/patches,close_x_classifier\data\review_batch_001,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00734_not_close_asset_48a6890751ecb3ae.png,not_close,asset_48a6890751ecb3ae,close_x_classifier/data/review_batch_001/patches,close_x_classifier\data\review_batch_001,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01028_not_close_asset_22fb5506b2ad638a.png,not_close,asset_22fb5506b2ad638a,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01162_not_close_asset_00431f24c5580203.png,not_close,asset_00431f24c5580203,ads2/assets/1_templates/scene_anchors,ads2\assets\1_templates,王國金庫,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00181_not_close_asset_b621d5687082a345.png,not_close,asset_b621d5687082a345,ads2/assets/2_communication,ads2\assets\2_communication,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00234_not_close_asset_ef6037b5d7996500.png,not_close,asset_ef6037b5d7996500,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00236_not_close_asset_dc60821c5f660327.png,not_close,asset_dc60821c5f660327,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00336_not_close_asset_218aa9a66d40a7b2.png,not_close,asset_218aa9a66d40a7b2,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00502_not_close_asset_f1ce4131498eb1af.png,not_close,asset_f1ce4131498eb1af,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00529_not_close_asset_81d3441074ec44cd.png,not_close,asset_81d3441074ec44cd,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00530_not_close_asset_7c5f17a308aa411d.png,not_close,asset_7c5f17a308aa411d,ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,ads2\assets\review_crops,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00759_not_close_asset_3a2cb213268fa6ee.png,not_close,asset_3a2cb213268fa6ee,close_x_classifier/data/review_batch_001/patches,close_x_classifier\data\review_batch_001,review_asset,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00852_not_close_asset_44352ab29c2d05f4.png,not_close,asset_44352ab29c2d05f4,close_x_classifier/runtime_collection_dryrun/runtime_20260711_233828_059/candidates,close_x_classifier\runtime_collection_dryrun,runtime_collection,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00855_not_close_asset_f703784b8bad0962.png,not_close,asset_f703784b8bad0962,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00856_not_close_asset_c4b1d06f64941bee.png,not_close,asset_c4b1d06f64941bee,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00894_not_close_asset_c4b1d06f64941bee.png,not_close,asset_c4b1d06f64941bee,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00902_not_close_asset_c4b1d06f64941bee.png,not_close,asset_c4b1d06f64941bee,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00981_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00985_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00989_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00993_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00997_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01001_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01031_not_close_asset_d30b5d3b349008b2.png,not_close,asset_d30b5d3b349008b2,batch_full_40,vision_platform\ads\hard_negative_mining,candidate_crop,non_action_target
1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01032_not_close_asset_13fae01f38c68d9b.png,not_close,asset_13fae01f38c68d9b,click_success_20260713_102840_468,vision_platform\ads\runtime_collection,runtime_collection,non_action_target
