source_screen,source_session,candidate_count,has_close,top1_true_label,top1_p_close,top1_predicted_close,would_click,top1_correct_for_positive_screen,positive_screen_miss_or_abstain,correct_abstain_on_negative_screen,false_click_on_negative_screen,top1_image_path,top1_bbox,top1_geometry_score
ads2/assets/1_templates/close_icons,asset_7dbc3094aa7539f0,9,1,close,0.997843,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00001_close_asset_7dbc3094aa7539f0.png,,
ads2/assets/1_templates/got_icons,asset_0cf037e096857467,1,1,close,0.993997,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01041_close_asset_0cf037e096857467.png,,
ads2/assets/1_templates/scene_anchors,asset_00431f24c5580203,1,0,not_close,0.859944,1,1,0,0,0,1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01162_not_close_asset_00431f24c5580203.png,,
ads2/assets/1_templates/備份,asset_4fbcd7df4f1e9032,2,1,close,0.995368,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00058_close_asset_4fbcd7df4f1e9032.png,,
ads2/assets/2_communication,asset_565f2f8c61c441ed,9,1,close,0.997482,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00061_close_asset_565f2f8c61c441ed.png,,
ads2/assets/review_crops,asset_9bd83ce1a9915ca0,5,1,close,0.998670,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00095_close_asset_9bd83ce1a9915ca0.png,,
ads2/assets/review_crops/close_glyph_candidates/sample/candidate_crops,asset_af58ae44a4d53219,99,0,not_close,0.721570,1,1,0,0,0,1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00258_not_close_asset_af58ae44a4d53219.png,,
ads2/assets/review_crops/close_glyph_candidates/sample/reject_candidates,asset_67f638e9c40b3b4e,3,0,not_close,0.033707,0,0,0,0,1,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00646_not_close_asset_67f638e9c40b3b4e.png,,
ads2/assets/review_crops/close_glyph_candidates/sample/x_rule_calibration/samples,asset_d7e63da6bce07de7,1,1,close,0.154621,0,0,0,1,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00105_close_asset_d7e63da6bce07de7.png,,
batch_full_40,asset_22fb5506b2ad638a,18,0,not_close,0.871449,1,1,0,0,0,1,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01028_not_close_asset_22fb5506b2ad638a.png,,
click_success_20260713_080135_133,asset_8246d10f6c6dfb69,1,1,close,0.661588,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00127_close_asset_8246d10f6c6dfb69.png,,
click_success_20260713_080316_811,asset_1681b89025c9902b,1,1,close,0.998878,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01064_close_asset_1681b89025c9902b.png,,
click_success_20260713_080500_682,asset_28434918920405bd,1,1,close,0.966437,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01068_close_asset_28434918920405bd.png,,
click_success_20260713_081038_362,asset_d0c43c6062f54e39,1,1,close,0.999555,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01074_close_asset_d0c43c6062f54e39.png,,
click_success_20260713_081616_570,asset_497df773d3786fa2,1,1,close,0.659579,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00137_close_asset_497df773d3786fa2.png,,
click_success_20260713_081934_414,asset_3f76ae4068c4ab21,1,1,close,0.968679,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01083_close_asset_3f76ae4068c4ab21.png,,
click_success_20260713_082031_822,asset_649ddbb0bb1f8942,1,1,close,0.983499,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01085_close_asset_649ddbb0bb1f8942.png,,
click_success_20260713_082124_182,asset_ea6642c3c3ac92c6,1,1,close,0.971726,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00143_close_asset_ea6642c3c3ac92c6.png,,
click_success_20260713_085553_483,asset_83b91869426baa8c,1,1,close,0.860651,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01088_close_asset_83b91869426baa8c.png,,
click_success_20260713_085715_383,asset_5e68128f2f5b8dab,1,1,close,0.886202,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01092_close_asset_5e68128f2f5b8dab.png,,
click_success_20260713_085745_144,asset_7ea505252b3da083,1,1,close,0.977181,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01094_close_asset_7ea505252b3da083.png,,
click_success_20260713_085930_193,asset_a91cc48870a330e4,1,1,close,0.342496,0,0,0,1,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01098_close_asset_a91cc48870a330e4.png,,
click_success_20260713_085957_142,asset_de7b8c7922f1f900,1,1,close,0.994961,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00149_close_asset_de7b8c7922f1f900.png,,
click_success_20260713_090237_721,asset_6245704c040830e6,1,1,close,0.999992,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00151_close_asset_6245704c040830e6.png,,
click_success_20260713_090311_972,asset_3911db3a08d8407c,1,1,close,0.792480,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01102_close_asset_3911db3a08d8407c.png,,
click_success_20260713_092259_291,asset_eaa49f6694344ff9,1,1,close,0.999634,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00153_close_asset_eaa49f6694344ff9.png,,
click_success_20260713_092939_863,asset_fe628b894f9e9d17,1,1,close,0.849820,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01115_close_asset_fe628b894f9e9d17.png,,
click_success_20260713_093004_075,asset_7a4697aa90795534,1,1,close,0.905377,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00160_close_asset_7a4697aa90795534.png,,
click_success_20260713_093009_136,asset_9e94bd7f0e647f3d,1,1,close,0.835100,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01116_close_asset_9e94bd7f0e647f3d.png,,
click_success_20260713_094928_844,asset_97db52526fea1d31,1,1,close,0.910954,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01118_close_asset_97db52526fea1d31.png,,
click_success_20260713_095340_430,asset_3d50df392fb8fb02,1,1,close,0.969459,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01121_close_asset_3d50df392fb8fb02.png,,
click_success_20260713_095349_700,asset_2055f74f2afad9a7,1,1,close,0.955947,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01122_close_asset_2055f74f2afad9a7.png,,
click_success_20260713_095453_234,asset_a267329783339e3b,1,1,close,0.997084,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00165_close_asset_a267329783339e3b.png,,
click_success_20260713_095859_772,asset_53debd4fe80fc84a,1,1,close,0.179773,0,0,0,1,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01126_close_asset_53debd4fe80fc84a.png,,
click_success_20260713_100253_288,asset_93e8a1c52eeed49d,1,1,close,0.849838,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01131_close_asset_93e8a1c52eeed49d.png,,
click_success_20260713_100332_771,asset_7e28f00f839fce1f,1,1,close,0.020858,0,0,0,1,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00171_close_asset_7e28f00f839fce1f.png,,
click_success_20260713_102601_006,asset_7acc39b655a0bda9,1,1,close,0.936530,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00174_close_asset_7acc39b655a0bda9.png,,
click_success_20260713_102831_533,asset_673e1ce09b1c7183,1,1,close,0.338561,0,0,0,1,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01145_close_asset_673e1ce09b1c7183.png,,
click_success_20260713_103240_006,asset_56d393572f6f818f,1,1,close,0.754114,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01149_close_asset_56d393572f6f818f.png,,
click_success_20260713_103528_711,asset_ebdc895ca71436f4,1,1,close,0.999821,1,1,1,0,0,0,vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_01154_close_asset_ebdc895ca71436f4.png,,
