group,count,positives,negatives,tp,fp,tn,fn,precision,recall,fpr
asset_052743a3536937ab,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_059b491769442cf4,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_080503e7153c2869,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_095072812183003a,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0a381f93df500f62,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_0adb2ecfead6543b,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_0cf037e096857467,2,2,0,2,0,0,0,1.0,1.0,0.0
asset_0f06be2ad91bd4c7,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_0f62c98e529b3d06,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_0f6a8219657a3273,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_1163f5ea95d063a8,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1355d96717c8cd0d,2,0,2,0,0,2,0,0.0,0.0,0.0
asset_13fae01f38c68d9b,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_15b474fcc3c97377,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_172ddc86ac086eee,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_1801f34c576c4047,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_18309716c7540c82,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_186ef5c07473c5f7,1,1,0,1,0,0,0,1.0,1.0,0.0
asset_19dde564f88b8a06,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_1a994fa8378a22c0,3,0,3,0,0,3,0,0.0,0.0,0.0
asset_2067661ee76c8684,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_218aa9a66d40a7b2,1,0,1,0,1,0,0,0.0,0.0,1.0
asset_22afaace13752f1d,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_246757dff465857e,1,0,1,0,0,1,0,0.0,0.0,0.0
asset_24ab4b16dea41a95,1,0,1,0,0,1,0,0.0,0.0,0.0
