instance_id,content_id,current_families,review_reason,relative_path,original_path,filename,source_root,vision_domain,representation
file_e98356e6d5b0d025,asset_759712a0fa58d9bb,arrow,current_arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates,ads,raw
file_38f39cb8171bbccd,asset_f05a7a52f60d291b,arrow,current_arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates,ads,raw
file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_1.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,close_1.png,ads2\assets\1_templates,ads,raw
file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_10.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,close_10.png,ads2\assets\1_templates,ads,raw
file_910f6d13ad48178b,asset_814457f65714bfe8,arrow,current_arrow|known_double_chevron_template,ads2\assets\1_templates\close_icons\close_11.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,close_11.png,ads2\assets\1_templates,ads,raw
file_a5a5bd5ba2f1d724,asset_781a510f3a857316,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_13.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,close_13.png,ads2\assets\1_templates,ads,raw
file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,arrow,current_arrow|known_double_chevron_template,ads2\assets\1_templates\close_icons\close_15.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,close_15.png,ads2\assets\1_templates,ads,raw
file_f1c7f92038128586,asset_5d7e57a62103e2c1,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_16.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,close_16.png,ads2\assets\1_templates,ads,raw
file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_18.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,close_18.png,ads2\assets\1_templates,ads,raw
file_a195dd7ba6135547,asset_e3aa0c73c537c671,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_19.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,close_19.png,ads2\assets\1_templates,ads,raw
file_2200224e47c6acf2,asset_fe436527d7d5643c,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_20.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,close_20.png,ads2\assets\1_templates,ads,raw
file_857e5225a2b06af8,asset_927b02d71a0d5e87,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_21.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_21.png,close_21.png,ads2\assets\1_templates,ads,raw
file_d109bb027585db3a,asset_384d89598f4f57fc,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_22.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_22.png,close_22.png,ads2\assets\1_templates,ads,raw
file_abf6a9593a794d4f,asset_0f7f87e6da29ae62,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_23.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_23.png,close_23.png,ads2\assets\1_templates,ads,raw
file_2aafaa2342e7ff6d,asset_649d289a08c9fe33,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_3.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_3.png,close_3.png,ads2\assets\1_templates,ads,raw
file_d4c87444e5015593,asset_00f02ef77adb18c4,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_4.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_4.png,close_4.png,ads2\assets\1_templates,ads,raw
file_cd80a32dc3ce69d3,asset_59b134576fd486a2,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_5.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_5.png,close_5.png,ads2\assets\1_templates,ads,raw
file_af0af020e1d87e2e,asset_071ca7bff74e053c,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_8.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_8.png,close_8.png,ads2\assets\1_templates,ads,raw
file_55b41688a921e7a4,asset_f54277695108c8b6,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_9.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_9.png,close_9.png,ads2\assets\1_templates,ads,raw
file_c88fffda1bde6376,asset_fc192034daaaf1b7,arrow,current_arrow,ads2\assets\1_templates\close_icons\close_back_gp.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_back_gp.png,close_back_gp.png,ads2\assets\1_templates,ads,raw
file_ecb42889e244410f,asset_600c1aa4b826d2ff,arrow,current_arrow,ads2\assets\1_templates\備份\close_4.png,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_4.png,close_4.png,ads2\assets\1_templates,ads,raw
file_8943774ddc0fdaec,asset_fe12f6f9b1e68fd6,arrow,current_arrow,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_001_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_001_bbox.png,cxp_s0002_001_bbox.png,vision_platform\ads\collections,ads,unknown
file_e484ee9628c7d107,asset_da8523fd5577d624,arrow,current_arrow,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_001_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_001_bbox.png,cxp_s0003_001_bbox.png,vision_platform\ads\collections,ads,unknown
file_69a519b9d04c71da,asset_d78a7856152ad697,arrow,current_arrow,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0025_001_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0025_001_bbox.png,cxp_s0025_001_bbox.png,vision_platform\ads\collections,ads,unknown
file_5cb4b7066873df3f,asset_7dd2912db6461d61,arrow,current_arrow,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_001_bbox.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0026_001_bbox.png,cxp_s0026_001_bbox.png,vision_platform\ads\collections,ads,unknown
