screen_id,image_path,original_path,relative_path,instance_id,content_id,vision_domain,screen_state,asset_type,representation,source_root,width,height,positive_bbox_count,split_group,split
ads_det_000001,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000001.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_capture_20260606_203317.png,ads2\assets\2_communication\manual_capture_20260606_203317.png,file_cb92658830fac8b5,asset_1cbbbee4c4d36bef,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_1cbbbee4c4d36bef,train
ads_det_000003,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000003.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_225520.png,ads2\assets\2_communication\manual_rescue_20260606_225520.png,file_d5b98b055872b01a,asset_750d55c7609ca258,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_750d55c7609ca258,train
ads_det_000004,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000004.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,ads2\assets\2_communication\manual_rescue_20260606_231704_edit.png,file_1dc86af4d362d037,asset_ab05d9f4b4d29489,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_ab05d9f4b4d29489,test
ads_det_000005,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000005.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,ads2\assets\2_communication\manual_rescue_20260606_231704_original.png,file_e86ea26f36534291,asset_b867455dd1ee49b4,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_b867455dd1ee49b4,train
ads_det_000006,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000006.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,ads2\assets\2_communication\manual_rescue_20260606_232156_edit.png,file_b7ee94d02191862f,asset_636cdeb26ca95f12,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_636cdeb26ca95f12,train
ads_det_000007,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000007.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260606_232156_original.png,ads2\assets\2_communication\manual_rescue_20260606_232156_original.png,file_a38025dbb89180ef,asset_18251ebb4fbe0ec2,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_18251ebb4fbe0ec2,train
ads_det_000008,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000008.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082421_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082421_edit.png,file_d212015305644917,asset_36d0173a1ee8f012,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_36d0173a1ee8f012,train
ads_det_000009,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000009.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082421_original.png,ads2\assets\2_communication\manual_rescue_20260607_082421_original.png,file_dd3404a95461a35b,asset_a8624d3b6b62bbd3,ads,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_a8624d3b6b62bbd3,train
ads_det_000010,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000010.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082726_edit.png,ads2\assets\2_communication\manual_rescue_20260607_082726_edit.png,file_b83f222024e4dce3,asset_aa6d0cc26c800a10,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_aa6d0cc26c800a10,test
ads_det_000011,vision_platform\ads\datasets\detector\action_candidate_20260719\images\ads_det_000011.png,D:\Projects\adb_vl\ads2\assets\2_communication\manual_rescue_20260607_082726_original.png,ads2\assets\2_communication\manual_rescue_20260607_082726_original.png,file_1d66d77457cb8524,asset_012e1c6083b7edb3,shared,actionable,clean_fullscreen,raw,ads2\assets\2_communication,960,540,1,content:asset_012e1c6083b7edb3,train
