reason,instance_id,content_id,relative_path,original_path,model_suggestion,human_families,top_family,top_prob,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow,review_status,note
no_overlap,file_b28b9ec89b84ce89,asset_226c1d36e84e0a83,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000093.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000093.png,x_mark,arrow,x_mark,0.81615,0.81615,0.17363,0.27883,0.30637,0.50582,0.37160,0.34968,reviewed,
no_overlap,file_09262bd1f2321a7b,asset_b2038ae70ba4928b,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000138.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000138.png,x_mark,arrow,x_mark,0.76069,0.76069,0.14313,0.15510,0.40614,0.60301,0.49981,0.69114,reviewed,
no_overlap,file_70eab4aa71566fed,asset_3ddc68d29fa37c7a,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000177.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000177.png,x_mark,arrow,x_mark,0.71396,0.71396,0.14172,0.23275,0.32915,0.47028,0.39987,0.66156,reviewed,
no_overlap,file_b5862f5eee2bd34d,asset_258dc7524dde6bfe,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000183.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000183.png,x_mark,arrow,x_mark,0.71027,0.71027,0.13522,0.22708,0.32400,0.45736,0.39506,0.66205,reviewed,
no_overlap,file_c001ecd3dd8e6f5a,asset_23e27746bf9acb75,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000074.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000074.png,x_mark,,x_mark,0.70728,0.70728,0.13095,0.22141,0.31424,0.43306,0.36692,0.65121,pending,
no_overlap,file_583d3e5f16175353,asset_ba06f6fe6e90bf35,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000189.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000189.png,x_mark,arrow,x_mark,0.70623,0.70623,0.12941,0.22199,0.31907,0.43912,0.39113,0.66335,reviewed,
no_overlap,file_8f81870f1b024972,asset_83b54a80ca6e589f,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000150.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000150.png,x_mark,arrow,x_mark,0.69506,0.69506,0.12627,0.22576,0.30917,0.43927,0.38386,0.63636,reviewed,
no_overlap,file_d434d859462d0aee,asset_9374af084265b151,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000139.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000139.png,x_mark,arrow,x_mark,0.69037,0.69037,0.12397,0.22642,0.30726,0.41773,0.36678,0.62335,reviewed,
no_overlap,file_92bf9affe27f402d,asset_0ef553bd6095965f,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000149.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000149.png,x_mark,arrow,x_mark,0.67498,0.67498,0.09578,0.12840,0.35501,0.30689,0.56387,0.49822,reviewed,
no_overlap,file_61a3dc2e4a8cfa70,asset_6788df1119bb2c5c,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000198.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000198.png,arrow,x_mark,arrow,0.66898,0.58044,0.39988,0.38864,0.57759,0.33284,0.33225,0.66898,reviewed,
