seed,instance_id,content_id,relative_path,dataset_image_path,families,current_db_families,top_family,top_score,triggered_families,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
seed42,file_1b66dc3515ba6eee,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000030.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00105_negative_asset_1355d96717c8cd0d.png,negative,negative,google_play,0.53219,google_play:0.53219,0.13077,0.05948,0.53219,0.21727,0.11319,0.10994,0.17666
seed42,file_5990fed2f5a1fb53,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000035.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00110_negative_asset_1355d96717c8cd0d.png,negative,negative,google_play,0.53219,google_play:0.53219,0.13077,0.05948,0.53219,0.21727,0.11319,0.10994,0.17666
seed42,file_f9deab7f8c73ec70,asset_174aee514009a28f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000083.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00158_negative_asset_174aee514009a28f.png,negative,negative,google_play,0.50893,google_play:0.50893,0.12267,0.07950,0.50893,0.20624,0.08705,0.11984,0.22378
seed42,file_c3463cd8ae7c660d,asset_174aee514009a28f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000089.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00164_negative_asset_174aee514009a28f.png,negative,negative,google_play,0.50893,google_play:0.50893,0.12267,0.07950,0.50893,0.20624,0.08705,0.11984,0.22378
seed42,file_a8aaffec5ace5590,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000137.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00212_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_67e22b67ffdb6d58,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000141.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00216_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_2c0d23f19bece0c6,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000145.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00220_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_3486060ad0e8ad4f,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000149.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00224_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_d6b89e850c393744,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000153.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00228_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_d24f52806af63653,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000157.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00232_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
