instance_id,content_id,relative_path,before_families,after_families,changed,added_families,removed_families,mismatch_count,fixed_against_prediction_count,still_mismatch_against_prediction_count,mismatches,fixed_against_prediction,still_mismatch_against_prediction
file_0d067cdbf10452a5,asset_dea8ae9d91e5e666,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090213_965\crops\bbox.png,got,got,0,,,2,0,2,seed43:false_negative:got:p=0.42851 | seed44:false_negative:got:p=0.31036,,seed43:got | seed44:got
file_0e55e2d594079fed,asset_56d393572f6f818f,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103240_006\crops\bbox.png,got,got,0,,,2,0,2,seed43:false_negative:got:p=0.42610 | seed44:false_negative:got:p=0.32219,,seed43:got | seed44:got
file_14b3e6c5478f7cc7,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000147.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_169eb54afbb52619,asset_91f479ecaa1bfa86,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135813_823\crops\bbox.png,got,got,0,,,5,0,5,seed42:false_negative:got:p=0.31696 | seed43:false_negative:got:p=0.33886 | seed43:false_positive:negative:p=0.65566 | seed44:false_negative:got:p=0.22656 | seed44:false_positive:negative:p=0.58375,,seed42:got | seed43:got | seed43:negative | seed44:got | seed44:negative
file_1835d59ff2e3d0a0,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000341.png,negative,negative,0,,,2,0,2,seed44:false_positive:x_mark:p=0.55513 | seed44:false_positive:arrow:p=0.50290,,seed44:x_mark | seed44:arrow
file_1b66dc3515ba6eee,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000030.png,negative,negative,0,,,1,0,1,seed42:false_positive:google_play:p=0.57450,,seed42:google_play
file_1ba705845f2fc9e2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000186.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_1bc799289cb34fdb,asset_5c6d076a9a21278e,ads2\assets\1_templates\free_ad_icons\free_ad_9.png,play_triangle,play_triangle,0,,,6,0,6,seed42:false_negative:play_triangle:p=0.40002 | seed42:false_positive:negative:p=0.76968 | seed43:false_negative:play_triangle:p=0.49295 | seed43:false_positive:negative:p=0.82948 | seed44:false_negative:play_triangle:p=0.26492 | seed44:false_positive:negative:p=0.88603,,seed42:play_triangle | seed42:negative | seed43:play_triangle | seed43:negative | seed44:play_triangle | seed44:negative
file_2200224e47c6acf2,asset_fe436527d7d5643c,ads2\assets\1_templates\close_icons\close_20.png,arrow,arrow,0,,,2,0,2,seed42:false_positive:next:p=0.50176 | seed44:false_negative:arrow:p=0.41401,,seed42:next | seed44:arrow
file_22c6d5ea5f4ac98b,asset_13567d4eacd981a8,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085925_098\crops\bbox.png,x_mark,x_mark,0,,,5,0,5,seed42:false_negative:x_mark:p=0.31420 | seed42:false_positive:negative:p=0.51619 | seed43:false_negative:x_mark:p=0.26752 | seed44:false_negative:x_mark:p=0.49406 | seed44:false_positive:negative:p=0.70519,,seed42:x_mark | seed42:negative | seed43:x_mark | seed44:x_mark | seed44:negative
file_245ef374f6c4268c,asset_7dbc3094aa7539f0,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,google_play,google_play,0,,,5,0,5,seed42:false_negative:google_play:p=0.37494 | seed43:false_negative:google_play:p=0.45604 | seed43:false_positive:arrow:p=0.57303 | seed44:false_negative:google_play:p=0.43221 | seed44:false_positive:negative:p=0.52619,,seed42:google_play | seed43:google_play | seed43:arrow | seed44:google_play | seed44:negative
file_255e40d648488c61,asset_8263ab7cd58c1c1f,vision_platform\ads\runtime_collection\click_success\click_success_20260713_132603_698\crops\bbox.png,arrow,arrow,0,,,5,0,5,seed42:false_positive:next:p=0.70251 | seed43:false_positive:x_mark:p=0.54676 | seed43:false_positive:next:p=0.60830 | seed44:false_positive:x_mark:p=0.65786 | seed44:false_positive:next:p=0.59354,,seed42:next | seed43:x_mark | seed43:next | seed44:x_mark | seed44:next
file_290380b8dd3659ab,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000312.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_2c0d23f19bece0c6,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000145.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_30b93db89322c3ed,asset_339992e49e34ab57,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081518_911\crops\bbox.png,x_mark,x_mark,0,,,3,0,3,seed42:false_negative:x_mark:p=0.43628 | seed44:false_negative:x_mark:p=0.45279 | seed44:false_positive:negative:p=0.51778,,seed42:x_mark | seed44:x_mark | seed44:negative
file_3486060ad0e8ad4f,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000149.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_359073feb3e998cb,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000362.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_369d1f8224cacbef,asset_cf42023e5725393c,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000534.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.59440,,seed44:x_mark
