weight,seed,family,none_support,false_activation_count,false_activation_rate,mean_prob_on_none,max_prob_on_none
1.0,42,x_mark,88,2,0.0227,0.20298,0.65539
1.0,42,play_triangle,88,0,0.0,0.10716,0.32215
1.0,42,google_play,88,4,0.0455,0.14459,0.53219
1.0,42,next,88,0,0.0,0.13198,0.32573
1.0,42,free,88,9,0.1023,0.22038,0.53297
1.0,42,got,88,0,0.0,0.11862,0.45814
1.0,42,arrow,88,9,0.1023,0.16138,0.62517
1.0,43,x_mark,88,4,0.0455,0.3005,0.59189
1.0,43,play_triangle,88,0,0.0,0.17753,0.40208
1.0,43,google_play,88,0,0.0,0.16848,0.33364
1.0,43,next,88,0,0.0,0.20894,0.46259
1.0,43,free,88,9,0.1023,0.23754,0.51013
1.0,43,got,88,0,0.0,0.14914,0.43485
1.0,43,arrow,88,0,0.0,0.18975,0.498
1.0,44,x_mark,88,36,0.4091,0.46512,0.62711
1.0,44,play_triangle,88,0,0.0,0.32438,0.45808
1.0,44,google_play,88,0,0.0,0.28624,0.4713
1.0,44,next,88,0,0.0,0.27385,0.42231
1.0,44,free,88,1,0.0114,0.37048,0.54887
1.0,44,got,88,0,0.0,0.25743,0.41722
1.0,44,arrow,88,0,0.0,0.31989,0.45297
2.0,42,x_mark,88,2,0.0227,0.20298,0.65539
2.0,42,play_triangle,88,0,0.0,0.10716,0.32215
2.0,42,google_play,88,4,0.0455,0.14459,0.53219
2.0,42,next,88,0,0.0,0.13198,0.32573
2.0,42,free,88,9,0.1023,0.22038,0.53297
2.0,42,got,88,0,0.0,0.11862,0.45814
2.0,42,arrow,88,9,0.1023,0.16138,0.62517
2.0,43,x_mark,88,4,0.0455,0.3005,0.59189
2.0,43,play_triangle,88,0,0.0,0.17753,0.40208
2.0,43,google_play,88,0,0.0,0.16848,0.33364
2.0,43,next,88,0,0.0,0.20894,0.46259
2.0,43,free,88,9,0.1023,0.23754,0.51013
2.0,43,got,88,0,0.0,0.14914,0.43485
2.0,43,arrow,88,0,0.0,0.18975,0.498
2.0,44,x_mark,88,36,0.4091,0.46512,0.62711
2.0,44,play_triangle,88,0,0.0,0.32438,0.45808
2.0,44,google_play,88,0,0.0,0.28624,0.4713
2.0,44,next,88,0,0.0,0.27385,0.42231
2.0,44,free,88,1,0.0114,0.37048,0.54887
2.0,44,got,88,0,0.0,0.25743,0.41722
2.0,44,arrow,88,0,0.0,0.31989,0.45297
3.0,42,x_mark,88,2,0.0227,0.20298,0.65539
3.0,42,play_triangle,88,0,0.0,0.10716,0.32215
3.0,42,google_play,88,4,0.0455,0.14459,0.53219
3.0,42,next,88,0,0.0,0.13198,0.32573
3.0,42,free,88,9,0.1023,0.22038,0.53297
3.0,42,got,88,0,0.0,0.11862,0.45814
3.0,42,arrow,88,9,0.1023,0.16138,0.62517
3.0,43,x_mark,88,4,0.0455,0.3005,0.59189
3.0,43,play_triangle,88,0,0.0,0.17753,0.40208
3.0,43,google_play,88,0,0.0,0.16848,0.33364
3.0,43,next,88,0,0.0,0.20894,0.46259
3.0,43,free,88,9,0.1023,0.23754,0.51013
3.0,43,got,88,0,0.0,0.14914,0.43485
3.0,43,arrow,88,0,0.0,0.18975,0.498
3.0,44,x_mark,88,36,0.4091,0.46512,0.62711
3.0,44,play_triangle,88,0,0.0,0.32438,0.45808
3.0,44,google_play,88,0,0.0,0.28624,0.4713
3.0,44,next,88,0,0.0,0.27385,0.42231
3.0,44,free,88,1,0.0114,0.37048,0.54887
3.0,44,got,88,0,0.0,0.25743,0.41722
3.0,44,arrow,88,0,0.0,0.31989,0.45297
