family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,11.0,11.0,118.0,8.0,0.0,0.0857,1.0,0.1579,88.0,80.3333,0.9129
x_mark,0.1,11.0,11.0,108.3333,17.6667,0.0,0.0945,1.0,0.1723,88.0,74.3333,0.8447
x_mark,0.15,11.0,11.0,95.0,31.0,0.0,0.1099,1.0,0.1971,88.0,67.3333,0.7652
x_mark,0.2,11.0,11.0,86.6667,39.3333,0.0,0.1239,1.0,0.2185,88.0,63.0,0.7159
x_mark,0.25,11.0,11.0,73.6667,52.3333,0.0,0.1566,1.0,0.2655,88.0,52.0,0.5909
x_mark,0.3,11.0,10.0,70.0,56.0,1.0,0.1496,0.9091,0.2504,88.0,49.3333,0.5606
x_mark,0.35,11.0,9.6667,62.6667,63.3333,1.3333,0.1713,0.8788,0.2733,88.0,44.3333,0.5038
x_mark,0.4,11.0,9.3333,51.6667,74.3333,1.6667,0.1935,0.8485,0.302,88.0,36.0,0.4091
x_mark,0.45,11.0,8.6667,41.3333,84.6667,2.3333,0.2058,0.7879,0.3091,88.0,30.6667,0.3485
x_mark,0.5,11.0,8.0,22.0,104.0,3.0,0.4137,0.7273,0.4698,88.0,14.0,0.1591
x_mark,0.55,11.0,5.0,15.0,111.0,6.0,0.3179,0.4545,0.3379,88.0,8.0,0.0909
x_mark,0.6,11.0,3.0,7.0,119.0,8.0,0.283,0.2727,0.2534,88.0,1.3333,0.0152
x_mark,0.65,11.0,1.0,4.3333,121.6667,10.0,0.2167,0.0909,0.1278,88.0,0.6667,0.0076
x_mark,0.7,11.0,0.0,0.6667,125.3333,11.0,0.0,0.0,0.0,88.0,0.0,0.0
x_mark,0.75,11.0,0.0,0.0,126.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0
x_mark,0.8,11.0,0.0,0.0,126.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0
x_mark,0.85,11.0,0.0,0.0,126.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0
x_mark,0.9,11.0,0.0,0.0,126.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0
x_mark,0.95,11.0,0.0,0.0,126.0,11.0,0.0,0.0,0.0,88.0,0.0,0.0
play_triangle,0.05,1.0,1.0,101.0,35.0,0.0,0.0111,1.0,0.0219,88.0,70.0,0.7955
