instance_id,content_id,relative_path,image_path,families,source_screen,group_key
file_1b66dc3515ba6eee,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000030.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00105_negative_asset_1355d96717c8cd0d.png,negative,,content:asset_1355d96717c8cd0d
file_5990fed2f5a1fb53,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000035.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00110_negative_asset_1355d96717c8cd0d.png,negative,,content:asset_1355d96717c8cd0d
file_f9deab7f8c73ec70,asset_174aee514009a28f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000083.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00158_negative_asset_174aee514009a28f.png,negative,,content:asset_174aee514009a28f
file_c3463cd8ae7c660d,asset_174aee514009a28f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000089.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00164_negative_asset_174aee514009a28f.png,negative,,content:asset_174aee514009a28f
file_ce83c86447928e4c,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000135.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00210_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_a8aaffec5ace5590,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000137.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00212_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_ec421cc01b4c1cd0,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000139.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00214_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_67e22b67ffdb6d58,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000141.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00216_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_f593997f7321a3d6,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000143.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00218_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_2c0d23f19bece0c6,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000145.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00220_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
