event_id,review_reasons,proposal_source,template_name,expected_family,expected_p,top_family,top_p,p_x_mark,p_arrow,p_free,p_got,bbox,click_xy,pre_click,bbox_crop,bbox_context_crop,event_dir
20260719_094610_216,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.38438238700230914,arrow,0.9693610469500223,0.38438238700230914,0.9693610469500223,0.06307938260336717,0.006051500405495365,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094610_216\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094610_216\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094610_216\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094610_216
20260719_094627_345,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.38974548876285553,arrow,0.9301269054412842,0.38974548876285553,0.9301269054412842,0.04127219893659154,0.006581629005571206,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094627_345\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094627_345\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094627_345\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094627_345
20260719_094440_190,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.39806806047757465,arrow,0.9691246151924133,0.39806806047757465,0.9691246151924133,0.06729438730205099,0.00712741461272041,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094440_190\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094440_190\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094440_190\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094440_190
20260719_094457_076,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.39922502636909485,arrow,0.9300256371498108,0.39922502636909485,0.9300256371498108,0.03931561065837741,0.006397249409928918,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094457_076\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094457_076\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094457_076\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094457_076
20260719_093942_272,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4018828868865967,arrow,0.9396879076957703,0.4018828868865967,0.9396879076957703,0.04593495807300011,0.007192025659605861,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093942_272\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093942_272\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093942_272\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093942_272
20260719_094146_147,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4127838710943858,arrow,0.9676102002461752,0.4127838710943858,0.9676102002461752,0.07600293029099703,0.009288816169525186,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094146_147\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094146_147\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094146_147\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094146_147
20260719_093925_477,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4154805640379588,arrow,0.967121422290802,0.4154805640379588,0.967121422290802,0.07220593684663375,0.008741309478258094,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093925_477\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093925_477\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_093925_477\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_093925_477
20260719_094116_897,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4170621931552887,arrow,0.9423244396845499,0.4170621931552887,0.9423244396845499,0.039336698440214,0.006753564191361268,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094116_897\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094116_897\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094116_897\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094116_897
20260719_094202_771,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4258756637573242,arrow,0.9419731895128886,0.4258756637573242,0.9419731895128886,0.04423395792643229,0.006947220225508015,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094202_771\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094202_771\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094202_771\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094202_771
20260719_094100_229,expected_low_confidence|expected_top_disagreement,close_template,close_11.png,x_mark,0.4341355462869008,arrow,0.966679314772288,0.4341355462869008,0.966679314772288,0.08069472558175524,0.010695501696318388,"[30, 29, 74, 23]","[67, 40]",D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094100_229\pre_click.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094100_229\crops\bbox.png,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260719_094100_229\crops\bbox_context_1_5x.png,vision_platform\ads\runtime_collection\click_success\click_success_20260719_094100_229
