instance_id,content_id,before,after,relative_path
file_80933b388bcd6724,asset_52eb220e60027c56,arrow|next,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080814_562\crops\bbox.png
file_12942deaafab87b9,asset_52eb220e60027c56,arrow|next,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_132413_787\crops\bbox.png
file_bf5064b3c751fece,asset_57057a2072ac0aa9,arrow|next,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095331_314\crops\bbox.png
file_3dc0d458cc883ee3,asset_57057a2072ac0aa9,arrow|next,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100447_093\crops\bbox.png
file_54dcfd8a6e1ab7bd,asset_57057a2072ac0aa9,arrow|next,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103511_714\crops\bbox.png
file_bacdf7e09c08d915,asset_57057a2072ac0aa9,arrow|next,arrow,vision_platform\ads\runtime_collection\click_success\click_success_20260713_162912_856\crops\bbox.png
file_7c9178e33b3fff2a,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000001.png
file_0c0ae5517d44b864,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000013.png
file_0805ab85dda0d03a,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000028.png
file_9a3b3a5c024c5b69,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000034.png
file_dc5f74071ab40cd7,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000070.png
file_3a54261dbff44822,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000077.png
file_d15aeb5661f9fca0,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000117.png
file_cab91239fa448f26,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000123.png
file_54f162f1f1ac5a0d,asset_05e39c545c2d589c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000128.png
file_00db74143475636c,asset_085f1c813551e8c9,free|play_triangle,play_triangle,ads2\assets\1_templates\備份\btn_free_ad.png
file_a8bd722b52284058,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000003.png
file_7760835d528ca64b,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000009.png
file_d1695a739292094f,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000015.png
file_1ff07c3709bb8d99,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000030.png
file_d52cb9703e9f29ff,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000036.png
file_450326474eb92b1d,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000072.png
file_6812c204f492edfa,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000079.png
file_d14a07d46d0279bc,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000119.png
file_8972b60b689b7080,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000125.png
