distance,content_id_a,families_a,path_a,image_a,content_id_b,families_b,path_b,image_b
0,asset_f05a7a52f60d291b,arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,asset_52eb220e60027c56,arrow|next,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080814_562\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00866_arrow_next_asset_52eb220e60027c56.png
0,asset_f05a7a52f60d291b,arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,asset_57057a2072ac0aa9,arrow|next,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095331_314\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00995_arrow_next_asset_57057a2072ac0aa9.png
0,asset_f05a7a52f60d291b,arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,asset_57057a2072ac0aa9,arrow|next,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100447_093\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_01019_arrow_next_asset_57057a2072ac0aa9.png
0,asset_f05a7a52f60d291b,arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,asset_57057a2072ac0aa9,arrow|next,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103511_714\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_01051_arrow_next_asset_57057a2072ac0aa9.png
0,asset_f05a7a52f60d291b,arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,asset_52eb220e60027c56,arrow|next,vision_platform\ads\runtime_collection\click_success\click_success_20260713_132413_787\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_01057_arrow_next_asset_52eb220e60027c56.png
0,asset_f05a7a52f60d291b,arrow,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,asset_57057a2072ac0aa9,arrow|next,vision_platform\ads\runtime_collection\click_success\click_success_20260713_162912_856\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_01085_arrow_next_asset_57057a2072ac0aa9.png
0,asset_085f1c813551e8c9,free|play_triangle,ads2\assets\1_templates\備份\btn_free_ad.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00067_free_play_triangle_asset_085f1c813551e8c9.png,asset_b9f13ebbb5033ec5,free,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000004.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00079_free_asset_b9f13ebbb5033ec5.png
0,asset_085f1c813551e8c9,free|play_triangle,ads2\assets\1_templates\備份\btn_free_ad.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00067_free_play_triangle_asset_085f1c813551e8c9.png,asset_dbb710b56346500c,free,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000007.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00082_free_asset_dbb710b56346500c.png
0,asset_085f1c813551e8c9,free|play_triangle,ads2\assets\1_templates\備份\btn_free_ad.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00067_free_play_triangle_asset_085f1c813551e8c9.png,asset_b9f13ebbb5033ec5,free,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000010.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00085_free_asset_b9f13ebbb5033ec5.png
0,asset_085f1c813551e8c9,free|play_triangle,ads2\assets\1_templates\備份\btn_free_ad.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00067_free_play_triangle_asset_085f1c813551e8c9.png,asset_b9f13ebbb5033ec5,free,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000080.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00155_free_asset_b9f13ebbb5033ec5.png
