run,instance_id,content_id,image_path,relative_path,top_family,top_probability,active_families,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
run_seed42_cuda,file_2fc3a9ed2d1cc0ce,asset_9ef01bef87a3d333,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00298_negative_asset_9ef01bef87a3d333.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000001.png,x_mark,0.734910,x_mark,0.734910,0.356770,0.163290,0.261030,0.235800,0.161250,0.231600
run_seed42_cuda,file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00605_negative_asset_cc04ebf72c4073f4.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,x_mark,0.602930,x_mark,0.602930,0.245780,0.124680,0.194100,0.155450,0.096260,0.160140
run_seed42_cuda,file_72f9e642b73ff79f,asset_30eada6e537ba869,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00805_negative_asset_30eada6e537ba869.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000513.png,free,0.546180,free,0.287280,0.293030,0.193130,0.209540,0.546180,0.161860,0.157970
run_seed42_cuda,file_f47a194a48eb303f,asset_b8e24783cba5f65a,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00828_negative_asset_b8e24783cba5f65a.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000536.png,x_mark,0.532430,x_mark,0.532430,0.164140,0.100290,0.149540,0.135220,0.112800,0.164910
run_seed43_cuda,file_a8aaffec5ace5590,asset_d30b5d3b349008b2,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00434_negative_asset_d30b5d3b349008b2.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000137.png,arrow,0.568620,x_mark|arrow,0.536300,0.297640,0.136890,0.413090,0.251960,0.332620,0.568620
run_seed43_cuda,file_8c4907b15f97a471,asset_fbcc564523d58e3a,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00531_negative_asset_fbcc564523d58e3a.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000234.png,free,0.513490,free,0.054960,0.105940,0.113020,0.203630,0.513490,0.036130,0.045860
run_seed43_cuda,file_a57c45f4c381c6f3,asset_8226bffb9ee871c5,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00814_negative_asset_8226bffb9ee871c5.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000522.png,x_mark,0.554070,x_mark,0.554070,0.071730,0.142720,0.244960,0.069750,0.171780,0.302780
run_seed44_cuda,file_1b66dc3515ba6eee,asset_1355d96717c8cd0d,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00327_negative_asset_1355d96717c8cd0d.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000030.png,google_play,0.508300,google_play,0.045990,0.029330,0.508300,0.174090,0.112220,0.061960,0.203830
run_seed44_cuda,file_15cb9fd3b7b16124,asset_35ac884fc325961e,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00521_negative_asset_35ac884fc325961e.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000224.png,free,0.568300,free,0.295950,0.385940,0.496190,0.360840,0.568300,0.175860,0.191860
run_seed44_cuda,file_9571d299368d849d,asset_f41984001785bb2e,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00532_negative_asset_f41984001785bb2e.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000235.png,google_play,0.547030,google_play|arrow,0.290060,0.050970,0.547030,0.298230,0.146880,0.142200,0.534650
run_seed44_cuda,file_3fb23508805b4005,asset_0b590b370863f8c6,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00764_negative_asset_0b590b370863f8c6.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000472.png,arrow,0.582810,google_play|arrow,0.277200,0.233930,0.556340,0.452270,0.444990,0.107930,0.582810
run_seed44_cuda,file_7dcfcd1d8a9ce3aa,asset_aaa0d5a713804a65,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00830_negative_asset_aaa0d5a713804a65.png,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000538.png,arrow,0.685750,next|arrow,0.477570,0.134730,0.347440,0.592210,0.214730,0.037200,0.685750
