seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,10,8,14,132,2,0.3636,0.8,0.5
42,play_triangle,16,16,2,138,0,0.8889,1.0,0.9412
42,google_play,3,1,3,150,2,0.25,0.3333,0.2857
42,next,5,3,3,148,2,0.5,0.6,0.5455
42,free,17,17,20,119,0,0.4595,1.0,0.6296
42,got,23,15,2,131,8,0.8824,0.6522,0.75
42,arrow,14,14,6,136,0,0.7,1.0,0.8235
43,x_mark,14,10,6,135,4,0.625,0.7143,0.6667
43,play_triangle,18,17,13,124,1,0.5667,0.9444,0.7083
43,google_play,4,2,2,149,2,0.5,0.5,0.5
43,next,1,0,15,139,1,0.0,0.0,0.0
43,free,14,13,16,125,1,0.4483,0.9286,0.6047
43,got,26,13,1,128,13,0.9286,0.5,0.65
43,arrow,6,5,19,130,1,0.2083,0.8333,0.3333
44,x_mark,19,15,8,96,4,0.6522,0.7895,0.7143
44,play_triangle,2,0,0,121,2,0.0,0.0,0.0
44,google_play,2,1,0,121,1,1.0,0.5,0.6667
44,next,3,3,8,112,0,0.2727,1.0,0.4286
44,free,4,4,7,112,0,0.3636,1.0,0.5333
44,got,28,8,0,95,20,1.0,0.2857,0.4444
44,arrow,11,11,21,91,0,0.3438,1.0,0.5116
