seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.6,10,8,5,141,2,0.6154,0.8,0.6957,73,0,0.0
seed42,play_triangle,0.45,16,16,2,138,0,0.8889,1.0,0.9412,73,2,0.0274
seed42,google_play,0.45,3,2,3,150,1,0.4,0.6667,0.5,73,2,0.0274
seed42,next,0.5,5,3,3,148,2,0.5,0.6,0.5455,73,0,0.0
seed42,free,0.75,17,16,0,139,1,1.0,0.9412,0.9697,73,0,0.0
seed42,got,0.3,23,20,10,123,3,0.6667,0.8696,0.7547,73,6,0.0822
seed42,arrow,0.65,14,13,2,140,1,0.8667,0.9286,0.8966,73,0,0.0
seed43,x_mark,0.6,14,9,2,139,5,0.8182,0.6429,0.72,73,0,0.0
seed43,play_triangle,0.75,18,17,0,137,1,1.0,0.9444,0.9714,73,0,0.0
seed43,google_play,0.55,4,2,1,150,2,0.6667,0.5,0.5714,73,0,0.0
seed43,next,0.25,1,1,52,102,0,0.0189,1.0,0.037,73,21,0.2877
seed43,free,0.7,14,13,0,141,1,1.0,0.9286,0.963,73,0,0.0
seed43,got,0.3,26,18,3,126,8,0.8571,0.6923,0.766,73,0,0.0
seed43,arrow,0.6,6,4,1,148,2,0.8,0.6667,0.7273,73,0,0.0
seed44,x_mark,0.55,19,15,6,98,4,0.7143,0.7895,0.75,60,1,0.0167
seed44,play_triangle,0.1,2,0,13,108,2,0.0,0.0,0.0,60,7,0.1167
seed44,google_play,0.45,2,2,0,121,0,1.0,1.0,1.0,60,0,0.0
seed44,next,0.65,3,3,0,120,0,1.0,1.0,1.0,60,0,0.0
seed44,free,0.6,4,4,0,119,0,1.0,1.0,1.0,60,0,0.0
seed44,got,0.15,28,28,5,90,0,0.8485,1.0,0.918,60,2,0.0333
seed44,arrow,0.8,11,7,1,111,4,0.875,0.6364,0.7368,60,0,0.0
