seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.1,10,10,119,27,0,0.0775,1.0,0.1439,73,71,0.9726
seed42,x_mark,0.15,10,10,115,31,0,0.08,1.0,0.1481,73,71,0.9726
seed42,x_mark,0.2,10,10,101,45,0,0.0901,1.0,0.1653,73,71,0.9726
seed42,x_mark,0.25,10,10,87,59,0,0.1031,1.0,0.1869,73,63,0.863
seed42,x_mark,0.3,10,9,70,76,1,0.1139,0.9,0.2022,73,47,0.6438
seed42,x_mark,0.35,10,9,48,98,1,0.1579,0.9,0.2687,73,28,0.3836
seed42,x_mark,0.4,10,8,31,115,2,0.2051,0.8,0.3265,73,14,0.1918
seed42,x_mark,0.45,10,8,21,125,2,0.2759,0.8,0.4103,73,8,0.1096
seed42,x_mark,0.5,10,8,14,132,2,0.3636,0.8,0.5,73,4,0.0548
seed42,x_mark,0.55,10,8,9,137,2,0.4706,0.8,0.5926,73,2,0.0274
seed42,x_mark,0.6,10,8,5,141,2,0.6154,0.8,0.6957,73,0,0.0
seed42,x_mark,0.65,10,7,5,141,3,0.5833,0.7,0.6364,73,0,0.0
seed42,x_mark,0.7,10,6,4,142,4,0.6,0.6,0.6,73,0,0.0
seed42,x_mark,0.75,10,4,4,142,6,0.5,0.4,0.4444,73,0,0.0
seed42,x_mark,0.8,10,3,3,143,7,0.5,0.3,0.375,73,0,0.0
seed42,x_mark,0.85,10,1,0,146,9,1.0,0.1,0.1818,73,0,0.0
seed42,x_mark,0.9,10,0,0,146,10,0.0,0.0,0.0,73,0,0.0
seed42,play_triangle,0.1,16,16,82,58,0,0.1633,1.0,0.2807,73,44,0.6027
seed42,play_triangle,0.15,16,16,65,75,0,0.1975,1.0,0.3299,73,35,0.4795
seed42,play_triangle,0.2,16,16,48,92,0,0.25,1.0,0.4,73,29,0.3973
seed42,play_triangle,0.25,16,16,41,99,0,0.2807,1.0,0.4384,73,25,0.3425
seed42,play_triangle,0.3,16,16,22,118,0,0.4211,1.0,0.5926,73,7,0.0959
seed42,play_triangle,0.35,16,16,21,119,0,0.4324,1.0,0.6038,73,7,0.0959
seed42,play_triangle,0.4,16,16,8,132,0,0.6667,1.0,0.8,73,5,0.0685
seed42,play_triangle,0.45,16,16,2,138,0,0.8889,1.0,0.9412,73,2,0.0274
seed42,play_triangle,0.5,16,16,2,138,0,0.8889,1.0,0.9412,73,2,0.0274
seed42,play_triangle,0.55,16,16,2,138,0,0.8889,1.0,0.9412,73,2,0.0274
seed42,play_triangle,0.6,16,3,2,138,13,0.6,0.1875,0.2857,73,2,0.0274
seed42,play_triangle,0.65,16,3,2,138,13,0.6,0.1875,0.2857,73,2,0.0274
seed42,play_triangle,0.7,16,1,0,140,15,1.0,0.0625,0.1176,73,0,0.0
seed42,play_triangle,0.75,16,0,0,140,16,0.0,0.0,0.0,73,0,0.0
seed42,play_triangle,0.8,16,0,0,140,16,0.0,0.0,0.0,73,0,0.0
seed42,play_triangle,0.85,16,0,0,140,16,0.0,0.0,0.0,73,0,0.0
seed42,play_triangle,0.9,16,0,0,140,16,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.1,3,2,85,68,1,0.023,0.6667,0.0444,73,43,0.589
seed42,google_play,0.15,3,2,49,104,1,0.0392,0.6667,0.0741,73,24,0.3288
seed42,google_play,0.2,3,2,24,129,1,0.0769,0.6667,0.1379,73,12,0.1644
seed42,google_play,0.25,3,2,13,140,1,0.1333,0.6667,0.2222,73,6,0.0822
