family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.1,14.3333,13.6667,93.6667,36.6667,0.6667,0.133,0.9524,0.2302,68.6667,54.0,0.7852
x_mark,0.15,14.3333,13.3333,81.6667,48.6667,1.0,0.1528,0.9348,0.2569,68.6667,45.3333,0.6507
x_mark,0.2,14.3333,13.3333,63.3333,67.0,1.0,0.1964,0.9348,0.3156,68.6667,37.3333,0.5332
x_mark,0.25,14.3333,13.3333,48.6667,81.6667,1.0,0.2598,0.9348,0.39,68.6667,26.3333,0.3716
x_mark,0.3,14.3333,13.0,41.6667,88.6667,1.3333,0.2746,0.9015,0.4066,68.6667,20.0,0.2829
x_mark,0.35,14.3333,12.6667,33.0,97.3333,1.6667,0.2922,0.8777,0.4281,68.6667,13.6667,0.1961
x_mark,0.4,14.3333,12.3333,23.3333,107.0,2.0,0.3611,0.8444,0.4945,68.6667,7.3333,0.1084
x_mark,0.45,14.3333,11.6667,15.6667,114.6667,2.6667,0.4418,0.8093,0.5602,68.6667,4.6667,0.0699
x_mark,0.5,14.3333,11.0,9.3333,121.0,3.3333,0.5469,0.7679,0.627,68.6667,1.6667,0.0238
x_mark,0.55,14.3333,11.0,6.3333,124.0,3.3333,0.6331,0.7679,0.6856,68.6667,1.0,0.0147
x_mark,0.6,14.3333,10.0,3.6667,126.6667,4.3333,0.7328,0.709,0.7126,68.6667,0.0,0.0
x_mark,0.65,14.3333,9.0,3.0,127.3333,5.3333,0.7574,0.6343,0.6793,68.6667,0.0,0.0
x_mark,0.7,14.3333,8.0,2.6667,127.6667,6.3333,0.7536,0.5596,0.6343,68.6667,0.0,0.0
x_mark,0.75,14.3333,6.3333,2.6667,127.6667,8.0,0.7024,0.4341,0.5322,68.6667,0.0,0.0
x_mark,0.8,14.3333,2.3333,2.0,128.3333,12.0,0.5278,0.189,0.2664,68.6667,0.0,0.0
x_mark,0.85,14.3333,1.6667,0.3333,130.0,12.6667,0.9167,0.1223,0.2051,68.6667,0.0,0.0
x_mark,0.9,14.3333,0.6667,0.0,130.3333,13.6667,0.3333,0.0476,0.0833,68.6667,0.0,0.0
play_triangle,0.1,12.0,11.3333,63.0,69.6667,0.6667,0.108,0.6667,0.1859,68.6667,31.6667,0.4407
play_triangle,0.15,12.0,11.3333,47.6667,85.0,0.6667,0.1311,0.6667,0.2191,68.6667,25.3333,0.35
play_triangle,0.2,12.0,11.3333,36.6667,96.0,0.6667,0.1583,0.6667,0.2558,68.6667,20.3333,0.2785
play_triangle,0.25,12.0,11.3333,28.6667,104.0,0.6667,0.1888,0.6667,0.2943,68.6667,18.0,0.2466
play_triangle,0.3,12.0,11.3333,16.6667,116.0,0.6667,0.2708,0.6667,0.385,68.6667,7.0,0.0959
play_triangle,0.35,12.0,11.3333,14.0,118.6667,0.6667,0.298,0.6667,0.4118,68.6667,5.0,0.0685
play_triangle,0.4,12.0,11.3333,8.0,124.6667,0.6667,0.3987,0.6667,0.4974,68.6667,3.3333,0.0457
play_triangle,0.45,12.0,11.0,5.6667,127.0,1.0,0.4734,0.6481,0.5404,68.6667,2.0,0.0274
play_triangle,0.5,12.0,11.0,5.0,127.6667,1.0,0.4852,0.6481,0.5498,68.6667,1.3333,0.0183
play_triangle,0.55,12.0,11.0,4.6667,128.0,1.0,0.4917,0.6481,0.5549,68.6667,1.3333,0.0183
play_triangle,0.6,12.0,6.6667,1.3333,131.3333,5.3333,0.4982,0.3773,0.4015,68.6667,1.3333,0.0183
play_triangle,0.65,12.0,6.6667,1.3333,131.3333,5.3333,0.4982,0.3773,0.4015,68.6667,1.3333,0.0183
play_triangle,0.7,12.0,6.0,0.6667,132.0,6.0,0.6316,0.3356,0.3455,68.6667,0.6667,0.0091
play_triangle,0.75,12.0,5.6667,0.0,132.6667,6.3333,0.3333,0.3148,0.3238,68.6667,0.0,0.0
play_triangle,0.8,12.0,5.6667,0.0,132.6667,6.3333,0.3333,0.3148,0.3238,68.6667,0.0,0.0
play_triangle,0.85,12.0,5.6667,0.0,132.6667,6.3333,0.3333,0.3148,0.3238,68.6667,0.0,0.0
play_triangle,0.9,12.0,0.0,0.0,132.6667,12.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.1,3.0,2.6667,74.6667,67.0,0.3333,0.0345,0.8889,0.0664,68.6667,36.0,0.5159
google_play,0.15,3.0,2.6667,51.0,90.6667,0.3333,0.0496,0.8889,0.094,68.6667,25.0,0.3583
google_play,0.2,3.0,2.6667,30.6667,111.0,0.3333,0.0865,0.8889,0.1571,68.6667,14.0,0.2007
google_play,0.25,3.0,2.6667,18.3333,123.3333,0.3333,0.1313,0.8889,0.2276,68.6667,8.6667,0.1256
google_play,0.3,3.0,2.6667,9.0,132.6667,0.3333,0.2266,0.8889,0.3593,68.6667,3.6667,0.0552
google_play,0.35,3.0,2.6667,5.6667,136.0,0.3333,0.3157,0.8889,0.4593,68.6667,3.3333,0.0496
google_play,0.4,3.0,2.6667,4.3333,137.3333,0.3333,0.3778,0.8889,0.5291,68.6667,2.6667,0.0385
google_play,0.45,3.0,2.0,3.0,138.6667,1.0,0.55,0.7222,0.6111,68.6667,2.0,0.0274
google_play,0.5,3.0,1.3333,1.6667,140.0,1.6667,0.5833,0.4444,0.4841,68.6667,0.6667,0.0091
google_play,0.55,3.0,1.0,0.3333,141.3333,2.0,0.5556,0.3333,0.4127,68.6667,0.0,0.0
google_play,0.6,3.0,0.3333,0.3333,141.3333,2.6667,0.1667,0.0833,0.1111,68.6667,0.0,0.0
google_play,0.65,3.0,0.0,0.3333,141.3333,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.7,3.0,0.0,0.3333,141.3333,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.75,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.8,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.85,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
google_play,0.9,3.0,0.0,0.0,141.6667,3.0,0.0,0.0,0.0,68.6667,0.0,0.0
next,0.1,3.0,3.0,102.6667,39.0,0.0,0.0271,1.0,0.0525,68.6667,41.0,0.5943
next,0.15,3.0,3.0,83.0,58.6667,0.0,0.0349,1.0,0.067,68.6667,35.0,0.5012
next,0.2,3.0,3.0,57.6667,84.0,0.0,0.0514,1.0,0.0967,68.6667,22.3333,0.3158
next,0.25,3.0,2.6667,41.3333,100.3333,0.3333,0.0668,0.9333,0.1223,68.6667,17.6667,0.2479
next,0.3,3.0,2.3333,28.0,113.6667,0.6667,0.0786,0.6,0.1389,68.6667,12.0,0.1683
next,0.35,3.0,2.3333,23.0,118.6667,0.6667,0.0944,0.6,0.1631,68.6667,9.6667,0.1364
next,0.4,3.0,2.3333,16.3333,125.3333,0.6667,0.1246,0.6,0.2063,68.6667,7.3333,0.1034
next,0.45,3.0,2.3333,12.6667,129.0,0.6667,0.1667,0.6,0.258,68.6667,5.3333,0.076
next,0.5,3.0,2.0,8.6667,133.0,1.0,0.2576,0.5333,0.3247,68.6667,3.6667,0.0522
next,0.55,3.0,1.0,4.3333,137.3333,2.0,0.1111,0.3333,0.1667,68.6667,0.6667,0.0111
next,0.6,3.0,1.0,3.0,138.6667,2.0,0.1429,0.3333,0.2,68.6667,0.6667,0.0111
