instance_id,content_id,relative_path,image_path,families,seed42_active,seed42_top_family,seed42_top_prob,seed43_active,seed43_top_family,seed43_top_prob,seed44_active,seed44_top_family,seed44_top_prob,seed42_p_x_mark,seed42_p_play_triangle,seed42_p_google_play,seed42_p_next,seed42_p_free,seed42_p_got,seed42_p_arrow,seed43_p_x_mark,seed43_p_play_triangle,seed43_p_google_play,seed43_p_next,seed43_p_free,seed43_p_got,seed43_p_arrow,seed44_p_x_mark,seed44_p_play_triangle,seed44_p_google_play,seed44_p_next,seed44_p_free,seed44_p_got,seed44_p_arrow
file_2fc3a9ed2d1cc0ce,asset_9ef01bef87a3d333,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000001.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00298_negative_asset_9ef01bef87a3d333.png,negative,x_mark,x_mark,0.6888,x_mark|play_triangle,x_mark,0.6671,x_mark,x_mark,0.5497,0.6888,0.4435,0.2247,0.3419,0.3188,0.1545,0.2762,0.6671,0.5085,0.3119,0.2988,0.2497,0.1811,0.2781,0.5497,0.2815,0.4400,0.3083,0.2315,0.0834,0.4605
file_1b66dc3515ba6eee,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000030.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00327_negative_asset_1355d96717c8cd0d.png,negative,google_play,google_play,0.5708,,google_play,0.2621,,google_play,0.4630,0.1944,0.1014,0.5708,0.2598,0.2484,0.0769,0.2932,0.1299,0.0952,0.2621,0.0702,0.0942,0.0395,0.1995,0.0730,0.0200,0.4630,0.2111,0.1380,0.0811,0.2523
file_5990fed2f5a1fb53,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000035.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00332_negative_asset_1355d96717c8cd0d.png,negative,google_play,google_play,0.5708,,google_play,0.2621,,google_play,0.4630,0.1944,0.1014,0.5708,0.2598,0.2484,0.0769,0.2932,0.1299,0.0952,0.2621,0.0702,0.0942,0.0395,0.1995,0.0730,0.0200,0.4630,0.2111,0.1380,0.0811,0.2523
file_a8aaffec5ace5590,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000137.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00434_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_67e22b67ffdb6d58,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000141.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00438_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_2c0d23f19bece0c6,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000145.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00442_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_3486060ad0e8ad4f,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000149.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00446_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_d6b89e850c393744,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000153.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00450_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_d24f52806af63653,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000157.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00454_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_ef847d000f83a44b,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000188.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00485_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_57eb253678d502b3,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000191.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00488_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
file_aa3578c23f6f013e,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000195.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00492_negative_asset_d30b5d3b349008b2.png,negative,x_mark|arrow,arrow,0.6413,x_mark,x_mark,0.6046,,x_mark,0.4561,0.6117,0.2349,0.2387,0.2859,0.3094,0.3195,0.6413,0.6046,0.3393,0.1470,0.4377,0.2601,0.3213,0.4751,0.4561,0.1320,0.0869,0.3461,0.0828,0.2295,0.4436
