seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,19,19,62,65,0,0.2346,1.0,0.38,67,19,0.2836
seed42,x_mark,0.1,19,19,54,73,0,0.2603,1.0,0.413,67,12,0.1791
seed42,x_mark,0.15,19,19,33,94,0,0.3654,1.0,0.5352,67,5,0.0746
seed42,x_mark,0.2,19,18,27,100,1,0.4,0.9474,0.5625,67,3,0.0448
seed42,x_mark,0.25,19,17,25,102,2,0.4048,0.8947,0.5574,67,3,0.0448
seed42,x_mark,0.3,19,17,23,104,2,0.425,0.8947,0.5763,67,3,0.0448
seed42,x_mark,0.35,19,17,23,104,2,0.425,0.8947,0.5763,67,3,0.0448
seed42,x_mark,0.4,19,17,20,107,2,0.4595,0.8947,0.6071,67,3,0.0448
seed42,x_mark,0.45,19,17,19,108,2,0.4722,0.8947,0.6182,67,3,0.0448
seed42,x_mark,0.5,19,17,19,108,2,0.4722,0.8947,0.6182,67,3,0.0448
seed42,x_mark,0.55,19,17,17,110,2,0.5,0.8947,0.6415,67,3,0.0448
seed42,x_mark,0.6,19,17,13,114,2,0.5667,0.8947,0.6939,67,3,0.0448
seed42,x_mark,0.65,19,17,13,114,2,0.5667,0.8947,0.6939,67,3,0.0448
seed42,x_mark,0.7,19,17,13,114,2,0.5667,0.8947,0.6939,67,3,0.0448
seed42,x_mark,0.75,19,16,7,120,3,0.6957,0.8421,0.7619,67,3,0.0448
seed42,x_mark,0.8,19,15,6,121,4,0.7143,0.7895,0.75,67,3,0.0448
seed42,x_mark,0.85,19,13,6,121,6,0.6842,0.6842,0.6842,67,3,0.0448
seed42,x_mark,0.9,19,11,3,124,8,0.7857,0.5789,0.6667,67,0,0.0
seed42,x_mark,0.95,19,9,0,127,10,1.0,0.4737,0.6429,67,0,0.0
seed42,play_triangle,0.05,11,10,25,110,1,0.2857,0.9091,0.4348,67,3,0.0448
seed42,play_triangle,0.1,11,10,10,125,1,0.5,0.9091,0.6452,67,0,0.0
seed42,play_triangle,0.15,11,10,4,131,1,0.7143,0.9091,0.8,67,0,0.0
seed42,play_triangle,0.2,11,10,3,132,1,0.7692,0.9091,0.8333,67,0,0.0
seed42,play_triangle,0.25,11,10,3,132,1,0.7692,0.9091,0.8333,67,0,0.0
seed42,play_triangle,0.3,11,10,2,133,1,0.8333,0.9091,0.8696,67,0,0.0
seed42,play_triangle,0.35,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.4,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.45,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.5,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.55,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.6,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.65,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.7,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.75,11,8,1,134,3,0.8889,0.7273,0.8,67,0,0.0
seed42,play_triangle,0.8,11,7,0,135,4,1.0,0.6364,0.7778,67,0,0.0
seed42,play_triangle,0.85,11,7,0,135,4,1.0,0.6364,0.7778,67,0,0.0
seed42,play_triangle,0.9,11,7,0,135,4,1.0,0.6364,0.7778,67,0,0.0
seed42,play_triangle,0.95,11,7,0,135,4,1.0,0.6364,0.7778,67,0,0.0
seed42,google_play,0.05,2,2,32,112,0,0.0588,1.0,0.1111,67,2,0.0299
seed42,google_play,0.1,2,2,16,128,0,0.1111,1.0,0.2,67,2,0.0299
seed42,google_play,0.15,2,2,7,137,0,0.2222,1.0,0.3636,67,0,0.0
seed42,google_play,0.2,2,2,6,138,0,0.25,1.0,0.4,67,0,0.0
seed42,google_play,0.25,2,2,5,139,0,0.2857,1.0,0.4444,67,0,0.0
seed42,google_play,0.3,2,2,5,139,0,0.2857,1.0,0.4444,67,0,0.0
seed42,google_play,0.35,2,1,5,139,1,0.1667,0.5,0.25,67,0,0.0
seed42,google_play,0.4,2,1,5,139,1,0.1667,0.5,0.25,67,0,0.0
seed42,google_play,0.45,2,1,5,139,1,0.1667,0.5,0.25,67,0,0.0
seed42,google_play,0.5,2,1,5,139,1,0.1667,0.5,0.25,67,0,0.0
seed42,google_play,0.55,2,1,2,142,1,0.3333,0.5,0.4,67,0,0.0
seed42,google_play,0.6,2,1,2,142,1,0.3333,0.5,0.4,67,0,0.0
seed42,google_play,0.65,2,1,2,142,1,0.3333,0.5,0.4,67,0,0.0
seed42,google_play,0.7,2,1,2,142,1,0.3333,0.5,0.4,67,0,0.0
seed42,google_play,0.75,2,1,1,143,1,0.5,0.5,0.5,67,0,0.0
seed42,google_play,0.8,2,1,0,144,1,1.0,0.5,0.6667,67,0,0.0
seed42,google_play,0.85,2,1,0,144,1,1.0,0.5,0.6667,67,0,0.0
seed42,google_play,0.9,2,0,0,144,2,0.0,0.0,0.0,67,0,0.0
seed42,google_play,0.95,2,0,0,144,2,0.0,0.0,0.0,67,0,0.0
seed42,next,0.05,1,1,50,95,0,0.0196,1.0,0.0385,67,16,0.2388
seed42,next,0.1,1,1,32,113,0,0.0303,1.0,0.0588,67,6,0.0896
seed42,next,0.15,1,1,28,117,0,0.0345,1.0,0.0667,67,2,0.0299
seed42,next,0.2,1,0,26,119,1,0.0,0.0,0.0,67,2,0.0299
seed42,next,0.25,1,0,18,127,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.3,1,0,16,129,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.35,1,0,16,129,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.4,1,0,13,132,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.45,1,0,10,135,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.5,1,0,7,138,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.55,1,0,5,140,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.6,1,0,2,143,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.65,1,0,1,144,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.7,1,0,1,144,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.75,1,0,1,144,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.8,1,0,1,144,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.85,1,0,0,145,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.9,1,0,0,145,1,0.0,0.0,0.0,67,0,0.0
seed42,next,0.95,1,0,0,145,1,0.0,0.0,0.0,67,0,0.0
seed42,free,0.05,3,3,40,103,0,0.0698,1.0,0.1304,67,5,0.0746
seed42,free,0.1,3,3,25,118,0,0.1071,1.0,0.1935,67,4,0.0597
seed42,free,0.15,3,3,14,129,0,0.1765,1.0,0.3,67,0,0.0
seed42,free,0.2,3,2,9,134,1,0.1818,0.6667,0.2857,67,0,0.0
seed42,free,0.25,3,2,7,136,1,0.2222,0.6667,0.3333,67,0,0.0
seed42,free,0.3,3,2,5,138,1,0.2857,0.6667,0.4,67,0,0.0
seed42,free,0.35,3,2,5,138,1,0.2857,0.6667,0.4,67,0,0.0
seed42,free,0.4,3,2,5,138,1,0.2857,0.6667,0.4,67,0,0.0
seed42,free,0.45,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.5,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.55,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.6,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.65,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.7,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.75,3,2,2,141,1,0.5,0.6667,0.5714,67,0,0.0
seed42,free,0.8,3,2,0,143,1,1.0,0.6667,0.8,67,0,0.0
seed42,free,0.85,3,2,0,143,1,1.0,0.6667,0.8,67,0,0.0
seed42,free,0.9,3,2,0,143,1,1.0,0.6667,0.8,67,0,0.0
seed42,free,0.95,3,2,0,143,1,1.0,0.6667,0.8,67,0,0.0
seed42,got,0.05,22,22,14,110,0,0.6111,1.0,0.7586,67,2,0.0299
seed42,got,0.1,22,22,7,117,0,0.7586,1.0,0.8627,67,0,0.0
seed42,got,0.15,22,22,4,120,0,0.8462,1.0,0.9167,67,0,0.0
seed42,got,0.2,22,22,4,120,0,0.8462,1.0,0.9167,67,0,0.0
seed42,got,0.25,22,22,2,122,0,0.9167,1.0,0.9565,67,0,0.0
seed42,got,0.3,22,22,1,123,0,0.9565,1.0,0.9778,67,0,0.0
seed42,got,0.35,22,22,1,123,0,0.9565,1.0,0.9778,67,0,0.0
seed42,got,0.4,22,22,1,123,0,0.9565,1.0,0.9778,67,0,0.0
seed42,got,0.45,22,22,1,123,0,0.9565,1.0,0.9778,67,0,0.0
seed42,got,0.5,22,22,1,123,0,0.9565,1.0,0.9778,67,0,0.0
