family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,19.0,19.0,62.0,65.0,0.0,0.2346,1.0,0.38,67.0,19.0,0.2836
x_mark,0.1,19.0,19.0,54.0,73.0,0.0,0.2603,1.0,0.413,67.0,12.0,0.1791
x_mark,0.15,19.0,19.0,33.0,94.0,0.0,0.3654,1.0,0.5352,67.0,5.0,0.0746
x_mark,0.2,19.0,18.0,27.0,100.0,1.0,0.4,0.9474,0.5625,67.0,3.0,0.0448
x_mark,0.25,19.0,17.0,25.0,102.0,2.0,0.4048,0.8947,0.5574,67.0,3.0,0.0448
x_mark,0.3,19.0,17.0,23.0,104.0,2.0,0.425,0.8947,0.5763,67.0,3.0,0.0448
x_mark,0.35,19.0,17.0,23.0,104.0,2.0,0.425,0.8947,0.5763,67.0,3.0,0.0448
x_mark,0.4,19.0,17.0,20.0,107.0,2.0,0.4595,0.8947,0.6071,67.0,3.0,0.0448
x_mark,0.45,19.0,17.0,19.0,108.0,2.0,0.4722,0.8947,0.6182,67.0,3.0,0.0448
x_mark,0.5,19.0,17.0,19.0,108.0,2.0,0.4722,0.8947,0.6182,67.0,3.0,0.0448
x_mark,0.55,19.0,17.0,17.0,110.0,2.0,0.5,0.8947,0.6415,67.0,3.0,0.0448
x_mark,0.6,19.0,17.0,13.0,114.0,2.0,0.5667,0.8947,0.6939,67.0,3.0,0.0448
x_mark,0.65,19.0,17.0,13.0,114.0,2.0,0.5667,0.8947,0.6939,67.0,3.0,0.0448
x_mark,0.7,19.0,17.0,13.0,114.0,2.0,0.5667,0.8947,0.6939,67.0,3.0,0.0448
x_mark,0.75,19.0,16.0,7.0,120.0,3.0,0.6957,0.8421,0.7619,67.0,3.0,0.0448
x_mark,0.8,19.0,15.0,6.0,121.0,4.0,0.7143,0.7895,0.75,67.0,3.0,0.0448
x_mark,0.85,19.0,13.0,6.0,121.0,6.0,0.6842,0.6842,0.6842,67.0,3.0,0.0448
x_mark,0.9,19.0,11.0,3.0,124.0,8.0,0.7857,0.5789,0.6667,67.0,0.0,0.0
x_mark,0.95,19.0,9.0,0.0,127.0,10.0,1.0,0.4737,0.6429,67.0,0.0,0.0
play_triangle,0.05,11.0,10.0,25.0,110.0,1.0,0.2857,0.9091,0.4348,67.0,3.0,0.0448
play_triangle,0.1,11.0,10.0,10.0,125.0,1.0,0.5,0.9091,0.6452,67.0,0.0,0.0
play_triangle,0.15,11.0,10.0,4.0,131.0,1.0,0.7143,0.9091,0.8,67.0,0.0,0.0
play_triangle,0.2,11.0,10.0,3.0,132.0,1.0,0.7692,0.9091,0.8333,67.0,0.0,0.0
play_triangle,0.25,11.0,10.0,3.0,132.0,1.0,0.7692,0.9091,0.8333,67.0,0.0,0.0
play_triangle,0.3,11.0,10.0,2.0,133.0,1.0,0.8333,0.9091,0.8696,67.0,0.0,0.0
play_triangle,0.35,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.4,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.45,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.5,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.55,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.6,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.65,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.7,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.75,11.0,8.0,1.0,134.0,3.0,0.8889,0.7273,0.8,67.0,0.0,0.0
play_triangle,0.8,11.0,7.0,0.0,135.0,4.0,1.0,0.6364,0.7778,67.0,0.0,0.0
play_triangle,0.85,11.0,7.0,0.0,135.0,4.0,1.0,0.6364,0.7778,67.0,0.0,0.0
play_triangle,0.9,11.0,7.0,0.0,135.0,4.0,1.0,0.6364,0.7778,67.0,0.0,0.0
play_triangle,0.95,11.0,7.0,0.0,135.0,4.0,1.0,0.6364,0.7778,67.0,0.0,0.0
google_play,0.05,2.0,2.0,32.0,112.0,0.0,0.0588,1.0,0.1111,67.0,2.0,0.0299
google_play,0.1,2.0,2.0,16.0,128.0,0.0,0.1111,1.0,0.2,67.0,2.0,0.0299
google_play,0.15,2.0,2.0,7.0,137.0,0.0,0.2222,1.0,0.3636,67.0,0.0,0.0
google_play,0.2,2.0,2.0,6.0,138.0,0.0,0.25,1.0,0.4,67.0,0.0,0.0
google_play,0.25,2.0,2.0,5.0,139.0,0.0,0.2857,1.0,0.4444,67.0,0.0,0.0
google_play,0.3,2.0,2.0,5.0,139.0,0.0,0.2857,1.0,0.4444,67.0,0.0,0.0
google_play,0.35,2.0,1.0,5.0,139.0,1.0,0.1667,0.5,0.25,67.0,0.0,0.0
google_play,0.4,2.0,1.0,5.0,139.0,1.0,0.1667,0.5,0.25,67.0,0.0,0.0
google_play,0.45,2.0,1.0,5.0,139.0,1.0,0.1667,0.5,0.25,67.0,0.0,0.0
google_play,0.5,2.0,1.0,5.0,139.0,1.0,0.1667,0.5,0.25,67.0,0.0,0.0
google_play,0.55,2.0,1.0,2.0,142.0,1.0,0.3333,0.5,0.4,67.0,0.0,0.0
google_play,0.6,2.0,1.0,2.0,142.0,1.0,0.3333,0.5,0.4,67.0,0.0,0.0
google_play,0.65,2.0,1.0,2.0,142.0,1.0,0.3333,0.5,0.4,67.0,0.0,0.0
google_play,0.7,2.0,1.0,2.0,142.0,1.0,0.3333,0.5,0.4,67.0,0.0,0.0
google_play,0.75,2.0,1.0,1.0,143.0,1.0,0.5,0.5,0.5,67.0,0.0,0.0
google_play,0.8,2.0,1.0,0.0,144.0,1.0,1.0,0.5,0.6667,67.0,0.0,0.0
google_play,0.85,2.0,1.0,0.0,144.0,1.0,1.0,0.5,0.6667,67.0,0.0,0.0
google_play,0.9,2.0,0.0,0.0,144.0,2.0,0.0,0.0,0.0,67.0,0.0,0.0
google_play,0.95,2.0,0.0,0.0,144.0,2.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.05,1.0,1.0,50.0,95.0,0.0,0.0196,1.0,0.0385,67.0,16.0,0.2388
next,0.1,1.0,1.0,32.0,113.0,0.0,0.0303,1.0,0.0588,67.0,6.0,0.0896
next,0.15,1.0,1.0,28.0,117.0,0.0,0.0345,1.0,0.0667,67.0,2.0,0.0299
next,0.2,1.0,0.0,26.0,119.0,1.0,0.0,0.0,0.0,67.0,2.0,0.0299
next,0.25,1.0,0.0,18.0,127.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.3,1.0,0.0,16.0,129.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.35,1.0,0.0,16.0,129.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.4,1.0,0.0,13.0,132.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.45,1.0,0.0,10.0,135.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.5,1.0,0.0,7.0,138.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.55,1.0,0.0,5.0,140.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.6,1.0,0.0,2.0,143.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.65,1.0,0.0,1.0,144.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
next,0.7,1.0,0.0,1.0,144.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0
