p_x_mark,families,instance_id,content_id,relative_path,image_path,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
0.90855,arrow,file_ee0387d4d77b785c,asset_ff5fa003b27b535b,vision_platform\ads\runtime_collection\click_success\click_success_20260713_094919_639\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00987_arrow_asset_ff5fa003b27b535b.png,0.00669,0.06932,0.03214,0.06620,0.05074,0.98051
0.90855,arrow,file_1621862b6acb7cf3,asset_ff5fa003b27b535b,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102134_709\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01024_arrow_asset_ff5fa003b27b535b.png,0.00669,0.06932,0.03214,0.06620,0.05074,0.98051
0.90855,arrow,file_0b9a658f960097b9,asset_ff5fa003b27b535b,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103231_073\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01045_arrow_asset_ff5fa003b27b535b.png,0.00669,0.06932,0.03214,0.06620,0.05074,0.98051
0.85714,negative,file_7763e2d8217a144b,asset_5a9b1ded37fe9835,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000168.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00465_negative_asset_5a9b1ded37fe9835.png,0.00309,0.00213,0.00304,0.00508,0.00048,0.02909
0.85714,negative,file_14c9c843ff797c5b,asset_5a9b1ded37fe9835,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000176.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00473_negative_asset_5a9b1ded37fe9835.png,0.00309,0.00213,0.00304,0.00508,0.00048,0.02909
0.85714,negative,file_cd0b9d4287f23337,asset_5a9b1ded37fe9835,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000185.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00482_negative_asset_5a9b1ded37fe9835.png,0.00309,0.00213,0.00304,0.00508,0.00048,0.02909
0.77732,arrow,file_201035a596c9f39e,asset_8bcc258909ab5d1b,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103600_510\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01054_arrow_asset_8bcc258909ab5d1b.png,0.00003,0.00005,0.00154,0.00197,0.00048,0.85803
0.73936,arrow,file_bf5064b3c751fece,asset_57057a2072ac0aa9,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095331_314\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00995_arrow_asset_57057a2072ac0aa9.png,0.00449,0.00637,0.01257,0.07553,0.00068,0.97135
0.73936,arrow,file_3dc0d458cc883ee3,asset_57057a2072ac0aa9,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100447_093\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01019_arrow_asset_57057a2072ac0aa9.png,0.00449,0.00637,0.01257,0.07553,0.00068,0.97135
0.73936,arrow,file_54dcfd8a6e1ab7bd,asset_57057a2072ac0aa9,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103511_714\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01051_arrow_asset_57057a2072ac0aa9.png,0.00449,0.00637,0.01257,0.07553,0.00068,0.97135
0.73936,arrow,file_bacdf7e09c08d915,asset_57057a2072ac0aa9,vision_platform\ads\runtime_collection\click_success\click_success_20260713_162912_856\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01085_arrow_asset_57057a2072ac0aa9.png,0.00449,0.00637,0.01257,0.07553,0.00068,0.97135
0.72049,arrow,file_b28b9ec89b84ce89,asset_226c1d36e84e0a83,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000093.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00168_arrow_asset_226c1d36e84e0a83.png,0.00050,0.00094,0.01992,0.06256,0.00036,0.73139
0.71420,arrow,file_4f0533509dde0ef4,asset_83893a37ecb22a22,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095949_902\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01004_arrow_asset_83893a37ecb22a22.png,0.03149,0.10070,0.03729,0.27988,0.14692,0.81197
0.59739,arrow,file_ed00cb5095d619f9,asset_7c2cc704821e7c64,vision_platform\ads\runtime_collection\click_success\click_success_20260713_163154_531\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_01091_arrow_asset_7c2cc704821e7c64.png,0.00612,0.00368,0.01116,0.43853,0.01119,0.80799
0.59738,arrow,file_5dd1802e3abed8ce,asset_7c2cc704821e7c64,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081020_456\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00872_arrow_asset_7c2cc704821e7c64.png,0.00612,0.00368,0.01116,0.43853,0.01119,0.80799
0.59738,arrow,file_8b0c0a1b8dcc6487,asset_7c2cc704821e7c64,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095207_013\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00992_arrow_asset_7c2cc704821e7c64.png,0.00612,0.00368,0.01116,0.43853,0.01119,0.80799
0.56915,arrow,file_a0ba5fcc9704c144,asset_3dd1cf465dd4e1fc,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000094.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00169_arrow_asset_3dd1cf465dd4e1fc.png,0.11779,0.09863,0.28776,0.23724,0.07329,0.97498
0.51418,arrow,file_da24a97c4580a385,asset_8246d10f6c6dfb69,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00852_arrow_asset_8246d10f6c6dfb69.png,0.01655,0.00652,0.04272,0.15423,0.01341,0.72693
0.51418,arrow,file_cd87cbee7fb17dd2,asset_8246d10f6c6dfb69,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081251_268\crops\bbox.png,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_after_click_success_review\dataset\images\vf_00878_arrow_asset_8246d10f6c6dfb69.png,0.01655,0.00652,0.04272,0.15423,0.01341,0.72693
