instance_id,content_id,families,review_status,original_path,relative_path,filename
file_da24a97c4580a385,asset_8246d10f6c6dfb69,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,bbox.png
file_cd87cbee7fb17dd2,asset_8246d10f6c6dfb69,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081251_268\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081251_268\crops\bbox.png,bbox.png
file_ee0387d4d77b785c,asset_ff5fa003b27b535b,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_094919_639\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_094919_639\crops\bbox.png,bbox.png
file_80043a8ad38fcdf0,asset_c7e460477e6815ca,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_095617_140\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_095617_140\crops\bbox.png,bbox.png
file_e220e13fef12d437,asset_7b686d6471fd540c,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_100319_204\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100319_204\crops\bbox.png,bbox.png
file_1d5e457bcbcb4021,asset_7e28f00f839fce1f,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_100332_771\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100332_771\crops\bbox.png,bbox.png
file_1621862b6acb7cf3,asset_ff5fa003b27b535b,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_102134_709\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102134_709\crops\bbox.png,bbox.png
file_ee87316a9ecc6f93,asset_c7e460477e6815ca,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_102257_097\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102257_097\crops\bbox.png,bbox.png
file_709feda930d44fc0,asset_161fe2d19fd904c5,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_102941_228\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102941_228\crops\bbox.png,bbox.png
file_0b9a658f960097b9,asset_ff5fa003b27b535b,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_103231_073\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103231_073\crops\bbox.png,bbox.png
file_0cb2478740ea3954,asset_c7e460477e6815ca,arrow|next,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_103353_299\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_103353_299\crops\bbox.png,bbox.png
file_e1800e087389adce,asset_4d6685ea797b7292,got|x_mark,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135039_335\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135039_335\crops\bbox.png,bbox.png
file_f1e86606970a4098,asset_6f98cd8786ef6aa9,got|x_mark,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135109_301\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135109_301\crops\bbox.png,bbox.png
file_60bac38a55997464,asset_c9fd61a5d932e963,got|x_mark,reviewed,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135139_606\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135139_606\crops\bbox.png,bbox.png
