seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,10,8,16,130,2,0.3333,0.8,0.4706
42,play_triangle,28,28,12,116,0,0.7,1.0,0.8235
42,google_play,3,2,0,153,1,1.0,0.6667,0.8
42,next,5,0,12,139,5,0.0,0.0,0.0
42,free,5,5,5,146,0,0.5,1.0,0.6667
42,got,23,16,2,131,7,0.8889,0.6957,0.7805
42,arrow,14,14,6,136,0,0.7,1.0,0.8235
43,x_mark,14,11,5,136,3,0.6875,0.7857,0.7333
43,play_triangle,28,28,12,115,0,0.7,1.0,0.8235
43,google_play,4,2,2,149,2,0.5,0.5,0.5
43,next,1,0,18,136,1,0.0,0.0,0.0
43,free,3,1,0,152,2,1.0,0.3333,0.5
43,got,26,13,1,128,13,0.9286,0.5,0.65
43,arrow,6,5,19,130,1,0.2083,0.8333,0.3333
44,x_mark,19,15,7,97,4,0.6818,0.7895,0.7317
44,play_triangle,2,2,3,118,0,0.4,1.0,0.5714
44,google_play,2,1,0,121,1,1.0,0.5,0.6667
44,next,3,3,8,112,0,0.2727,1.0,0.4286
44,free,3,1,1,119,2,0.5,0.3333,0.4
44,got,28,8,0,95,20,1.0,0.2857,0.4444
44,arrow,11,11,21,91,0,0.3438,1.0,0.5116
