seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,9,8,13,134,1,0.381,0.8889,0.5333
42,play_triangle,28,28,12,116,0,0.7,1.0,0.8235
42,google_play,3,2,0,153,1,1.0,0.6667,0.8
42,next,1,1,12,143,0,0.0769,1.0,0.1429
42,free,5,5,4,147,0,0.5556,1.0,0.7143
42,got,23,15,2,131,8,0.8824,0.6522,0.75
42,arrow,14,14,6,136,0,0.7,1.0,0.8235
43,x_mark,14,11,1,140,3,0.9167,0.7857,0.8462
43,play_triangle,29,29,11,115,0,0.725,1.0,0.8406
43,google_play,4,2,2,149,2,0.5,0.5,0.5
43,next,1,0,24,130,1,0.0,0.0,0.0
43,free,2,1,0,153,1,1.0,0.5,0.6667
43,got,26,13,1,128,13,0.9286,0.5,0.65
43,arrow,6,5,19,130,1,0.2083,0.8333,0.3333
44,x_mark,27,26,7,138,1,0.7879,0.963,0.8667
44,play_triangle,34,32,7,131,2,0.8205,0.9412,0.8767
44,google_play,1,0,0,171,1,0.0,0.0,0.0
44,next,2,0,0,170,2,0.0,0.0,0.0
44,free,4,4,6,162,0,0.4,1.0,0.5714
44,got,19,9,0,153,10,1.0,0.4737,0.6429
44,arrow,13,13,20,139,0,0.3939,1.0,0.5652
