seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.6,9,8,6,141,1,0.5714,0.8889,0.6957,73,1,0.0137
seed42,play_triangle,0.7,28,28,0,128,0,1.0,1.0,1.0,73,0,0.0
seed42,google_play,0.5,3,2,0,153,1,1.0,0.6667,0.8,73,0,0.0
seed42,next,0.6,1,1,7,148,0,0.125,1.0,0.2222,73,0,0.0
seed42,free,0.7,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,got,0.35,23,19,3,130,4,0.8636,0.8261,0.8444,73,0,0.0
seed42,arrow,0.6,14,14,3,139,0,0.8235,1.0,0.9032,73,0,0.0
seed43,x_mark,0.5,14,11,1,140,3,0.9167,0.7857,0.8462,73,0,0.0
seed43,play_triangle,0.65,29,29,2,124,0,0.9355,1.0,0.9667,73,2,0.0274
seed43,google_play,0.55,4,2,1,150,2,0.6667,0.5,0.5714,73,0,0.0
seed43,next,0.25,1,1,59,95,0,0.0167,1.0,0.0328,73,24,0.3288
seed43,free,0.45,2,1,0,153,1,1.0,0.5,0.6667,73,0,0.0
seed43,got,0.25,26,21,5,124,5,0.8077,0.8077,0.8077,73,2,0.0274
seed43,arrow,0.6,6,4,1,148,2,0.8,0.6667,0.7273,73,0,0.0
seed44,x_mark,0.45,27,26,7,138,1,0.7879,0.963,0.8667,72,3,0.0417
seed44,play_triangle,0.6,34,32,0,138,2,1.0,0.9412,0.9697,72,0,0.0
seed44,google_play,0.3,1,1,19,152,0,0.05,1.0,0.0952,72,14,0.1944
seed44,next,0.45,2,1,1,169,1,0.5,0.5,0.5,72,0,0.0
seed44,free,0.7,4,4,0,168,0,1.0,1.0,1.0,72,0,0.0
seed44,got,0.2,19,18,3,150,1,0.8571,0.9474,0.9,72,0,0.0
seed44,arrow,0.7,13,8,3,156,5,0.7273,0.6154,0.6667,72,0,0.0
