seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,9,9,128,19,0,0.0657,1.0,0.1233,73,73,1.0
seed42,x_mark,0.1,9,9,116,31,0,0.072,1.0,0.1343,73,71,0.9726
seed42,x_mark,0.15,9,9,110,37,0,0.0756,1.0,0.1406,73,67,0.9178
seed42,x_mark,0.2,9,9,68,79,0,0.1169,1.0,0.2093,73,40,0.5479
seed42,x_mark,0.25,9,9,51,96,0,0.15,1.0,0.2609,73,26,0.3562
seed42,x_mark,0.3,9,8,39,108,1,0.1702,0.8889,0.2857,73,16,0.2192
seed42,x_mark,0.35,9,8,28,119,1,0.2222,0.8889,0.3556,73,8,0.1096
seed42,x_mark,0.4,9,8,24,123,1,0.25,0.8889,0.3902,73,8,0.1096
seed42,x_mark,0.45,9,8,20,127,1,0.2857,0.8889,0.4324,73,8,0.1096
seed42,x_mark,0.5,9,8,13,134,1,0.381,0.8889,0.5333,73,3,0.0411
seed42,x_mark,0.55,9,8,8,139,1,0.5,0.8889,0.64,73,3,0.0411
seed42,x_mark,0.6,9,8,6,141,1,0.5714,0.8889,0.6957,73,1,0.0137
seed42,x_mark,0.65,9,7,5,142,2,0.5833,0.7778,0.6667,73,0,0.0
seed42,x_mark,0.7,9,5,5,142,4,0.5,0.5556,0.5263,73,0,0.0
seed42,x_mark,0.75,9,4,4,143,5,0.5,0.4444,0.4706,73,0,0.0
seed42,x_mark,0.8,9,2,4,143,7,0.3333,0.2222,0.2667,73,0,0.0
seed42,x_mark,0.85,9,2,0,147,7,1.0,0.2222,0.3636,73,0,0.0
seed42,x_mark,0.9,9,2,0,147,7,1.0,0.2222,0.3636,73,0,0.0
seed42,x_mark,0.95,9,1,0,147,8,1.0,0.1111,0.2,73,0,0.0
seed42,play_triangle,0.05,28,28,79,49,0,0.2617,1.0,0.4148,73,51,0.6986
seed42,play_triangle,0.1,28,28,59,69,0,0.3218,1.0,0.487,73,37,0.5068
seed42,play_triangle,0.15,28,28,36,92,0,0.4375,1.0,0.6087,73,17,0.2329
seed42,play_triangle,0.2,28,28,22,106,0,0.56,1.0,0.7179,73,9,0.1233
seed42,play_triangle,0.25,28,28,19,109,0,0.5957,1.0,0.7467,73,6,0.0822
seed42,play_triangle,0.3,28,28,19,109,0,0.5957,1.0,0.7467,73,6,0.0822
seed42,play_triangle,0.35,28,28,16,112,0,0.6364,1.0,0.7778,73,4,0.0548
seed42,play_triangle,0.4,28,28,13,115,0,0.6829,1.0,0.8116,73,4,0.0548
seed42,play_triangle,0.45,28,28,13,115,0,0.6829,1.0,0.8116,73,4,0.0548
seed42,play_triangle,0.5,28,28,12,116,0,0.7,1.0,0.8235,73,4,0.0548
seed42,play_triangle,0.55,28,28,4,124,0,0.875,1.0,0.9333,73,2,0.0274
seed42,play_triangle,0.6,28,28,3,125,0,0.9032,1.0,0.9492,73,2,0.0274
seed42,play_triangle,0.65,28,28,2,126,0,0.9333,1.0,0.9655,73,2,0.0274
seed42,play_triangle,0.7,28,28,0,128,0,1.0,1.0,1.0,73,0,0.0
seed42,play_triangle,0.75,28,23,0,128,5,1.0,0.8214,0.902,73,0,0.0
seed42,play_triangle,0.8,28,15,0,128,13,1.0,0.5357,0.6977,73,0,0.0
seed42,play_triangle,0.85,28,12,0,128,16,1.0,0.4286,0.6,73,0,0.0
seed42,play_triangle,0.9,28,12,0,128,16,1.0,0.4286,0.6,73,0,0.0
seed42,play_triangle,0.95,28,0,0,128,28,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.05,3,2,104,49,1,0.0189,0.6667,0.0367,73,51,0.6986
seed42,google_play,0.1,3,2,53,100,1,0.0364,0.6667,0.069,73,15,0.2055
seed42,google_play,0.15,3,2,23,130,1,0.08,0.6667,0.1429,73,10,0.137
seed42,google_play,0.2,3,2,13,140,1,0.1333,0.6667,0.2222,73,6,0.0822
seed42,google_play,0.25,3,2,10,143,1,0.1667,0.6667,0.2667,73,4,0.0548
seed42,google_play,0.3,3,2,6,147,1,0.25,0.6667,0.3636,73,4,0.0548
seed42,google_play,0.35,3,2,3,150,1,0.4,0.6667,0.5,73,2,0.0274
seed42,google_play,0.4,3,2,2,151,1,0.5,0.6667,0.5714,73,2,0.0274
seed42,google_play,0.45,3,2,2,151,1,0.5,0.6667,0.5714,73,2,0.0274
seed42,google_play,0.5,3,2,0,153,1,1.0,0.6667,0.8,73,0,0.0
seed42,google_play,0.55,3,1,0,153,2,1.0,0.3333,0.5,73,0,0.0
seed42,google_play,0.6,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.65,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.7,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.75,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.8,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.85,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.9,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,google_play,0.95,3,0,0,153,3,0.0,0.0,0.0,73,0,0.0
seed42,next,0.05,1,1,150,5,0,0.0066,1.0,0.0132,73,73,1.0
seed42,next,0.1,1,1,130,25,0,0.0076,1.0,0.0152,73,60,0.8219
seed42,next,0.15,1,1,92,63,0,0.0108,1.0,0.0213,73,44,0.6027
seed42,next,0.2,1,1,69,86,0,0.0143,1.0,0.0282,73,30,0.411
seed42,next,0.25,1,1,52,103,0,0.0189,1.0,0.037,73,20,0.274
seed42,next,0.3,1,1,40,115,0,0.0244,1.0,0.0476,73,10,0.137
seed42,next,0.35,1,1,33,122,0,0.0294,1.0,0.0571,73,6,0.0822
seed42,next,0.4,1,1,20,135,0,0.0476,1.0,0.0909,73,4,0.0548
seed42,next,0.45,1,1,19,136,0,0.05,1.0,0.0952,73,4,0.0548
seed42,next,0.5,1,1,12,143,0,0.0769,1.0,0.1429,73,2,0.0274
seed42,next,0.55,1,1,10,145,0,0.0909,1.0,0.1667,73,2,0.0274
seed42,next,0.6,1,1,7,148,0,0.125,1.0,0.2222,73,0,0.0
seed42,next,0.65,1,0,7,148,1,0.0,0.0,0.0,73,0,0.0
seed42,next,0.7,1,0,2,153,1,0.0,0.0,0.0,73,0,0.0
seed42,next,0.75,1,0,0,155,1,0.0,0.0,0.0,73,0,0.0
seed42,next,0.8,1,0,0,155,1,0.0,0.0,0.0,73,0,0.0
seed42,next,0.85,1,0,0,155,1,0.0,0.0,0.0,73,0,0.0
seed42,next,0.9,1,0,0,155,1,0.0,0.0,0.0,73,0,0.0
seed42,next,0.95,1,0,0,155,1,0.0,0.0,0.0,73,0,0.0
seed42,free,0.05,5,5,109,42,0,0.0439,1.0,0.084,73,41,0.5616
seed42,free,0.1,5,5,79,72,0,0.0595,1.0,0.1124,73,32,0.4384
seed42,free,0.15,5,5,49,102,0,0.0926,1.0,0.1695,73,10,0.137
seed42,free,0.2,5,5,35,116,0,0.125,1.0,0.2222,73,8,0.1096
seed42,free,0.25,5,5,27,124,0,0.1562,1.0,0.2703,73,4,0.0548
seed42,free,0.3,5,5,11,140,0,0.3125,1.0,0.4762,73,4,0.0548
seed42,free,0.35,5,5,8,143,0,0.3846,1.0,0.5556,73,2,0.0274
seed42,free,0.4,5,5,8,143,0,0.3846,1.0,0.5556,73,2,0.0274
seed42,free,0.45,5,5,5,146,0,0.5,1.0,0.6667,73,2,0.0274
seed42,free,0.5,5,5,4,147,0,0.5556,1.0,0.7143,73,2,0.0274
seed42,free,0.55,5,5,2,149,0,0.7143,1.0,0.8333,73,2,0.0274
seed42,free,0.6,5,5,2,149,0,0.7143,1.0,0.8333,73,2,0.0274
seed42,free,0.65,5,4,2,149,1,0.6667,0.8,0.7273,73,2,0.0274
seed42,free,0.7,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,free,0.75,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,free,0.8,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,free,0.85,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,free,0.9,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,free,0.95,5,0,0,151,5,0.0,0.0,0.0,73,0,0.0
seed42,got,0.05,23,23,70,63,0,0.2473,1.0,0.3966,73,37,0.5068
seed42,got,0.1,23,23,29,104,0,0.4423,1.0,0.6133,73,18,0.2466
seed42,got,0.15,23,23,24,109,0,0.4894,1.0,0.6571,73,14,0.1918
seed42,got,0.2,23,23,12,121,0,0.6571,1.0,0.7931,73,4,0.0548
seed42,got,0.25,23,23,9,124,0,0.7188,1.0,0.8364,73,4,0.0548
seed42,got,0.3,23,20,5,128,3,0.8,0.8696,0.8333,73,2,0.0274
seed42,got,0.35,23,19,3,130,4,0.8636,0.8261,0.8444,73,0,0.0
seed42,got,0.4,23,16,3,130,7,0.8421,0.6957,0.7619,73,0,0.0
seed42,got,0.45,23,16,2,131,7,0.8889,0.6957,0.7805,73,0,0.0
seed42,got,0.5,23,15,2,131,8,0.8824,0.6522,0.75,73,0,0.0
seed42,got,0.55,23,11,1,132,12,0.9167,0.4783,0.6286,73,0,0.0
seed42,got,0.6,23,10,1,132,13,0.9091,0.4348,0.5882,73,0,0.0
seed42,got,0.65,23,10,1,132,13,0.9091,0.4348,0.5882,73,0,0.0
seed42,got,0.7,23,8,0,133,15,1.0,0.3478,0.5161,73,0,0.0
seed42,got,0.75,23,2,0,133,21,1.0,0.087,0.16,73,0,0.0
seed42,got,0.8,23,0,0,133,23,0.0,0.0,0.0,73,0,0.0
seed42,got,0.85,23,0,0,133,23,0.0,0.0,0.0,73,0,0.0
seed42,got,0.9,23,0,0,133,23,0.0,0.0,0.0,73,0,0.0
seed42,got,0.95,23,0,0,133,23,0.0,0.0,0.0,73,0,0.0
seed42,arrow,0.05,14,14,138,4,0,0.0921,1.0,0.1687,73,71,0.9726
seed42,arrow,0.1,14,14,97,45,0,0.1261,1.0,0.224,73,42,0.5753
seed42,arrow,0.15,14,14,85,57,0,0.1414,1.0,0.2478,73,37,0.5068
seed42,arrow,0.2,14,14,44,98,0,0.2414,1.0,0.3889,73,22,0.3014
