family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,16.6667,16.6667,120.0,24.3333,0.0,0.1199,1.0,0.211,72.6667,66.3333,0.9129
x_mark,0.1,16.6667,16.0,100.0,44.3333,0.6667,0.1368,0.9524,0.2346,72.6667,58.3333,0.8028
x_mark,0.15,16.6667,16.0,71.3333,73.0,0.6667,0.2048,0.9524,0.3215,72.6667,43.0,0.5906
x_mark,0.2,16.6667,16.0,50.6667,93.6667,0.6667,0.2435,0.9524,0.3749,72.6667,28.0,0.3848
x_mark,0.25,16.6667,16.0,34.6667,109.6667,0.6667,0.3228,0.9524,0.4654,72.6667,15.0,0.2062
x_mark,0.3,16.6667,15.6667,26.0,118.3333,1.0,0.3776,0.9153,0.5171,72.6667,8.6667,0.1191
x_mark,0.35,16.6667,15.0,18.6667,125.6667,1.6667,0.4382,0.8792,0.5664,72.6667,6.0,0.0826
x_mark,0.4,16.6667,15.0,14.0,130.3333,1.6667,0.5213,0.8792,0.6301,72.6667,3.6667,0.0504
x_mark,0.45,16.6667,15.0,10.3333,134.0,1.6667,0.6023,0.8792,0.6859,72.6667,3.6667,0.0504
x_mark,0.5,16.6667,15.0,7.0,137.3333,1.6667,0.6952,0.8792,0.7487,72.6667,2.0,0.0276
x_mark,0.55,16.6667,13.6667,5.3333,139.0,3.0,0.7253,0.8183,0.749,72.6667,2.0,0.0276
x_mark,0.6,16.6667,13.0,3.6667,140.6667,3.6667,0.7707,0.7707,0.7477,72.6667,0.3333,0.0046
x_mark,0.65,16.6667,11.3333,2.3333,142.0,5.3333,0.8074,0.6843,0.7236,72.6667,0.0,0.0
x_mark,0.7,16.6667,9.3333,2.3333,142.0,7.3333,0.7755,0.5608,0.6399,72.6667,0.0,0.0
x_mark,0.75,16.6667,8.3333,2.0,142.3333,8.3333,0.7649,0.4762,0.5799,72.6667,0.0,0.0
x_mark,0.8,16.6667,5.0,1.6667,142.6667,11.6667,0.7222,0.2919,0.4079,72.6667,0.0,0.0
x_mark,0.85,16.6667,3.6667,0.3333,144.0,13.0,0.9167,0.2196,0.3535,72.6667,0.0,0.0
x_mark,0.9,16.6667,2.0,0.0,144.3333,14.6667,1.0,0.1464,0.2505,72.6667,0.0,0.0
x_mark,0.95,16.6667,1.0,0.0,144.3333,15.6667,0.6667,0.0847,0.15,72.6667,0.0,0.0
play_triangle,0.05,30.3333,30.3333,84.0,46.6667,0.0,0.2659,1.0,0.4195,72.6667,53.6667,0.7383
play_triangle,0.1,30.3333,30.3333,56.6667,74.0,0.0,0.3525,1.0,0.5188,72.6667,36.0,0.4951
play_triangle,0.15,30.3333,30.3333,41.0,89.6667,0.0,0.4315,1.0,0.5999,72.6667,24.0,0.3302
play_triangle,0.2,30.3333,30.3333,29.6667,101.0,0.0,0.5285,1.0,0.6836,72.6667,15.6667,0.2152
play_triangle,0.25,30.3333,30.3333,25.3333,105.3333,0.0,0.5721,1.0,0.7183,72.6667,11.6667,0.1601
play_triangle,0.3,30.3333,29.6667,23.0,107.6667,0.6667,0.5853,0.9804,0.7238,72.6667,10.3333,0.1418
