seed,family,p,instance_id,content_id,families,image_path
42,arrow,0.466,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png
42,google_play,0.4107,file_183d636c777c6ea5,asset_0038b293d3fef86c,google_play,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00015_google_play_asset_0038b293d3fef86c.png
42,arrow,0.3171,file_d109bb027585db3a,asset_384d89598f4f57fc,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00030_arrow_asset_384d89598f4f57fc.png
42,google_play,0.2504,file_bde160b4ff62fd23,asset_14abfab802adf40c,google_play,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00042_google_play_asset_14abfab802adf40c.png
42,x_mark,0.3377,file_c590ebbfe9db64ca,asset_6802a78b1f5efa66,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00053_x_mark_asset_6802a78b1f5efa66.png
42,play_triangle,0.2448,file_ed1467fb03b0b8ba,asset_d8a2f9660c5625b5,play_triangle,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00059_play_triangle_asset_d8a2f9660c5625b5.png
42,got,0.4621,file_b45e660a5a2b7d8d,asset_0d4b215867996981,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00061_got_asset_0d4b215867996981.png
42,got,0.3368,file_c9b0f3fff6864aab,asset_86d49425885a0694,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00074_got_asset_86d49425885a0694.png
42,free,0.3254,file_316f75bc9fb119a6,asset_1666aaa13124f098,free,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00148_free_asset_1666aaa13124f098.png
42,x_mark,0.3014,file_1b25b331d8c51571,asset_4b460828e7852a16,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00196_x_mark_asset_4b460828e7852a16.png
42,x_mark,0.2381,file_93bb21d0c9b6b5ab,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00235_x_mark_asset_6104349d1d13028a.png
42,x_mark,0.2381,file_6238053c8e348d24,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00238_x_mark_asset_6104349d1d13028a.png
42,x_mark,0.2381,file_f3370fca6a5a25e5,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00243_x_mark_asset_6104349d1d13028a.png
42,x_mark,0.2381,file_b2e085b44f5a5d9d,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00246_x_mark_asset_6104349d1d13028a.png
42,x_mark,0.2381,file_8598f00aa97cf91c,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00248_x_mark_asset_6104349d1d13028a.png
42,arrow,0.1264,file_b3d3d941c081f532,asset_713d9bd8585df68b,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00276_arrow_asset_713d9bd8585df68b.png
42,arrow,0.4816,file_b3bac06a83836101,asset_93e074b680c4fe7b,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00277_arrow_asset_93e074b680c4fe7b.png
42,got,0.3011,file_f17f0597f4a960bf,asset_28434918920405bd,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00862_got_asset_28434918920405bd.png
42,got,0.3796,file_ef413d45fecc7350,asset_fb6f9655e9c30e97,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00864_got_asset_fb6f9655e9c30e97.png
42,got,0.2352,file_25f3ac1b552bd237,asset_d3a2423f432b3a89,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00873_got_asset_d3a2423f432b3a89.png
