seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,9,8,7,140,1,0.5333,0.8889,0.6667
42,play_triangle,28,27,0,128,1,1.0,0.9643,0.9818
42,google_play,3,3,0,153,0,1.0,1.0,1.0
42,next,1,1,6,149,0,0.1429,1.0,0.25
42,free,5,4,10,141,1,0.2857,0.8,0.4211
42,got,23,23,0,133,0,1.0,1.0,1.0
42,arrow,14,13,4,138,1,0.7647,0.9286,0.8387
43,x_mark,14,11,2,139,3,0.8462,0.7857,0.8148
43,play_triangle,29,29,0,126,0,1.0,1.0,1.0
43,google_play,4,3,1,150,1,0.75,0.75,0.75
43,next,1,0,0,154,1,0.0,0.0,0.0
43,free,2,1,1,152,1,0.5,0.5,0.5
43,got,26,26,0,129,0,1.0,1.0,1.0
43,arrow,6,5,5,144,1,0.5,0.8333,0.625
44,x_mark,27,23,6,139,4,0.7931,0.8519,0.8214
44,play_triangle,34,32,0,138,2,1.0,0.9412,0.9697
44,google_play,1,1,1,170,0,0.5,1.0,0.6667
44,next,2,1,6,164,1,0.1429,0.5,0.2222
44,free,4,4,20,148,0,0.1667,1.0,0.2857
44,got,19,19,0,153,0,1.0,1.0,1.0
44,arrow,13,12,15,144,1,0.4444,0.9231,0.6
