seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,9,9,37,110,0,0.1957,1.0,0.3273,73,20,0.274
seed42,x_mark,0.1,9,9,24,123,0,0.2727,1.0,0.4286,73,11,0.1507
seed42,x_mark,0.15,9,9,12,135,0,0.4286,1.0,0.6,73,2,0.0274
seed42,x_mark,0.2,9,9,10,137,0,0.4737,1.0,0.6429,73,2,0.0274
seed42,x_mark,0.25,9,9,10,137,0,0.4737,1.0,0.6429,73,2,0.0274
seed42,x_mark,0.3,9,9,9,138,0,0.5,1.0,0.6667,73,2,0.0274
seed42,x_mark,0.35,9,8,9,138,1,0.4706,0.8889,0.6154,73,2,0.0274
seed42,x_mark,0.4,9,8,9,138,1,0.4706,0.8889,0.6154,73,2,0.0274
seed42,x_mark,0.45,9,8,8,139,1,0.5,0.8889,0.64,73,2,0.0274
seed42,x_mark,0.5,9,8,7,140,1,0.5333,0.8889,0.6667,73,2,0.0274
seed42,x_mark,0.55,9,8,7,140,1,0.5333,0.8889,0.6667,73,2,0.0274
seed42,x_mark,0.6,9,8,7,140,1,0.5333,0.8889,0.6667,73,2,0.0274
seed42,x_mark,0.65,9,8,7,140,1,0.5333,0.8889,0.6667,73,2,0.0274
seed42,x_mark,0.7,9,8,6,141,1,0.5714,0.8889,0.6957,73,2,0.0274
seed42,x_mark,0.75,9,8,3,144,1,0.7273,0.8889,0.8,73,0,0.0
seed42,x_mark,0.8,9,8,3,144,1,0.7273,0.8889,0.8,73,0,0.0
seed42,x_mark,0.85,9,8,3,144,1,0.7273,0.8889,0.8,73,0,0.0
seed42,x_mark,0.9,9,8,3,144,1,0.7273,0.8889,0.8,73,0,0.0
seed42,x_mark,0.95,9,8,3,144,1,0.7273,0.8889,0.8,73,0,0.0
seed42,play_triangle,0.05,28,28,9,119,0,0.7568,1.0,0.8615,73,2,0.0274
seed42,play_triangle,0.1,28,28,5,123,0,0.8485,1.0,0.918,73,2,0.0274
seed42,play_triangle,0.15,28,28,3,125,0,0.9032,1.0,0.9492,73,0,0.0
seed42,play_triangle,0.2,28,28,2,126,0,0.9333,1.0,0.9655,73,0,0.0
seed42,play_triangle,0.25,28,27,2,126,1,0.931,0.9643,0.9474,73,0,0.0
seed42,play_triangle,0.3,28,27,0,128,1,1.0,0.9643,0.9818,73,0,0.0
seed42,play_triangle,0.35,28,27,0,128,1,1.0,0.9643,0.9818,73,0,0.0
seed42,play_triangle,0.4,28,27,0,128,1,1.0,0.9643,0.9818,73,0,0.0
seed42,play_triangle,0.45,28,27,0,128,1,1.0,0.9643,0.9818,73,0,0.0
