family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
x_mark,0.05,16.6667,16.6667,49.6667,94.6667,0.0,0.2638,1.0,0.4129,72.6667,26.6667,0.3678
x_mark,0.1,16.6667,15.6667,26.0,118.3333,1.0,0.364,0.94,0.5194,72.6667,15.0,0.2067
x_mark,0.15,16.6667,15.6667,16.0,128.3333,1.0,0.4754,0.94,0.6294,72.6667,7.3333,0.1009
x_mark,0.2,16.6667,15.6667,12.3333,132.0,1.0,0.5341,0.94,0.6761,72.6667,5.6667,0.0778
x_mark,0.25,16.6667,15.6667,12.3333,132.0,1.0,0.5341,0.94,0.6761,72.6667,5.6667,0.0778
x_mark,0.3,16.6667,15.3333,11.0,133.3333,1.3333,0.5581,0.9277,0.6919,72.6667,5.0,0.0686
x_mark,0.35,16.6667,15.0,9.6667,134.6667,1.6667,0.5773,0.8907,0.6927,72.6667,5.0,0.0686
x_mark,0.4,16.6667,14.6667,6.6667,137.6667,2.0,0.6617,0.8668,0.7405,72.6667,2.0,0.0275
x_mark,0.45,16.6667,14.6667,5.6667,138.6667,2.0,0.7091,0.8668,0.7674,72.6667,1.3333,0.0184
x_mark,0.5,16.6667,14.0,5.0,139.3333,2.6667,0.7242,0.8422,0.7676,72.6667,1.3333,0.0184
x_mark,0.55,16.6667,14.0,4.6667,139.6667,2.6667,0.7336,0.8422,0.7726,72.6667,1.3333,0.0184
x_mark,0.6,16.6667,13.3333,4.0,140.3333,3.3333,0.7515,0.8175,0.7683,72.6667,1.3333,0.0184
x_mark,0.65,16.6667,12.6667,3.0,141.3333,4.0,0.8,0.7928,0.7738,72.6667,0.6667,0.0091
x_mark,0.7,16.6667,12.3333,2.6667,141.6667,4.3333,0.8118,0.7804,0.7748,72.6667,0.6667,0.0091
x_mark,0.75,16.6667,12.3333,1.6667,142.6667,4.3333,0.8638,0.7804,0.8096,72.6667,0.0,0.0
x_mark,0.8,16.6667,12.3333,1.6667,142.6667,4.3333,0.8638,0.7804,0.8096,72.6667,0.0,0.0
x_mark,0.85,16.6667,12.0,1.3333,143.0,4.6667,0.8788,0.7566,0.8,72.6667,0.0,0.0
x_mark,0.9,16.6667,11.3333,1.3333,143.0,5.3333,0.8758,0.7205,0.7742,72.6667,0.0,0.0
x_mark,0.95,16.6667,8.0,1.3333,143.0,8.6667,0.8615,0.5626,0.6373,72.6667,0.0,0.0
play_triangle,0.05,30.3333,30.3333,17.0,113.6667,0.0,0.6683,1.0,0.7963,72.6667,10.3333,0.1429
play_triangle,0.1,30.3333,30.3333,10.0,120.6667,0.0,0.7873,1.0,0.8748,72.6667,6.0,0.0831
play_triangle,0.15,30.3333,30.3333,4.0,126.6667,0.0,0.8893,1.0,0.9408,72.6667,0.6667,0.0093
play_triangle,0.2,30.3333,30.3333,1.0,129.6667,0.0,0.9683,1.0,0.9837,72.6667,0.0,0.0
play_triangle,0.25,30.3333,30.0,0.6667,130.0,0.3333,0.977,0.9881,0.9825,72.6667,0.0,0.0
play_triangle,0.3,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.35,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.4,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.45,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.5,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.55,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.6,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.65,30.3333,29.3333,0.0,130.6667,1.0,1.0,0.9685,0.9838,72.6667,0.0,0.0
play_triangle,0.7,30.3333,29.0,0.0,130.6667,1.3333,1.0,0.957,0.978,72.6667,0.0,0.0
play_triangle,0.75,30.3333,28.6667,0.0,130.6667,1.6667,1.0,0.9451,0.9717,72.6667,0.0,0.0
play_triangle,0.8,30.3333,28.6667,0.0,130.6667,1.6667,1.0,0.9451,0.9717,72.6667,0.0,0.0
play_triangle,0.85,30.3333,28.6667,0.0,130.6667,1.6667,1.0,0.9451,0.9717,72.6667,0.0,0.0
play_triangle,0.9,30.3333,28.6667,0.0,130.6667,1.6667,1.0,0.9451,0.9717,72.6667,0.0,0.0
play_triangle,0.95,30.3333,25.6667,0.0,130.6667,4.6667,1.0,0.8569,0.9175,72.6667,0.0,0.0
google_play,0.05,2.6667,2.6667,39.6667,118.6667,0.0,0.0749,1.0,0.1364,72.6667,19.6667,0.2711
google_play,0.1,2.6667,2.6667,27.0,131.3333,0.0,0.1085,1.0,0.1895,72.6667,12.3333,0.1701
google_play,0.15,2.6667,2.6667,18.3333,140.0,0.0,0.1879,1.0,0.2889,72.6667,7.3333,0.1013
google_play,0.2,2.6667,2.6667,8.3333,150.0,0.0,0.3768,1.0,0.4843,72.6667,2.0,0.0274
google_play,0.25,2.6667,2.6667,4.0,154.3333,0.0,0.4409,1.0,0.5725,72.6667,1.3333,0.0183
google_play,0.3,2.6667,2.6667,3.6667,154.6667,0.0,0.45,1.0,0.5835,72.6667,1.3333,0.0183
google_play,0.35,2.6667,2.6667,2.6667,155.6667,0.0,0.4929,1.0,0.6296,72.6667,0.6667,0.0091
google_play,0.4,2.6667,2.3333,1.6667,156.6667,0.3333,0.5833,0.9167,0.6944,72.6667,0.6667,0.0091
google_play,0.45,2.6667,2.3333,1.0,157.3333,0.3333,0.6667,0.9167,0.7579,72.6667,0.0,0.0
google_play,0.5,2.6667,2.3333,0.6667,157.6667,0.3333,0.75,0.9167,0.8056,72.6667,0.0,0.0
