seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,25,19,9,168,6,0.6786,0.76,0.717
42,play_triangle,16,14,1,185,2,0.9333,0.875,0.9032
42,google_play,1,1,0,201,0,1.0,1.0,1.0
42,next,1,1,11,190,0,0.0833,1.0,0.1538
42,free,18,16,15,169,2,0.5161,0.8889,0.6531
42,got,27,27,0,175,0,1.0,1.0,1.0
42,arrow,11,9,12,179,2,0.4286,0.8182,0.5625
43,x_mark,25,19,3,174,6,0.8636,0.76,0.8085
43,play_triangle,16,14,1,185,2,0.9333,0.875,0.9032
43,google_play,1,1,2,199,0,0.3333,1.0,0.5
43,next,1,0,6,195,1,0.0,0.0,0.0
43,free,18,17,2,182,1,0.8947,0.9444,0.9189
43,got,27,27,0,175,0,1.0,1.0,1.0
43,arrow,11,9,11,180,2,0.45,0.8182,0.5806
44,x_mark,25,19,3,174,6,0.8636,0.76,0.8085
44,play_triangle,16,14,1,185,2,0.9333,0.875,0.9032
44,google_play,1,1,2,199,0,0.3333,1.0,0.5
44,next,1,1,20,181,0,0.0476,1.0,0.0909
44,free,18,17,2,182,1,0.8947,0.9444,0.9189
44,got,27,27,0,175,0,1.0,1.0,1.0
44,arrow,11,9,11,180,2,0.45,0.8182,0.5806
