seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.55,25,19,2,175,6,0.9048,0.76,0.8261,103,0,0.0
seed42,play_triangle,0.45,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,google_play,0.45,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,next,0.55,1,1,10,191,0,0.0909,1.0,0.1667,103,0,0.0
seed42,free,0.65,18,16,0,184,2,1.0,0.8889,0.9412,103,0,0.0
seed42,got,0.3,27,27,0,175,0,1.0,1.0,1.0,103,0,0.0
seed42,arrow,0.8,11,8,0,191,3,1.0,0.7273,0.8421,103,0,0.0
seed43,x_mark,0.55,25,19,2,175,6,0.9048,0.76,0.8261,103,0,0.0
seed43,play_triangle,0.3,16,16,1,185,0,0.9412,1.0,0.9697,103,0,0.0
seed43,google_play,0.55,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed43,next,0.45,1,1,12,189,0,0.0769,1.0,0.1429,103,4,0.0388
seed43,free,0.75,18,16,0,184,2,1.0,0.8889,0.9412,103,0,0.0
seed43,got,0.3,27,27,0,175,0,1.0,1.0,1.0,103,0,0.0
seed43,arrow,0.65,11,9,0,191,2,1.0,0.8182,0.9,103,0,0.0
seed44,x_mark,0.5,25,19,3,174,6,0.8636,0.76,0.8085,103,0,0.0
seed44,play_triangle,0.35,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed44,google_play,0.6,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed44,next,0.7,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed44,free,0.75,18,16,0,184,2,1.0,0.8889,0.9412,103,0,0.0
seed44,got,0.3,27,27,0,175,0,1.0,1.0,1.0,103,0,0.0
seed44,arrow,0.7,11,9,0,191,2,1.0,0.8182,0.9,103,0,0.0
