seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.05,25,25,110,67,0,0.1852,1.0,0.3125,103,63,0.6117
seed42,x_mark,0.1,25,25,88,89,0,0.2212,1.0,0.3623,103,45,0.4369
seed42,x_mark,0.15,25,20,68,109,5,0.2273,0.8,0.354,103,43,0.4175
seed42,x_mark,0.2,25,20,47,130,5,0.2985,0.8,0.4348,103,31,0.301
seed42,x_mark,0.25,25,20,37,140,5,0.3509,0.8,0.4878,103,23,0.2233
seed42,x_mark,0.3,25,20,32,145,5,0.3846,0.8,0.5195,103,21,0.2039
seed42,x_mark,0.35,25,19,29,148,6,0.3958,0.76,0.5205,103,21,0.2039
seed42,x_mark,0.4,25,19,13,164,6,0.5938,0.76,0.6667,103,6,0.0583
seed42,x_mark,0.45,25,19,13,164,6,0.5938,0.76,0.6667,103,6,0.0583
seed42,x_mark,0.5,25,19,9,168,6,0.6786,0.76,0.717,103,4,0.0388
seed42,x_mark,0.55,25,19,2,175,6,0.9048,0.76,0.8261,103,0,0.0
seed42,x_mark,0.6,25,16,1,176,9,0.9412,0.64,0.7619,103,0,0.0
seed42,x_mark,0.65,25,16,1,176,9,0.9412,0.64,0.7619,103,0,0.0
seed42,x_mark,0.7,25,16,1,176,9,0.9412,0.64,0.7619,103,0,0.0
seed42,x_mark,0.75,25,16,1,176,9,0.9412,0.64,0.7619,103,0,0.0
seed42,x_mark,0.8,25,13,1,176,12,0.9286,0.52,0.6667,103,0,0.0
seed42,x_mark,0.85,25,12,1,176,13,0.9231,0.48,0.6316,103,0,0.0
seed42,x_mark,0.9,25,12,1,176,13,0.9231,0.48,0.6316,103,0,0.0
seed42,x_mark,0.95,25,10,0,177,15,1.0,0.4,0.5714,103,0,0.0
seed42,play_triangle,0.05,16,16,60,126,0,0.2105,1.0,0.3478,103,36,0.3495
seed42,play_triangle,0.1,16,16,52,134,0,0.2353,1.0,0.381,103,32,0.3107
seed42,play_triangle,0.15,16,16,38,148,0,0.2963,1.0,0.4571,103,23,0.2233
seed42,play_triangle,0.2,16,16,28,158,0,0.3636,1.0,0.5333,103,19,0.1845
seed42,play_triangle,0.25,16,16,20,166,0,0.4444,1.0,0.6154,103,19,0.1845
seed42,play_triangle,0.3,16,16,18,168,0,0.4706,1.0,0.64,103,17,0.165
seed42,play_triangle,0.35,16,14,16,170,2,0.4667,0.875,0.6087,103,15,0.1456
seed42,play_triangle,0.4,16,14,16,170,2,0.4667,0.875,0.6087,103,15,0.1456
seed42,play_triangle,0.45,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.5,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.55,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.6,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.65,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.7,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.75,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.8,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.85,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.9,16,14,1,185,2,0.9333,0.875,0.9032,103,0,0.0
seed42,play_triangle,0.95,16,5,0,186,11,1.0,0.3125,0.4762,103,0,0.0
seed42,google_play,0.05,1,1,71,130,0,0.0139,1.0,0.0274,103,33,0.3204
seed42,google_play,0.1,1,1,47,154,0,0.0208,1.0,0.0408,103,27,0.2621
seed42,google_play,0.15,1,1,24,177,0,0.04,1.0,0.0769,103,17,0.165
seed42,google_play,0.2,1,1,20,181,0,0.0476,1.0,0.0909,103,17,0.165
seed42,google_play,0.25,1,1,18,183,0,0.0526,1.0,0.1,103,17,0.165
seed42,google_play,0.3,1,1,18,183,0,0.0526,1.0,0.1,103,17,0.165
seed42,google_play,0.35,1,1,16,185,0,0.0588,1.0,0.1111,103,15,0.1456
seed42,google_play,0.4,1,1,2,199,0,0.3333,1.0,0.5,103,2,0.0194
seed42,google_play,0.45,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.5,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.55,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.6,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.65,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.7,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.75,1,1,0,201,0,1.0,1.0,1.0,103,0,0.0
seed42,google_play,0.8,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
seed42,google_play,0.85,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
seed42,google_play,0.9,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
seed42,google_play,0.95,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
seed42,next,0.05,1,1,146,55,0,0.0068,1.0,0.0135,103,72,0.699
seed42,next,0.1,1,1,89,112,0,0.0111,1.0,0.022,103,37,0.3592
seed42,next,0.15,1,1,72,129,0,0.0137,1.0,0.027,103,28,0.2718
seed42,next,0.2,1,1,61,140,0,0.0161,1.0,0.0317,103,21,0.2039
seed42,next,0.25,1,1,53,148,0,0.0185,1.0,0.0364,103,19,0.1845
seed42,next,0.3,1,1,41,160,0,0.0238,1.0,0.0465,103,19,0.1845
seed42,next,0.35,1,1,41,160,0,0.0238,1.0,0.0465,103,19,0.1845
seed42,next,0.4,1,1,35,166,0,0.0278,1.0,0.0541,103,17,0.165
seed42,next,0.45,1,1,15,186,0,0.0625,1.0,0.1176,103,4,0.0388
seed42,next,0.5,1,1,11,190,0,0.0833,1.0,0.1538,103,0,0.0
seed42,next,0.55,1,1,10,191,0,0.0909,1.0,0.1667,103,0,0.0
seed42,next,0.6,1,0,8,193,1,0.0,0.0,0.0,103,0,0.0
seed42,next,0.65,1,0,1,200,1,0.0,0.0,0.0,103,0,0.0
seed42,next,0.7,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
seed42,next,0.75,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
seed42,next,0.8,1,0,0,201,1,0.0,0.0,0.0,103,0,0.0
