family,score,true_label,families,instance_id,content_id,image_path,original_path,relative_path,source_root,best_reference_instance_id,best_reference_content_id
next,0.8170406818389893,0,google_play,file_245ef374f6c4268c,asset_7dbc3094aa7539f0,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00001_google_play_asset_7dbc3094aa7539f0.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042257_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.589111328125,0,x_mark,file_c1b82b89ebab2308,asset_d94a12829e570c5c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00002_x_mark_asset_d94a12829e570c5c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042353_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.6575064659118652,0,x_mark,file_0796700f3e89b234,asset_62c0598db37c8764,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00003_x_mark_asset_62c0598db37c8764.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_042429_roi_0.png,ads2\assets\1_templates,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a
next,0.6622213125228882,0,x_mark,file_ed7ecf2d8c86d633,asset_643bd48faa917df4,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00004_x_mark_asset_643bd48faa917df4.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_043419_roi_0.png,ads2\assets\1_templates,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a
next,0.528191089630127,0,arrow,file_e98356e6d5b0d025,asset_759712a0fa58d9bb,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00005_arrow_asset_759712a0fa58d9bb.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044156_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.5107277631759644,0,x_mark,file_ff68673e47bf2194,asset_811965ed2f4bf3fe,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00006_x_mark_asset_811965ed2f4bf3fe.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044653_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.4799286723136902,0,x_mark,file_0c54c714e6e4e54c,asset_ef19a71539533c38,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00007_x_mark_asset_ef19a71539533c38.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_044717_roi_0.png,ads2\assets\1_templates,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a
next,0.43748748302459717,0,arrow,file_38f39cb8171bbccd,asset_f05a7a52f60d291b,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00008_arrow_asset_f05a7a52f60d291b.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.7189725637435913,0,google_play,file_01fce48c5f827243,asset_ee02f730b82612e5,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00009_google_play_asset_ee02f730b82612e5.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_045709_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.3874034881591797,0,x_mark,file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00010_x_mark_asset_ca994ca16a3dcd00.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.49204298853874207,0,x_mark,file_a4f0c7925d120a09,asset_2a7b5573529608a3,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00011_x_mark_asset_2a7b5573529608a3.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89
next,0.8974392414093018,1,next,file_8adc86c006864b12,asset_8829832efa233731,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates,file_bf38f78053afa077,asset_6bf76d3fd5c9b55e
next,0.7676501274108887,0,google_play,file_541955e3cd16d297,asset_bf08eee05826fbbb,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00013_google_play_asset_bf08eee05826fbbb.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.8361729383468628,0,google_play,file_f897e9b9181629ee,asset_d67b35832487e707,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00014_google_play_asset_d67b35832487e707.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
next,0.8401067852973938,0,google_play,file_183d636c777c6ea5,asset_0038b293d3fef86c,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00015_google_play_asset_0038b293d3fef86c.png,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5
