family,threshold,support,tp,fp,tn,fn,precision,recall,f1
next,0.5,6,6,815,271,0,0.007308160779537149,1.0,0.014510278113663845
next,0.52,6,6,747,339,0,0.00796812749003984,1.0,0.015810276679841896
next,0.54,6,6,701,385,0,0.008486562942008486,1.0,0.016830294530154277
next,0.56,6,6,631,455,0,0.009419152276295133,1.0,0.018662519440124415
next,0.58,6,6,593,493,0,0.01001669449081803,1.0,0.019834710743801654
next,0.6,6,6,554,532,0,0.010714285714285714,1.0,0.02120141342756184
next,0.62,6,6,521,565,0,0.011385199240986717,1.0,0.022514071294559096
next,0.64,6,6,487,599,0,0.012170385395537525,1.0,0.02404809619238477
next,0.66,6,6,435,651,0,0.013605442176870748,1.0,0.026845637583892617
next,0.68,6,6,366,720,0,0.016129032258064516,1.0,0.031746031746031744
next,0.7,6,6,302,784,0,0.01948051948051948,1.0,0.03821656050955414
next,0.72,6,6,270,816,0,0.021739130434782608,1.0,0.042553191489361694
next,0.74,6,6,262,824,0,0.022388059701492536,1.0,0.043795620437956206
next,0.76,6,5,239,847,1,0.020491803278688523,0.8333333333333334,0.039999999999999994
next,0.78,6,5,198,888,1,0.024630541871921183,0.8333333333333334,0.04784688995215312
next,0.8,6,5,178,908,1,0.0273224043715847,0.8333333333333334,0.0529100529100529
next,0.82,6,5,121,965,1,0.03968253968253968,0.8333333333333334,0.07575757575757576
next,0.84,6,5,53,1033,1,0.08620689655172414,0.8333333333333334,0.15625000000000003
next,0.86,6,5,14,1072,1,0.2631578947368421,0.8333333333333334,0.39999999999999997
next,0.88,6,4,4,1082,2,0.5,0.6666666666666666,0.5714285714285715
next,0.9,6,2,2,1084,4,0.5,0.3333333333333333,0.4
next,0.92,6,0,0,1086,6,0.0,0.0,0.0
next,0.94,6,0,0,1086,6,0.0,0.0,0.0
next,0.96,6,0,0,1086,6,0.0,0.0,0.0
next,0.98,6,0,0,1086,6,0.0,0.0,0.0
google_play,0.5,9,9,664,419,0,0.01337295690936107,1.0,0.026392961876832845
google_play,0.52,9,9,606,477,0,0.014634146341463415,1.0,0.028846153846153848
google_play,0.54,9,9,540,543,0,0.01639344262295082,1.0,0.03225806451612903
google_play,0.56,9,9,482,601,0,0.018329938900203666,1.0,0.036
google_play,0.58,9,9,428,655,0,0.020594965675057208,1.0,0.04035874439461883
google_play,0.6,9,9,389,694,0,0.022613065326633167,1.0,0.044226044226044224
google_play,0.62,9,9,342,741,0,0.02564102564102564,1.0,0.05
google_play,0.64,9,9,283,800,0,0.030821917808219176,1.0,0.05980066445182724
google_play,0.66,9,9,229,854,0,0.037815126050420166,1.0,0.0728744939271255
google_play,0.68,9,9,220,863,0,0.039301310043668124,1.0,0.07563025210084034
google_play,0.7,9,9,198,885,0,0.043478260869565216,1.0,0.08333333333333333
google_play,0.72,9,9,173,910,0,0.04945054945054945,1.0,0.09424083769633507
google_play,0.74,9,9,147,936,0,0.057692307692307696,1.0,0.1090909090909091
google_play,0.76,9,9,135,948,0,0.0625,1.0,0.11764705882352941
google_play,0.78,9,9,62,1021,0,0.1267605633802817,1.0,0.22499999999999998
google_play,0.8,9,9,15,1068,0,0.375,1.0,0.5454545454545454
google_play,0.82,9,9,10,1073,0,0.47368421052631576,1.0,0.6428571428571429
google_play,0.84,9,9,7,1076,0,0.5625,1.0,0.72
google_play,0.86,9,8,2,1081,1,0.8,0.8888888888888888,0.8421052631578948
google_play,0.88,9,8,2,1081,1,0.8,0.8888888888888888,0.8421052631578948
google_play,0.9,9,7,1,1082,2,0.875,0.7777777777777778,0.823529411764706
google_play,0.92,9,7,0,1083,2,1.0,0.7777777777777778,0.8750000000000001
google_play,0.94,9,7,0,1083,2,1.0,0.7777777777777778,0.8750000000000001
google_play,0.96,9,4,0,1083,5,1.0,0.4444444444444444,0.6153846153846153
google_play,0.98,9,2,0,1083,7,1.0,0.2222222222222222,0.3636363636363636
